source,n,num_classes,brier_score,expected_calibration_error,accuracy,mean_confidence,confidence_minus_accuracy,mean_posterior_entropy,experiment,condition
E17/CREATOR/claimed_human,4000,4,7.237515006387234e-14,5.240656131277888e-09,1.0,0.9999999947593439,-5.240656131277888e-09,7.060177278056233e-08,E17,CREATOR/claimed_human
E17/CREATOR/truthful,4000,4,6.25122157188261e-11,1.0238741321444422e-07,1.0,0.9999998976125868,-1.0238741321444422e-07,9.75537209064408e-07,E17,CREATOR/truthful
E17/CURATOR/claimed_human,4000,4,0.03714213871290777,0.01696900040235516,0.98075,0.9977190004023552,0.01696900040235516,0.011142967007696701,E17,CURATOR/claimed_human
E17/CURATOR/truthful,4000,4,0.014380898495410403,0.0007877513492094552,0.99175,0.9925097444850934,0.0007597444850934165,0.028785572252856415,E17,CURATOR/truthful
E17/GHOST/claimed_human,4000,4,1.4750313978900385,0.7373252565796771,0.24425,0.981575256579677,0.7373252565796771,0.08941243891808691,E17,GHOST/claimed_human
E17/GHOST/truthful,4000,4,0.8012878138538962,0.14352340893915042,0.24675,0.3902734089391504,0.14352340893915042,1.2973880105156559,E17,GHOST/truthful
E17/POLISHED/claimed_human,4000,4,2.2590153263908253e-10,2.581830567116583e-07,1.0,0.9999997418169433,-2.581830567116583e-07,2.3674237703992045e-06,E17,POLISHED/claimed_human
E17/POLISHED/truthful,4000,4,5.1057764242829514e-08,3.2672968802716085e-06,1.0,0.9999967327031197,-3.2672968802716085e-06,2.0656006855968325e-05,E17,POLISHED/truthful
E19/human_directed/explore_off,4000,4,0.0004031493099307991,0.00023810987216202163,0.99975,0.9997511870229747,1.1870229746913097e-06,0.0007884804902349181,E19,human_directed/explore_off
E19/human_directed/explore_on,4000,4,0.00010092074923346513,0.00012142859811435697,1.0,0.9998785714018856,-0.00012142859811437035,0.0002486822861827379,E19,human_directed/explore_on
E19/human_exploratory/explore_on [5-way],4000,5,0.14774262835998292,0.018927119915000845,0.90725,0.9047974545095588,-0.0024525454904411603,0.25335524530892606,E19,human_exploratory/explore_on [5-way]
E2/CREATOR/SIG_CREATOR,4000,4,7.237515006387234e-14,5.240656131277888e-09,1.0,0.9999999947593439,-5.240656131277888e-09,7.060177278056233e-08,E2,CREATOR/SIG_CREATOR
E2/CREATOR/SIG_GHOST,4000,4,0.007238823002825861,0.02108290730267406,0.9985,0.9774170926973259,-0.021082907302674148,0.09244409380104875,E2,CREATOR/SIG_GHOST
E2/GHOST/SIG_CREATOR,4000,4,1.4870006538474176,0.7430385254343741,0.2385,0.9815385254343741,0.7430385254343741,0.08959906095034907,E2,GHOST/SIG_CREATOR
E2/GHOST/SIG_GHOST,4000,4,0.8023109973051519,0.14488565376566265,0.259,0.3962833862854103,0.1372833862854103,1.2926431975058967,E2,GHOST/SIG_GHOST
