cell,t,meanfield_epistemic_total,exact_epistemic_total,epistemic_total_abs_error,meanfield_epistemic_goal,exact_epistemic_goal,epistemic_goal_abs_error,meanfield_pragmatic,exact_pragmatic,pragmatic_abs_error,joint_vs_product_kl
machine work passed off as human,1,3.462277635277431,3.4622686336683435,9.00160908745562e-06,1.261049634666698,1.2610496346666975,4.440892098500626e-16,-8.974036646991053,-8.974036646991053,0.0,-2.239641363612691e-16
machine work passed off as human,2,1.1045045834480725,0.9659594553153497,0.1385451281327228,0.6075458738263912,0.5555502818934266,0.05199559193296466,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,0.05775933470972596
machine work passed off as human,3,1.3434403691914136,1.324231874116549,0.01920849507486455,1.2381158809484476,1.2327996385804814,0.00531624236796624,-8.974036646991047,-8.974036646991053,5.329070518200751e-15,0.010292697203391111
machine work passed off as human,4,1.7794444667754576,1.7774256860785136,0.002018780696944056,1.7489470041386825,1.7484344504795715,0.0005125536591110702,-8.974036646991047,-8.974036646991053,5.329070518200751e-15,0.0012296664686711183
machine work passed off as human,5,0.3607747611273058,0.36035950314018184,0.00041525798712394035,0.359520380937823,0.3592067566853474,0.0003136242524756083,-8.974036646991053,-8.974036646991053,0.0,0.000226198327636186
machine work passed off as human,6,1.1550693717994616,1.1550145581409708,5.481365849080433e-05,1.1548094344286826,1.154775194074759,3.424035392352032e-05,-8.974036646991053,-8.974036646991053,0.0,3.652842834214767e-05
machine work passed off as human,7,0.19961099802103588,0.19960006558385945,1.0932437176425225e-05,0.19959588027034242,0.19959358542678024,2.2948435621783503e-06,-8.974036646991056,-8.974036646991053,3.552713678800501e-15,2.13612770328334e-06
machine work passed off as human,8,0.005176656232512844,0.005167684970659447,8.971261853396584e-06,0.005167639851808438,0.005167609307085736,3.054472270166281e-08,-8.974036646991053,-8.974036646991053,0.0,4.16360826237277e-08
machine work passed off as human,9,0.00012186665850322242,0.0001128881068370724,8.978551666150025e-06,0.00011288756132943545,0.00011288722752546466,3.3380397079264823e-10,-8.974036646991049,-8.97403664699105,1.7763568394002505e-15,6.392691903508825e-10
machine work passed off as human,10,0.00012329281655487634,0.00011429166816379066,9.001148391085678e-06,0.00011429143200690549,0.00011429125868677993,1.7332012555845364e-10,-8.974036646991044,-8.974036646991049,5.329070518200751e-15,3.0031861372101074e-10
machine work passed off as human,11,0.00021676175472284953,0.00020776052159110492,9.001233131744613e-06,0.00020776041093311585,0.00020776032262604662,8.830706923080439e-11,-8.974036646991046,-8.974036646991049,3.552713678800501e-15,1.3549927522369068e-10
machine work passed off as human,12,0.004497691822928029,0.004488690552006069,9.001270921960014e-06,0.0044886904980135905,0.0044886904531348144,4.487877604264501e-11,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,5.916583886855663e-11
machine work passed off as human,13,0.004562183393729935,0.004553182104744202,9.001288985732714e-06,0.00455318207823004,0.004553182055646675,2.258336486565815e-11,-8.974036646991047,-8.97403664699105,3.552713678800501e-15,2.706761434077431e-11
machine work passed off as human,14,0.007519882611229267,0.0075108813134923125,9.001297736954683e-06,0.00751088130033805,0.0075108812889785655,1.1359484533568498e-11,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,1.2065357473642208e-11
machine work passed off as human,15,0.00017297732102194985,0.00016397601484507973,9.001306176870116e-06,0.0001639760147049595,0.00016397601458215631,1.2280318905863452e-13,-8.97403664699105,-8.974036646991053,1.7763568394002505e-15,1.9902873305897335e-13
machine work passed off as human,16,1.2528866183192378e-05,3.5650274901044554e-06,8.963838693087922e-06,3.5650274955483683e-06,3.5650274942067834e-06,1.3415849919699852e-15,-8.974036646991053,-8.974036646991053,0.0,2.897166681313874e-15
machine work passed off as human,17,9.023347853798214e-06,7.750074715318078e-08,8.945847106645033e-06,7.750075481130661e-08,7.750075457987201e-08,2.3143460042005567e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.586568694409008e-16
machine work passed off as human,18,1.1087866951697833e-05,2.109703446606659e-06,8.978163505091175e-06,2.109703454347876e-06,2.1097034543392023e-06,8.673617379884035e-18,-8.974036646991053,-8.974036646991053,0.0,1.7072888306964967e-17
machine work passed off as human,19,1.1102434267939998e-05,2.16092383897859e-06,8.941510428961408e-06,2.1609238467121788e-06,2.160923846707835e-06,4.343584953520052e-18,-8.974036646991053,-8.974036646991053,0.0,7.981629545659082e-18
machine work passed off as human,20,0.00010457486617720946,9.563335467088763e-05,8.941511506321831e-06,9.563335467836719e-05,9.563335467792066e-05,4.46528664738155e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.256818798678419e-16
machine work passed off as human,21,0.0001069683948697886,9.798941643968107e-05,8.978978430107531e-06,9.79894164464055e-05,9.798941644640442e-05,1.0842021724855044e-18,-8.974036646991053,-8.974036646991053,0.0,1.657434892300514e-18
machine work passed off as human,22,0.004388049298984953,0.004379070302110932,8.978996874020595e-06,0.004379070302119086,0.004379070302118641,4.44956571588051e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.2293981027826523e-16
machine work passed off as human,23,0.0001045661855210156,9.560283154907978e-05,8.963353971935817e-06,9.560283155617317e-05,9.560283155661683e-05,4.436555289810684e-16,-8.974036646991056,-8.974036646991053,3.552713678800501e-15,-2.2203352343617995e-16
machine work passed off as human,24,1.1078997053548534e-05,2.078515844772255e-06,9.000481208776279e-06,2.0785158518485386e-06,2.0785158518485395e-06,8.470329472543003e-22,-8.974036646991053,-8.974036646991053,0.0,1.5056171708009855e-22
machine work passed off as human,25,9.014157159814573e-06,4.5185211128284664e-08,8.968971948686288e-06,4.518521869067404e-08,4.5185218690674014e-08,2.6469779601696886e-23,-8.974036646991053,-8.974036646991053,0.0,1.953980260415067e-24
machine work passed off as human,26,9.00158563332809e-06,9.82279590999724e-10,9.000603353737091e-06,9.82287315876165e-10,9.82287315876165e-10,0.0,-8.974036646991053,-8.974036646991053,0.0,2.4574182639099147e-26
machine work passed off as human,27,9.00131234038426e-06,2.134692422828266e-11,9.001290993460032e-06,2.1354784766924723e-11,2.1354340677714873e-11,4.440892098500626e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.2204460492533384e-16
machine work passed off as human,28,9.001312489154145e-06,2.1872281763535284e-11,9.001290616872382e-06,2.1880260667199515e-11,2.1880260667199515e-11,0.0,-8.974036646991053,-8.974036646991053,0.0,1.4911508376013355e-28
machine work passed off as human,29,9.001319374313255e-06,4.607914050325235e-11,9.001273295172751e-06,4.6086612313335165e-11,4.608661231333511e-11,5.169878828456423e-26,-8.974036646991053,-8.974036646991053,0.0,7.205268161886222e-29
machine work passed off as human,30,9.00130655123732e-06,9.952039192739903e-13,9.001305556033401e-06,1.0018041067593896e-12,1.0018041067593896e-12,0.0,-8.974036646991053,-8.974036646991053,0.0,8.817853233834122e-31
machine work passed off as human,31,9.00130655123732e-06,9.952039192739903e-13,9.001305556033401e-06,1.0019118872519738e-12,1.0019118872519722e-12,1.6155871338926322e-27,-8.974036646991053,-8.974036646991053,0.0,4.343335121093289e-31
machine work passed off as human,32,9.001312489154145e-06,2.1872281763535284e-11,9.001290616872382e-06,2.1880260667199515e-11,2.1880260667199515e-11,0.0,-8.974036646991053,-8.974036646991053,0.0,2.116932062375359e-31
