parameter,dataset,true,recovered_mean,recovered_sd,recovered_sem,profile_flat_fraction,median_curvature,n_seeds,mean_observed_drift
kappa,honest labels throughout,0.1,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.2,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.30000000000000004,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.4,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.5,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.6,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.7000000000000001,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.8,0.9,0.0,0.0,1.0,,16,
kappa,honest labels throughout,0.9,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.1,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.2,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.30000000000000004,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.4,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.5,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.6,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.7000000000000001,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.8,0.9,0.0,0.0,1.0,,16,
kappa,machine work passed off as human,0.9,0.9,0.0,0.0,1.0,,16,
