parameter,dataset,true,recovered_mean,recovered_sd,recovered_sem,profile_flat_fraction,median_curvature,n_seeds,mean_observed_drift
omega,"foreign feature draws, analyst's model",0.0,0.0015625,0.00625,0.0015625,0.9375,,16,
omega,"foreign feature draws, analyst's model",0.1,0.096875,0.02015564437074637,0.005038911092686593,0.0,,16,
omega,"foreign feature draws, analyst's model",0.2,0.1859375,0.02230237281845439,0.005575593204613597,0.0,,16,
omega,"foreign feature draws, analyst's model",0.30000000000000004,0.290625,0.02393567769390846,0.005983919423477115,0.0,,16,
omega,"foreign feature draws, analyst's model",0.4,0.39531250000000007,0.037880018919389864,0.009470004729847466,0.0,,16,
omega,"foreign feature draws, analyst's model",0.5,0.4890625,0.04079292218020179,0.010198230545050448,0.0,,16,
omega,"foreign feature draws, analyst's model",0.6000000000000001,0.5906250000000001,0.04170831252080732,0.01042707813020183,0.0,,16,
omega,"foreign feature draws, analyst's model",0.7000000000000001,0.6890625,0.03158157426939536,0.00789539356734884,0.0,,16,
omega,"foreign feature draws, analyst's model",0.8,0.7890625,0.028822372675868797,0.007205593168967199,0.0,,16,
omega,"foreign feature draws, analyst's model",0.9,0.8890625,0.030233466556119554,0.007558366639029888,0.0,,16,
omega,"foreign feature draws, analyst's model",1.0,0.996875,0.008539125638299635,0.002134781409574909,0.875,,16,
