sweep,n_artifacts,m_observers,averaging,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mi_genuine,mean_deep_genuine
N,100,5,True,0,0,0.01871249937777495,0.3289938914091567,46.05622986772354,0.8780526677802987,1.8439999999999999
N,100,5,True,0,1,0.016802033143159284,0.46179680713668547,47.25395786851051,0.8475927214661676,1.8920000000000001
N,100,5,True,0,2,0.03695594636976486,0.4275596031453113,47.51198608239141,0.8321602464374394,1.9020000000000004
N,100,5,True,0,3,0.026294148143622235,0.5069044043691906,44.75203805072203,0.8422017485340068,1.7920000000000003
N,100,5,True,0,4,0.046557062486099046,0.42181165073058385,47.650794002840634,0.8357084753562095,1.9080000000000001
N,100,5,True,0,5,0.031759214664019764,0.5372598018776935,47.963815855679755,0.7754142750843365,1.92
N,100,5,True,0,6,0.042966465421683996,0.7112387524883419,44.45861136303279,0.7575415492593297,1.78
N,100,5,True,0,7,0.03747657263040613,0.7124955906531737,49.166041585143404,0.6746144267959651,1.9680000000000004
N,100,5,True,1,0,0.03196416317046545,0.33849724510926066,45.31506900105306,0.8890823536283982,1.814
N,100,5,True,1,1,0.01795918949765176,0.42186258197837156,47.50958247661694,0.8065761329328076,1.902
N,100,5,True,1,2,0.046966824781625796,0.5627966213922476,52.70902264172838,0.6979141683228595,2.11
N,100,5,True,1,3,0.06972301227228389,0.508214963914599,50.16051089383407,0.7667326017322427,2.008
N,100,5,True,1,4,0.033304390324117666,0.45478101295230977,53.11919110182248,0.7286182152256767,2.126
N,100,5,True,1,5,0.020046557498764883,0.5963888309392041,57.46318292100407,0.6191536415800213,2.3
N,100,5,True,1,6,0.07633315937065305,0.5937054117539855,60.80813200887661,0.6025643778060077,2.434
N,100,5,True,1,7,0.09131594093431189,0.7162159752574526,62.32440773947551,0.5274955757402863,2.4939999999999998
N,100,5,True,2,0,0.048556250873947326,0.19797922275538557,44.054174237037536,0.9584588338664135,1.764
N,100,5,True,2,1,0.06566284032080479,0.22258362846843185,44.55477997775427,0.9548769453514906,1.784
N,100,5,True,2,2,0.03931135433015809,0.25196462684380955,44.15488098242888,0.953266498707167,1.768
N,100,5,True,2,3,0.05931794979665374,0.5739670038486745,43.55607940412225,0.8323513962008029,1.7439999999999998
N,100,5,True,2,4,0.0519273061586818,0.30377119696182864,42.01037617381677,0.8924196130139442,1.682
N,100,5,True,2,5,0.041958605332080706,0.4564536692522815,51.156806096892055,0.7245167577117637,2.0479999999999996
N,100,5,True,2,6,0.06083253246674289,0.4189257734395695,53.05586537994242,0.7584553760531583,2.124
N,100,5,True,2,7,0.061521999851994746,0.3266302758645932,50.89972447772034,0.7830948046113526,2.038
N,100,5,False,0,0,0.01871249937777495,0.5096421550531167,46.05622986772354,0.8780526677802987,1.8439999999999999
N,100,5,False,0,1,0.029137813080917896,0.7039543649483603,48.206065459196786,0.8224191599369061,1.9300000000000002
N,100,5,False,0,2,0.01890494767847955,0.48531493004326387,50.313129983593186,0.8223150793965258,2.0140000000000002
N,100,5,False,0,3,0.02429153689234316,0.5550749654263053,49.45762739381447,0.7969540910489993,1.98
N,100,5,False,0,4,0.04423981318680863,0.542971577422027,52.196045528831576,0.7670008345754895,2.09
N,100,5,False,0,5,0.042453100344328004,0.749412667991128,50.56336305088051,0.7472019990400274,2.024
N,100,5,False,0,6,0.056909702951646296,0.8203729438088421,44.11613393134136,0.7416671955064631,1.766
N,100,5,False,0,7,0.06357432106488789,1.344812646841502,57.95093329591225,0.5304078962791554,2.32
N,100,5,False,1,0,0.03196416317046545,0.35392914050382285,45.31506900105306,0.8890823536283982,1.814
N,100,5,False,1,1,0.016658796612774387,0.4833209172413794,47.81337643517776,0.8130589570827336,1.9140000000000001
N,100,5,False,1,2,0.043003190365287935,0.29810720950958614,47.208513813108866,0.8158195392453061,1.8900000000000001
N,100,5,False,1,3,0.05120258225181223,0.2593864148982833,45.357972034639204,0.875810760067402,1.816
N,100,5,False,1,4,0.04419933591618032,0.4284131943957097,47.31092055284638,0.8748221283889903,1.8939999999999997
N,100,5,False,1,5,0.02903018112956176,0.4456645760514857,48.65840904168014,0.8016019905794722,1.948
N,100,5,False,1,6,0.07608206776075187,0.5807736198382826,51.6084570471444,0.8070893521971987,2.0660000000000003
N,100,5,False,1,7,0.061956874094864806,0.6649054425790518,54.66696180289887,0.7174868831526969,2.1879999999999997
N,100,5,False,2,0,0.048556250873947326,0.16223150950247814,44.054174237037536,0.9584588338664135,1.764
N,100,5,False,2,1,0.06914645110276867,0.2757328185046438,41.20237552587851,1.0151562492155908,1.65
N,100,5,False,2,2,0.042822518168477236,0.46107809021502205,42.052667388930175,0.9363225619708968,1.684
N,100,5,False,2,3,0.041069394524859366,0.9317474036712436,48.31106235616304,0.6967482733714332,1.934
N,100,5,False,2,4,0.0460517453436401,0.8643264619697427,50.31161127598945,0.6768635444803757,2.0140000000000002
N,100,5,False,2,5,0.05419052061462036,0.84532952175934,57.4070192767546,0.5731822116267238,2.298
N,100,5,False,2,6,0.043042144518577616,0.48454908607154734,55.66154945128202,0.622012907034279,2.228
N,100,5,False,2,7,0.05184468770177781,0.5096999150429927,50.79632173259024,0.7614817346384393,2.034
N,300,5,True,0,0,0.04681579826916052,0.4287690964426261,141.55975852171224,0.8017597737350503,1.8893333333333335
N,300,5,True,0,1,0.055153003417915944,0.46306307096507415,160.14211260479567,0.7707008163443663,2.1366666666666667
N,300,5,True,0,2,0.09064352748058604,0.4917285883820322,162.39576974397824,0.7222659320081851,2.166666666666667
N,300,5,True,0,3,0.07508226876347754,0.5248895242376612,168.6289899168442,0.7025586577572897,2.2499999999999996
N,300,5,True,0,4,0.06713185207127308,0.5758941775773396,173.2822250791603,0.631064412176442,2.3120000000000003
N,300,5,True,0,5,0.08152180150730505,0.704734034603142,180.38456895282022,0.5434409209540454,2.4066666666666667
N,300,5,True,0,6,0.09853555585436041,0.8081437393300033,191.25517532307407,0.5137046163233395,2.551333333333333
N,300,5,True,0,7,0.12180895863086315,0.8213985618018128,186.80095782588114,0.5070485183841632,2.4926666666666666
N,300,5,True,1,0,0.044399582502860024,0.44919409661250564,139.8529549753955,0.8440960186313768,1.8666666666666667
N,300,5,True,1,1,0.09403384379642989,0.5951751003641116,143.79147376266184,0.765796552053579,1.9186666666666667
N,300,5,True,1,2,0.0804882188780208,0.4651938703337999,161.78227375929774,0.7270579935150602,2.1586666666666665
N,300,5,True,1,3,0.07770656282290035,0.42860399182013315,159.97943364293604,0.731844334110374,2.134666666666667
N,300,5,True,1,4,0.09149982014251334,0.45373873905504186,160.86197175081637,0.7421525943132925,2.146666666666667
N,300,5,True,1,5,0.06678325090219472,0.5181105754020943,171.8876607815336,0.6525276901808532,2.2933333333333334
N,300,5,True,1,6,0.07446738668112196,0.4758505176354232,167.94569680115407,0.6643026926108904,2.240666666666667
N,300,5,True,1,7,0.08098103736190902,0.5159467939776352,163.99622070558877,0.6614714889258144,2.1879999999999997
N,300,5,True,2,0,0.034384629661543806,0.40696817436828336,140.47116994496963,0.8772187083320186,1.8746666666666667
N,300,5,True,2,1,0.06378679753766933,0.5566109784126752,140.23705009924112,0.8401178144141989,1.871333333333333
N,300,5,True,2,2,0.07483812068078331,0.6021994715499615,130.5860510176638,0.7829974100122847,1.7433333333333334
N,300,5,True,2,3,0.09741244948225834,0.7390081513338944,147.2893035593428,0.707162859305133,1.9653333333333332
N,300,5,True,2,4,0.07178834267346176,0.6108576599337465,162.42632284472901,0.6662193158566634,2.167333333333333
N,300,5,True,2,5,0.06068877613425065,0.7500639290942276,167.58102668209477,0.5879112256991185,2.2359999999999998
N,300,5,True,2,6,0.08600893169342402,0.7078040360531808,183.48462202643404,0.5521427462110698,2.4479999999999995
N,300,5,True,2,7,0.07980042971693878,0.7404455350556916,187.75817906577058,0.5825752660485441,2.505333333333333
N,300,5,False,0,0,0.04681579826916052,0.40945977951489315,141.55975852171224,0.8017597737350503,1.8893333333333335
N,300,5,False,0,1,0.045687644420159546,0.5118233627691531,150.9376555844761,0.8180608562952252,2.0140000000000002
N,300,5,False,0,2,0.07536413640346351,0.464297454222694,151.14342280177152,0.7572374127929887,2.0166666666666666
N,300,5,False,0,3,0.05349817580595265,0.6188266946488072,137.72845064079047,0.8066381334309518,1.8379999999999999
N,300,5,False,0,4,0.05311300714570259,0.42374166907973954,147.60633271992793,0.7902128908627042,1.9693333333333332
N,300,5,False,0,5,0.06503013088260344,0.6105813133504085,148.8917367103912,0.7701631485071238,1.9866666666666668
N,300,5,False,0,6,0.07758761168014804,0.7034629467543381,169.83614328231096,0.6876742516101715,2.266
N,300,5,False,0,7,0.11339737015115482,0.5726385207774936,170.20510200297846,0.6421402564677671,2.271333333333333
N,300,5,False,1,0,0.044399582502860024,0.5627149826350071,139.8529549753955,0.8440960186313768,1.8666666666666667
N,300,5,False,1,1,0.07159758337000377,0.6956638170584369,157.5977206229067,0.6986844964079029,2.102666666666667
N,300,5,False,1,2,0.07780836574070665,0.6507676759711901,169.55529877028172,0.6505811972491794,2.2619999999999996
N,300,5,False,1,3,0.09006868153846918,0.6491711880562017,177.78460226537604,0.5811521433338979,2.372
N,300,5,False,1,4,0.08661395188585645,0.620623022696705,175.71879305726324,0.6355451473546299,2.3446666666666665
N,300,5,False,1,5,0.08712600368620285,0.8240042557456075,180.23688292741622,0.5866517849824839,2.4046666666666665
N,300,5,False,1,6,0.08661575203786681,0.675193431786445,191.09080234930076,0.5656576743969267,2.5493333333333337
N,300,5,False,1,7,0.10638919026660693,0.654144055340217,175.601746356805,0.6413836668286682,2.342666666666667
N,300,5,False,2,0,0.034384629661543806,0.40107326369144114,140.47116994496963,0.8772187083320186,1.8746666666666667
N,300,5,False,2,1,0.058060915226937224,0.6369247133900946,127.73158367556023,0.8579598706160476,1.7046666666666668
N,300,5,False,2,2,0.0788399434554799,0.6643390750086401,133.93520560872602,0.7752019743315511,1.7879999999999998
N,300,5,False,2,3,0.082276481417295,0.766903579187228,135.4785775055201,0.7558555733761804,1.8080000000000003
N,300,5,False,2,4,0.07135826496208461,0.657815112023886,151.62175550514263,0.7124098272380466,2.023333333333333
N,300,5,False,2,5,0.06394848114718123,0.6595731141099677,143.3869005982709,0.69097057533316,1.9133333333333333
N,300,5,False,2,6,0.06953097836857042,0.6847040190095716,158.03347513144027,0.6867271823959623,2.108666666666667
N,300,5,False,2,7,0.08660115040688052,0.5501584779012757,165.52992844362305,0.6843755185121074,2.208666666666667
N,1000,5,True,0,0,0.0568963114092135,0.46666830173345697,490.01337154707096,0.8252955607405322,1.9617999999999998
N,1000,5,True,0,1,0.08598013969639404,0.5625400787627312,512.247039771057,0.7371976638032816,2.0504000000000002
N,1000,5,True,0,2,0.08254020322395356,0.5312216996764557,567.0566156715319,0.6451295421756892,2.2695999999999996
N,1000,5,True,0,3,0.10485639940687191,0.5631257103135102,596.1601338374747,0.5976848225547545,2.3858000000000006
N,1000,5,True,0,4,0.09191638707753166,0.6781124531019262,643.5323428278891,0.5283450336109217,2.5754
N,1000,5,True,0,5,0.1111848709751318,0.6969650823053415,637.9746069100471,0.5031209042937832,2.553
N,1000,5,True,0,6,0.11559810854245121,0.6570946565493307,626.1925165192209,0.5290383895553814,2.5060000000000002
N,1000,5,True,0,7,0.12067089605564865,0.6440164974247724,632.0222719324753,0.49099222523243463,2.5296
N,1000,5,True,1,0,0.06494705112694624,0.43221743359105896,466.5522782760605,0.8306722729506,1.8679999999999999
N,1000,5,True,1,1,0.08461279696355588,0.4719088697285344,475.2586781220224,0.8081192384125078,1.9026
N,1000,5,True,1,2,0.06843058296000028,0.4695498744659919,536.6238829779174,0.7847523372200269,2.1482
N,1000,5,True,1,3,0.06252620449174764,0.4947574965802651,529.7691254090325,0.7645240363270311,2.1204
N,1000,5,True,1,4,0.056889999304467156,0.528344052872685,528.038693620774,0.7043674230954527,2.1136000000000004
N,1000,5,True,1,5,0.11731072884996863,0.6251140017634165,543.3532814229809,0.6139960667991253,2.1746
N,1000,5,True,1,6,0.10388891253225443,0.6230529220503087,571.0988125375603,0.5985049599996473,2.2856
N,1000,5,True,1,7,0.1106816246541295,0.5968112744169545,599.8563698131088,0.5862759262893599,2.401
N,1000,5,True,2,0,0.06552256527940399,0.4917398870897758,461.7913785498178,0.8586187175219042,1.8490000000000002
N,1000,5,True,2,1,0.08141179645924991,0.5290805729657984,469.9501332874153,0.8290515540852816,1.8811999999999998
N,1000,5,True,2,2,0.06981438535253522,0.5667422400186796,507.37758375647354,0.7592798804961947,2.0308
N,1000,5,True,2,3,0.07736534998099909,0.774024233722217,607.4973313867292,0.5959907847017416,2.4314
N,1000,5,True,2,4,0.06991179266332645,0.6843600167304481,601.3345808811073,0.5498488452931476,2.4066
N,1000,5,True,2,5,0.08905107169494035,0.8141437218625402,590.050889349899,0.5241306662204648,2.3614
N,1000,5,True,2,6,0.0939686568497809,0.823102146369869,655.2921584515107,0.44979649669758837,2.6222000000000003
N,1000,5,True,2,7,0.10233827584864391,0.826098464528181,675.9286077710043,0.41562886104482566,2.7047999999999996
N,1000,5,False,0,0,0.0568963114092135,0.516979287149714,490.01337154707096,0.8252955607405322,1.9617999999999998
N,1000,5,False,0,1,0.07755607700320641,0.540362947265342,513.3915429277074,0.7375063551549607,2.055
N,1000,5,False,0,2,0.05567032230519939,0.5703652483456166,532.1119772730298,0.7479046465939436,2.1298
N,1000,5,False,0,3,0.09522430155823103,0.6862854099569224,454.39248962608355,0.7307895490089477,1.8188000000000002
N,1000,5,False,0,4,0.10663152669687637,0.6917991615826551,475.9737613122244,0.7653753247909776,1.9052
N,1000,5,False,0,5,0.09143838504132107,0.9398251176060219,508.98175435090417,0.6381706811311679,2.0374000000000003
N,1000,5,False,0,6,0.1258152970375495,0.7946720127927425,555.1019014911265,0.6865022001066337,2.2216
N,1000,5,False,0,7,0.10241326494608032,0.8006672213495017,610.4473606088271,0.5290629867656177,2.443
N,1000,5,False,1,0,0.06494705112694624,0.5147122624919958,466.5522782760605,0.8306722729506,1.8679999999999999
N,1000,5,False,1,1,0.08896992450937506,0.6718625190251748,447.0391094579144,0.82961262114072,1.7896
N,1000,5,False,1,2,0.08415994408550735,0.5933295831439536,487.5135398763161,0.8024124792867419,1.9518
N,1000,5,False,1,3,0.08231600772966326,0.5927117158684582,501.43813235108854,0.7994691437896708,2.0072
N,1000,5,False,1,4,0.07012162988033227,0.642926488827949,526.095133377166,0.7159306213394085,2.1058
N,1000,5,False,1,5,0.10296822910949097,0.7646774042055948,586.4609841390617,0.5815058930312752,2.3472
N,1000,5,False,1,6,0.10028889689289461,0.6689019968316785,622.7505326783714,0.5332736479090683,2.4921999999999995
N,1000,5,False,1,7,0.10489196883585056,0.6309431549035563,587.162583524953,0.6119646501977348,2.35
N,1000,5,False,2,0,0.06552256527940399,0.6639626661760972,461.7913785498178,0.8586187175219042,1.8490000000000002
N,1000,5,False,2,1,0.09517813391144352,0.6002492707880238,492.60885515281177,0.8111795808538524,1.9717999999999996
N,1000,5,False,2,2,0.0702854550938271,0.6945872633815917,548.8176346163089,0.688797131203256,2.1966
N,1000,5,False,2,3,0.07633551769566738,0.6752287851231803,591.77172791945,0.5969417897634542,2.3684000000000003
N,1000,5,False,2,4,0.05984049688241243,0.46181218798111173,572.2061541949213,0.6494892863003612,2.2901999999999996
N,1000,5,False,2,5,0.06779840766251796,0.6482761867928521,588.2652395584031,0.6137863000850208,2.3546000000000005
N,1000,5,False,2,6,0.06382987954492952,0.6911907052462631,573.8363530163522,0.5917351333646357,2.2966
N,1000,5,False,2,7,0.0917321975468039,0.5350793744965647,604.2010283365695,0.6051490445028482,2.418
N,3000,5,True,0,0,0.06103425231306525,0.4836255925067493,1482.7229542905434,0.7682877717223546,1.978333333333333
N,3000,5,True,0,1,0.08723048145076809,0.5230706969808939,1633.175283169164,0.6832489717086455,2.1788
N,3000,5,True,0,2,0.08451377347321898,0.5863576712588471,1768.2270534155646,0.5823767285590928,2.3589999999999995
N,3000,5,True,0,3,0.12111301667947197,0.6129842619572219,1728.1326560168393,0.5724601064108894,2.3054666666666668
N,3000,5,True,0,4,0.0919293290752671,0.6545647393169236,1820.966545771143,0.5306627446327645,2.4292000000000002
N,3000,5,True,0,5,0.11353550333088287,0.6932791731025165,1899.3978030411904,0.49293218155132806,2.533666666666667
N,3000,5,True,0,6,0.13465665419006964,0.6983328302865646,1851.6488316880263,0.5013341707262511,2.470066666666667
N,3000,5,True,0,7,0.10516860577288695,0.7533085996324473,1883.1111840749315,0.43340941988273896,2.5122
N,3000,5,True,1,0,0.07246470424550196,0.44023812664774703,1416.8494982425384,0.8203391502693845,1.8905999999999998
N,3000,5,True,1,1,0.08098802402514887,0.5906277684703923,1720.8276047623597,0.6404376294162532,2.2958
N,3000,5,True,1,2,0.08745426847601208,0.6453897725491087,1905.6425982387736,0.5665093818956283,2.5422000000000002
N,3000,5,True,1,3,0.11693362041485966,0.708369279737979,1639.989300919879,0.5621288771510919,2.1879999999999997
N,3000,5,True,1,4,0.10635838025622904,0.8096730496215798,1791.0242922672546,0.5079096597457318,2.3891999999999998
N,3000,5,True,1,5,0.11965963538851236,0.8604595820945147,1787.4487205521168,0.5009139326513837,2.384466666666667
N,3000,5,True,1,6,0.11439901606963654,0.9822487827093015,1867.1057676439195,0.4125523085414624,2.490666666666667
N,3000,5,True,1,7,0.12013483657215546,0.9358657216761381,1852.581816123762,0.44267889266418514,2.4713333333333334
N,3000,5,True,2,0,0.07156944973087512,0.4427124046619642,1432.9365636661832,0.8298224098029582,1.9120000000000001
N,3000,5,True,2,1,0.09080789694578939,0.5276697942172032,1494.5047690848314,0.776385747451678,1.9940000000000002
N,3000,5,True,2,2,0.09534886017816656,0.6162147289266346,1661.7611842349447,0.6752210550088373,2.2169333333333334
N,3000,5,True,2,3,0.10765589486556133,0.745666728056084,1867.790046140842,0.6058962785428892,2.4916666666666667
N,3000,5,True,2,4,0.09288366950635378,0.749895167490148,1897.2736535757135,0.49470962979892363,2.5309333333333335
N,3000,5,True,2,5,0.11379313288308651,0.7858065830121885,1962.8200194648812,0.4726581876553432,2.6182666666666665
N,3000,5,True,2,6,0.10075375804579398,0.7642273936149343,2017.5899384841966,0.43503283035375534,2.6912666666666665
N,3000,5,True,2,7,0.12188592755781269,0.7596398849119962,1998.640509395403,0.43979369586846806,2.6659999999999995
N,3000,5,False,0,0,0.06103425231306525,0.592877739841506,1482.7229542905434,0.7682877717223546,1.978333333333333
N,3000,5,False,0,1,0.09926896957363254,0.7688851446388443,1611.0945408767448,0.6992241176590404,2.1493333333333333
N,3000,5,False,0,2,0.09257182320187371,0.6087026442754823,1845.0737977519443,0.6011367393982183,2.4613333333333336
N,3000,5,False,0,3,0.11533106664990533,0.6717214302329224,1707.1072641687078,0.591171957637515,2.2774
N,3000,5,False,0,4,0.10525892313895072,0.7388284518106984,1822.020223193686,0.5424341503968035,2.4306666666666663
N,3000,5,False,0,5,0.10568224769702579,0.7982425271732706,1729.677061858133,0.531354446034618,2.307466666666667
N,3000,5,False,0,6,0.11968144425553293,0.7163946005753984,1838.348623542443,0.5075686608131095,2.4523333333333333
N,3000,5,False,0,7,0.09714668948091887,0.8540604437878017,1914.6446657879685,0.4370612363182678,2.5542000000000002
N,3000,5,False,1,0,0.07246470424550196,0.483678913372221,1416.8494982425384,0.8203391502693845,1.8905999999999998
N,3000,5,False,1,1,0.07664888663841,0.7391503597110383,1737.9227801000834,0.6427708947567596,2.3186
N,3000,5,False,1,2,0.10369799293439422,0.7333579593258948,1605.2844109567209,0.6826798747438816,2.1418
N,3000,5,False,1,3,0.116346605668419,0.8298065625324302,1568.870818152554,0.5864596996377915,2.0930666666666666
N,3000,5,False,1,4,0.0981524280396395,1.0398345449586097,1894.505710855325,0.472533861929248,2.5272666666666668
N,3000,5,False,1,5,0.12227863692946665,1.0711990708018782,1759.6791503460918,0.5064843203271352,2.3474666666666666
N,3000,5,False,1,6,0.12337915661331465,1.0887921587733023,1787.6886697167458,0.4411837065680785,2.384733333333333
N,3000,5,False,1,7,0.1294718739958576,1.148318461748005,1845.3876247989792,0.4264607955774273,2.4617333333333336
