sweep,n_artifacts,m_observers,averaging,metric,slope,se,t,mean_eff_sample_count,n_points,n11_passed,n11_t_ok,n11_slope_ok
M,1000,1,True,kl_payload,0.005889002430136113,0.0019268054949094803,3.056355426478983,581.0888260119845,24,False,False,False
M,1000,1,True,creator_col_kl,0.06532837374242796,0.008643602565701548,7.558002956042398,581.0888260119845,24,,,
M,1000,5,True,kl_payload,0.0063324743267571555,0.001248662577570898,5.071405550630113,563.5405285262576,24,False,False,False
M,1000,5,True,creator_col_kl,0.03649897370099648,0.0075530425043254,4.832353807104172,563.5405285262576,24,,,
M,1000,20,True,kl_payload,0.006343519257165151,0.00112405489456218,5.643424789886223,560.5258827467788,24,False,False,False
M,1000,20,True,creator_col_kl,0.02427950618412483,0.0062908834654417985,3.859474796743786,560.5258827467788,24,,,
N,100,5,False,kl_payload,0.003703221732755492,0.0012095608633027129,3.061624962504015,49.02483289518616,24,False,False,False
N,100,5,False,creator_col_kl,0.05970621507477872,0.020043988043241017,2.9787592641730845,49.02483289518616,24,,,
N,100,5,True,kl_payload,0.003667286016846365,0.0016008395234692818,2.290851745650779,49.069385841257066,24,False,False,False
N,100,5,True,creator_col_kl,0.03949149531181603,0.010654149933405055,3.7066772627250417,49.069385841257066,24,,,
N,300,5,False,kl_payload,0.005932433705023445,0.0012602838237182506,4.707220384310592,155.89733333343153,24,False,False,False
N,300,5,False,creator_col_kl,0.0179846646620053,0.009027968464882817,1.992105392476993,155.89733333343153,24,,,
N,300,5,True,kl_payload,0.004755613780353871,0.001442933480090074,3.2957955761460362,162.26587372449566,24,False,False,False
N,300,5,True,creator_col_kl,0.034222663158497015,0.009339182746916376,3.664417335638571,162.26587372449566,24,,,
N,1000,5,False,kl_payload,0.004213634691711854,0.0014444833045502237,2.9170532317255655,533.2885343401058,24,False,False,False
N,1000,5,False,creator_col_kl,0.01958135080208927,0.008770885050828308,2.232539896328939,533.2885343401058,24,,,
N,1000,5,True,kl_payload,0.0063324743267571555,0.001248662577570898,5.071405550630113,563.5405285262576,24,False,False,False
N,1000,5,True,creator_col_kl,0.03649897370099648,0.0075530425043254,4.832353807104172,563.5405285262576,24,,,
N,3000,5,False,kl_payload,0.004799069522145913,0.0013466769212046473,3.5636383505057663,1736.2705598685886,24,False,False,False
N,3000,5,False,creator_col_kl,0.053788087735602876,0.01231872699243874,4.366367382653915,1736.2705598685886,24,,,
N,3000,5,True,kl_payload,0.006481130277841533,0.0010123979108112547,6.4017618059366335,1765.9236914277083,24,False,False,False
N,3000,5,True,creator_col_kl,0.0524394146612764,0.006781415056651213,7.7328130225333735,1765.9236914277083,24,,,
N,10000,5,False,kl_payload,0.0037678549840484705,0.0013531281775620776,2.784551416878326,5631.688461010385,24,False,False,False
N,10000,5,False,creator_col_kl,0.040290256390389516,0.01777246952379272,2.267003825014376,5631.688461010385,24,,,
N,10000,5,True,kl_payload,0.004724350827824733,0.0011856168973804636,3.9847195483320546,5766.332753946738,24,False,False,False
N,10000,5,True,creator_col_kl,0.015428511873747342,0.012163296925468242,1.268448182124223,5766.332753946738,24,,,
