half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,0,0,25,11.98870157835332,0.10630894814832122,0.03596033524938013,1.92,,
starvation,starvation_only,0.0,0,0,50,22.980648089238606,0.14524135466723015,0.031974186572820494,1.84,,
starvation,starvation_only,0.0,0,0,75,34.471541305909966,0.12761997648718626,0.017010668782896924,1.84,,
starvation,starvation_only,0.0,0,0,100,45.71341486938227,0.1468662938713344,0.011042210313279066,1.83,,
starvation,starvation_only,0.0,0,0,125,60.206540247068396,0.2041444533493205,0.010573363937630961,1.928,,
starvation,starvation_only,0.0,0,0,150,72.69798627732547,0.20398170437650154,0.010042012085957498,1.94,,
starvation,starvation_only,0.0,0,0,175,85.18921219746771,0.19515949644311362,0.008695409556132261,1.9485714285714286,,
starvation,starvation_only,0.0,0,0,200,95.93070669485995,0.1697107678950623,0.007350490175645148,1.92,,
starvation,starvation_only,0.0,0,0,225,111.17368926437412,0.2031097140346486,0.0068664320369563,1.9777777777777779,,
starvation,starvation_only,0.0,0,0,250,123.91545719722497,0.20040936778847598,0.005235782349365986,1.984,,
starvation,starvation_only,0.0,0,0,275,138.33696990614558,0.21594950689464337,0.006919050934511166,2.0145454545454546,,
starvation,starvation_only,0.0,0,0,300,151.58039277749313,0.23289530888334056,0.0046763256450983596,2.0233333333333334,,
starvation,starvation_only,0.0,0,0,325,167.07260692073498,0.24892759218070706,0.005573763861462333,2.0584615384615383,,
starvation,starvation_only,0.0,0,0,350,180.31426848980956,0.2527824736913032,0.002489841013844781,2.0628571428571427,,
starvation,starvation_only,0.0,0,0,375,193.55684377352662,0.26107333644916136,0.004410338993420163,2.066666666666667,,
starvation,starvation_only,0.0,0,0,400,205.5475503556245,0.2593807410025612,0.0024737229984580747,2.0575,,
starvation,starvation_only,0.0,0,1,25,11.491363547204696,0.17975566995960274,0.06455849806971689,1.84,,
starvation,starvation_only,0.0,0,1,50,22.231662145951905,0.1474015739106867,0.028454712191758335,1.78,,
starvation,starvation_only,0.0,0,1,75,32.72327808397332,0.16837080541483526,0.01909096723809832,1.7466666666666666,,
starvation,starvation_only,0.0,0,1,100,42.964271176869694,0.1619881588588869,0.016134196815107714,1.72,,
starvation,starvation_only,0.0,0,1,125,53.45703722568901,0.19821491915068407,0.008047062950753364,1.712,,
starvation,starvation_only,0.0,0,1,150,63.198903713558025,0.21522002048585206,0.004941513598784345,1.6866666666666668,,
starvation,starvation_only,0.0,0,1,175,73.19073439956965,0.21892203765873625,0.004876870958637208,1.6742857142857144,,
starvation,starvation_only,0.0,0,1,200,82.43175898876599,0.2038327720410315,0.005104949168373205,1.65,,
starvation,starvation_only,0.0,0,1,225,93.42469634744207,0.2346986750032607,0.005459076194637407,1.6622222222222223,,
starvation,starvation_only,0.0,0,1,250,103.91670578334708,0.2431247449271082,0.0031359866884703913,1.664,,
starvation,starvation_only,0.0,0,1,275,115.90868397855394,0.25451242485441705,0.005024260917404322,1.6872727272727273,,
starvation,starvation_only,0.0,0,1,300,127.40170760584878,0.2779843397873767,0.003804763740818493,1.7,,
starvation,starvation_only,0.0,0,1,325,138.64457791782675,0.300540975813844,0.00514877674997265,1.7076923076923076,,
starvation,starvation_only,0.0,0,1,350,150.3870393223398,0.3181255452360451,0.003959811594854651,1.72,,
starvation,starvation_only,0.0,0,1,375,162.1292607175968,0.3254847919189055,0.0029934967566461962,1.7306666666666666,,
starvation,starvation_only,0.0,0,1,400,174.12085578958633,0.3410562856950437,0.0034217072465259546,1.7425,,
starvation,starvation_only,0.0,0,2,25,11.239306087456105,0.24184335746157448,0.055126489807376305,1.8,,
starvation,starvation_only,0.0,0,2,50,21.480612364002546,0.2531819489178509,0.0246933270499321,1.72,,
starvation,starvation_only,0.0,0,2,75,29.97105665167915,0.19950036554309783,0.013420668133822785,1.6,,
starvation,starvation_only,0.0,0,2,100,40.46303911035278,0.20361322556778416,0.007971860524168796,1.62,,
starvation,starvation_only,0.0,0,2,125,49.95479074919009,0.23200457427051505,0.011809771038901679,1.6,,
starvation,starvation_only,0.0,0,2,150,59.445892406928344,0.22278981638944637,0.009573985681000919,1.5866666666666667,,
starvation,starvation_only,0.0,0,2,175,68.68677045386158,0.2136191877916801,0.007557035992827565,1.5714285714285714,,
starvation,starvation_only,0.0,0,2,200,78.9278870733913,0.19537038217613356,0.005711426855324094,1.58,,
starvation,starvation_only,0.0,0,2,225,92.67049408592139,0.22096684937904373,0.008934405829464946,1.6488888888888888,,
starvation,starvation_only,0.0,0,2,250,105.66194625145333,0.23736995655537071,0.004830512066885,1.692,,
starvation,starvation_only,0.0,0,2,275,119.40417280209238,0.2486541729568659,0.0038840056029868335,1.7381818181818183,,
starvation,starvation_only,0.0,0,2,300,131.39695995153315,0.2605159894151643,0.0038033213163651447,1.7533333333333334,,
starvation,starvation_only,0.0,0,2,325,144.07172213714938,0.26530329041775824,0.004460739243082721,1.7753846153846153,,
starvation,starvation_only,0.0,0,2,350,156.06295853571578,0.260126472605984,0.0042299768361477195,1.7857142857142858,,
starvation,starvation_only,0.0,0,2,375,169.05558059616772,0.2646557738025176,0.0028501383957888603,1.8053333333333332,,
starvation,starvation_only,0.0,0,2,400,181.5472870489952,0.26032632192225513,0.003175460756245627,1.8175,,
starvation,starvation_only,0.0,0,3,25,9.73797838651542,0.1715463582028217,0.048610003448008074,1.56,,
starvation,starvation_only,0.0,0,3,50,18.729039041559236,0.11781513890326924,0.03709259483449211,1.5,,
starvation,starvation_only,0.0,0,3,75,26.969933014162088,0.09564901059876621,0.015308644987610759,1.44,,
starvation,starvation_only,0.0,0,3,100,35.461057401750345,0.09767380673802079,0.008717998876262524,1.42,,
starvation,starvation_only,0.0,0,3,125,45.952669564834494,0.10964054429161016,0.006907803241126778,1.472,,
starvation,starvation_only,0.0,0,3,150,57.19461303095443,0.13904798732448095,0.01166899083844668,1.5266666666666666,,
