d,expertise,seed_rep,observer,psi,kl_posterior_prior,goal_accuracy,final_entropy,n_ghost_in_corpus,kl,regret,regret_norm,argmax_preserved,sycophancy,entropy_recovered,n_artifacts,arm
0.0,1.0,0,0,3.158053536459888,1.371525224439579,1.0,1.65656080317296e-05,0,0.0038010060379293775,0.9294618761152562,0.0309820625371752,1,0.675,1.309183724597329,300,main
0.0,1.0,0,1,3.0506702416576346,1.3248892520583702,1.0,1.458878696192667e-06,0,0.0038014185141620263,0.9294219033267326,0.030980730110891083,1,0.69,1.3091848710989544,300,main
0.0,1.0,0,2,3.394556252238274,1.4742370488572651,1.0,4.1864291820493935e-05,0,0.0038006508855869398,0.9293468085201928,0.03097822695067309,1,0.76,1.3091820178421392,300,main
0.0,1.0,0,3,3.0951394256335782,1.344201973273863,1.0,1.6666079918558715e-05,0,0.003801912451745451,0.9294491781745573,0.030981639272485238,1,0.7,1.3091868189930311,300,main
0.0,1.0,0,4,3.0888540502998665,1.3414722694497414,1.0,2.5883815409833404e-05,0,0.003801393901835381,0.9295383805425328,0.030984612684751087,1,0.655,1.309185751755832,300,main
0.0,1.0,0,5,3.387224338914768,1.4710528393590738,1.0,0.0003431137851341879,0,0.003820580343922124,0.9306801382208796,0.031022671274029315,1,0.64,1.3092638316992384,300,main
0.0,1.0,0,6,3.2141802810889066,1.3959007599191549,1.0,1.5059936623364163e-05,0,0.0038013536179104454,0.9294490780124287,0.030981635933747618,1,0.67,1.3091843160495944,300,main
0.0,1.0,0,7,3.2542356067198943,1.4132965668115307,1.0,0.0003573766733845537,0,0.0038021971470021156,0.9267157853111607,0.030890526177038687,1,0.715,1.3091631054922794,300,main
0.0,1.0,0,8,3.320391489366029,1.442027701590186,1.0,3.2469508646050593e-07,0,0.003801431751228778,0.9294228635677748,0.030980762118925823,1,0.655,1.3091848910024813,300,main
0.0,1.0,0,9,3.1234824491413913,1.3565111919837605,1.0,2.1174863942578144e-06,0,0.0038014584106955997,0.9294251456709923,0.030980838189033074,1,0.69,1.3091850055500167,300,main
0.0,1.0,0,10,3.119054291430562,1.3545880675249502,1.0,3.321931807358605e-05,0,0.003802249175437842,0.929444861961648,0.030981495398721595,1,0.735,1.3091879873908376,300,main
0.0,1.0,0,11,3.1700722028065487,1.3767448649137703,1.0,2.4531078947584516e-05,0,0.003802278123172253,0.9293592911951087,0.030978643039836953,1,0.685,1.309187342445392,300,main
0.0,1.0,0,12,3.2774282407834208,1.4233689998061216,1.0,1.51273626178352e-06,0,0.0038014351659714056,0.9294215524428884,0.03098071841476294,1,0.73,1.3091848782977653,300,main
0.0,1.0,0,13,3.1111043478685496,1.3511354509045257,1.0,9.854597204912466e-06,0,0.00380148450180727,0.9294366991625502,0.030981223305418335,1,0.725,1.3091854564145762,300,main
0.0,1.0,0,14,3.167556909047268,1.3756524867137492,1.0,2.5901176429623283e-05,0,0.003802234394496125,0.929474788988105,0.03098249296627016,1,0.75,1.3091882430757578,300,main
0.0,1.0,0,15,3.222934358437279,1.3997026074057075,1.0,5.605792333538002e-07,0,0.0038014399547492833,0.9294220169544176,0.03098073389848058,1,0.71,1.3091849001477378,300,main
0.0,1.0,0,16,3.1448950434271543,1.3658105635253002,1.0,3.893436188657549e-05,0,0.0038005654986440415,0.9293954737200516,0.030979849124001715,1,0.685,1.3091809853773602,300,main
0.0,1.0,0,17,3.298045829294056,1.4323231047264426,1.0,1.4170368789431942e-05,0,0.0038014866037974944,0.9294560676734731,0.0309818689224491,1,0.675,1.3091859453218402,300,main
0.0,1.0,0,18,3.2333995571084233,1.4042475854406065,1.0,2.0508002167488303e-07,0,0.0038014317888634686,0.9294220895331606,0.030980736317772015,1,0.74,1.309184885484095,300,main
0.0,1.0,0,19,3.213665582151226,1.3956772290106785,1.0,1.374252939563816e-05,0,0.003800986336897967,0.9294550051661132,0.030981833505537102,1,0.725,1.3091835939832361,300,main
0.0,1.0,1,0,3.083258457398086,1.339042134329521,1.0,8.034539080345533e-08,0,0.0029606839441564635,0.2620319265242643,0.00873439755080881,1,0.45,1.263642098923518,300,main
0.0,1.0,1,1,3.256916513669922,1.4144608699064238,1.0,1.3329469722912187e-06,0,0.0029606795483817037,0.2620320248311936,0.008734400827706452,1,0.455,1.2636420551024554,300,main
0.0,1.0,1,2,3.2872854488858763,1.4276499308919903,1.0,6.254869913984028e-07,0,0.0029606851740106655,0.26203197464138017,0.008734399154712672,1,0.345,1.2636420777879254,300,main
0.0,1.0,1,3,3.212829631092646,1.3953141800787958,1.0,9.631928652308135e-06,0,0.002960777090334529,0.2620284741928436,0.008734282473094785,1,0.415,1.2636407251359036,300,main
0.0,1.0,1,4,3.3003341723633715,1.433316919494148,1.0,3.825662072542691e-05,0,0.0029605997488167707,0.2620409373530863,0.008734697911769543,1,0.45,1.2636378200375622,300,main
0.0,1.0,1,5,3.418167390619633,1.4844912359677433,1.0,1.75290832093062e-06,0,0.0029606671265389726,0.26203276283704446,0.00873442542790148,1,0.445,1.2636422203663324,300,main
0.0,1.0,1,6,3.1312587269507253,1.3598883865261011,1.0,1.4507175901981054e-05,0,0.0029608618890897697,0.2620236242935059,0.008734120809783528,1,0.39,1.2636425416459187,300,main
0.0,1.0,1,7,3.21797405669114,1.3975483757287839,1.0,1.0389050680430643e-06,0,0.0029606933578669005,0.2620313016895637,0.008734376722985455,1,0.475,1.2636420865902693,300,main
0.0,1.0,1,8,3.0993589156079784,1.3460344744861914,1.0,1.3397760054488175e-06,0,0.0029606924919564877,0.2620313405902297,0.008734378019674322,1,0.415,1.263642121868827,300,main
0.0,1.0,1,9,3.3035448891001007,1.4347113160558633,1.0,3.0000800842384812e-05,0,0.0029611482938603838,0.2620063654832361,0.008733545516107869,1,0.42,1.2636418429459504,300,main
0.0,1.0,1,10,3.302369936515167,1.4342010406317287,1.0,1.5281299626981383e-05,0,0.0029603827342302783,0.26204988899584114,0.00873499629986137,1,0.45,1.2636428756464215,300,main
0.0,1.0,1,11,3.232772531353415,1.403975271615195,1.0,1.3070788643524764e-06,0,0.002960681222155173,0.262032186750738,0.0087344062250246,1,0.43,1.2636420071170613,300,main
0.0,1.0,1,12,3.3377437160920214,1.4495636779060188,1.0,5.98129357049293e-08,0,0.0029606838749279135,0.2620319343218491,0.008734397810728304,1,0.435,1.2636420984614412,300,main
0.0,1.0,1,13,3.1928196410339886,1.3866239518133825,1.0,1.4670695032038727e-06,0,0.0029606709580768495,0.2620325687575864,0.008734418958586213,1,0.425,1.2636420915116942,300,main
0.0,1.0,1,14,3.2328223460957104,1.4039969058828914,1.0,1.1694906845883428e-06,0,0.0029606877995573782,0.26203188883960893,0.00873439629465363,1,0.49,1.2636420702730942,300,main
0.0,1.0,1,15,3.328108694881533,1.445379241361283,1.0,9.616245092380306e-06,0,0.002960843791109029,0.26202248979747544,0.00873408299324918,1,0.43,1.2636416118655853,300,main
0.0,1.0,1,16,3.2197949480282224,1.3983391787886243,1.0,1.1703316041658132e-06,0,0.0029606991028191688,0.2620310179921481,0.008734367266404936,1,0.4,1.263642065358075,300,main
0.0,1.0,1,17,3.4184354245156054,1.4846076416097276,1.0,0.00020722133421769592,0,0.002957663213820256,0.26227031834402115,0.008742343944800704,1,0.45,1.2636712547865359,300,main
0.0,1.0,1,18,3.4469270597655903,1.4969814015791958,1.0,5.2026591024853e-07,0,0.0029606852065989504,0.2620319775970825,0.008734399253236083,1,0.415,1.2636420726942197,300,main
0.0,1.0,1,19,3.373222987488064,1.4649721296952678,1.0,1.4124513674840496e-06,0,0.002960687031334638,0.2620317842264852,0.008734392807549505,1,0.43,1.263642111430413,300,main
0.0,1.0,2,0,3.349706099510674,1.4547588750151506,1.0,1.4030924996212546e-06,0,0.0003827515884544915,1.1105496041000196,0.03701832013666732,1,0.41,1.2790788411886727,300,main
0.0,1.0,2,1,3.2422827464862563,1.408105505569101,1.0,1.626191251341265e-05,0,0.0003826659237126202,1.1105213459002006,0.03701737819667335,1,0.415,1.279078176408119,300,main
