regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,naive,0.0,0.9,0.6,0,0,0.7062791997053579,1.0887088433787815,0.6487310211547814,2.550284228795293,0.0
symmetric,naive,0.0,0.9,0.6,0,1,0.7557215958906737,1.0887088433787815,0.6941448124415983,2.7892158091933075,0.0
symmetric,naive,0.0,0.9,0.6,0,2,0.6998972783645327,1.0887088433787815,0.6428691037287972,2.499519397946506,0.0
symmetric,naive,0.0,0.9,0.6,0,3,0.8859016406491145,1.0887088433787815,0.8137176858963874,2.9954588898243233,0.0
symmetric,naive,0.0,0.9,0.6,0,4,0.7546946453530464,1.0887088433787815,0.6932015386325603,2.665302444388933,0.0
symmetric,naive,0.0,0.9,0.6,0,5,0.8755308497275145,1.0887088433787815,0.8041919150856952,3.2403410557378765,0.0
symmetric,naive,0.0,0.9,0.6,1,0,0.8200583176691836,1.0887088433787815,0.753239328087161,2.5633685448760812,0.0
symmetric,naive,0.0,0.9,0.6,1,1,0.8516077840172,1.0887088433787815,0.782218119377313,2.645649373138939,0.0
symmetric,naive,0.0,0.9,0.6,1,2,0.5520835693938397,1.0887088433787815,0.5070993707375994,3.9511785488181217,0.0
symmetric,naive,0.0,0.9,0.6,1,3,0.7816506013658573,1.0887088433787815,0.7179611023825466,3.082669174146757,0.0
symmetric,naive,0.0,0.9,0.6,1,4,0.6014407609624653,1.0887088433787815,0.5524348999461679,2.2889810360616534,0.0
symmetric,naive,0.0,0.9,0.6,1,5,0.8592398773177269,1.0887088433787815,0.7892283437793127,2.729032249800315,0.0
symmetric,naive,0.0,0.9,0.6,2,0,0.6189968982450686,1.0887088433787815,0.5685605495074576,2.40512482005354,0.0
symmetric,naive,0.0,0.9,0.6,2,1,0.7331030840127313,1.0887088433787815,0.6733692745046175,2.7632325548404495,0.0
symmetric,naive,0.0,0.9,0.6,2,2,0.7602025497994096,1.0887088433787815,0.6982606547404717,2.5177189376269604,0.0
symmetric,naive,0.0,0.9,0.6,2,3,0.682331240969167,1.0887088433787815,0.6267343607236334,2.4185557473496466,0.0
symmetric,naive,0.0,0.9,0.6,2,4,0.7290697140157115,1.0887088433787815,0.6696645466321935,2.675285930848634,0.0
