tier,seed_rep,observer,true_goal,modal_goal,correct,first_skim_t,cum_deep,final_goal_entropy
CREATOR,0,0,3,3,1,2,2,0.01700885096833696
CREATOR,0,1,1,1,1,2,2,0.013422131600179275
CREATOR,0,2,3,3,1,1,1,0.23470495100407593
CREATOR,0,3,2,2,1,2,2,0.014498417135635086
CREATOR,0,4,0,0,1,2,2,0.01310066584233181
CREATOR,0,5,3,3,1,2,2,0.016761409152457316
CREATOR,0,6,3,3,1,3,3,0.08202913266250325
CREATOR,0,7,0,0,1,2,2,0.014098349672000167
CREATOR,0,8,0,0,1,2,2,0.014772497966008737
CREATOR,0,9,2,2,1,1,1,0.295383373496928
CREATOR,0,10,1,1,1,1,1,0.28828691420722463
CREATOR,0,11,2,2,1,2,2,0.013155192944458284
CREATOR,0,12,3,3,1,1,1,0.3055761589649838
CREATOR,0,13,1,1,1,2,2,0.013488390789674187
CREATOR,0,14,2,2,1,2,2,0.015618795568465817
CREATOR,0,15,2,2,1,1,1,0.2984431358808783
CREATOR,0,16,1,1,1,2,2,0.013524955894942962
CREATOR,0,17,2,2,1,3,3,0.10632147911865333
CREATOR,0,18,3,3,1,2,2,0.017082888383033675
CREATOR,0,19,1,1,1,1,1,0.21314509290971298
CREATOR,0,20,0,0,1,2,2,0.016964379879112073
CREATOR,0,21,3,3,1,1,1,0.27828808174414243
CREATOR,0,22,1,1,1,1,1,0.2183605374548427
CREATOR,0,23,0,0,1,2,2,0.013908079541412897
CREATOR,0,24,3,3,1,2,2,0.01563150890782001
CREATOR,0,25,1,1,1,1,1,0.2686208788468339
CREATOR,0,26,1,1,1,1,1,0.2346885541506641
CREATOR,0,27,0,0,1,1,1,0.2541840464290506
CREATOR,0,28,1,1,1,1,1,0.20295065420193414
CREATOR,0,29,0,0,1,2,2,0.014105444588127174
CREATOR,0,30,0,0,1,1,1,0.25434232364695614
CREATOR,0,31,1,1,1,1,1,0.263299653289699
CREATOR,0,32,0,0,1,2,2,0.01570300839833774
CREATOR,0,33,2,2,1,2,2,0.01702688332202177
CREATOR,0,34,3,3,1,1,1,0.2937832691189571
CREATOR,0,35,0,0,1,1,1,0.20102495772813178
CREATOR,0,36,2,1,0,1,1,0.29240978149953906
CREATOR,0,37,3,3,1,2,2,0.016219180898839294
CREATOR,0,38,1,1,1,2,2,0.016112533146719007
CREATOR,0,39,3,3,1,1,1,0.27756322774444037
CREATOR,0,40,1,1,1,2,2,0.014304011812872221
CREATOR,0,41,1,1,1,1,1,0.2824388749798015
CREATOR,0,42,3,3,1,1,1,0.2563274790994159
CREATOR,0,43,3,3,1,2,2,0.016348579380416436
CREATOR,0,44,2,2,1,2,2,0.014486023060199789
CREATOR,0,45,2,2,1,2,2,0.01530603488321711
CREATOR,0,46,1,1,1,2,2,0.016795981709986946
CREATOR,0,47,1,1,1,1,1,0.30252592033503345
CREATOR,0,48,0,0,1,2,2,0.016961059097033403
CREATOR,0,49,0,0,1,2,2,0.012956033769390043
CREATOR,0,50,3,3,1,1,1,0.2996779799286161
CREATOR,0,51,2,2,1,1,1,0.27904843841199267
CREATOR,0,52,3,3,1,2,2,0.01671730882168776
CREATOR,0,53,0,0,1,2,2,0.015425830566831314
CREATOR,0,54,0,0,1,1,1,0.2539791178137634
CREATOR,0,55,1,1,1,1,1,0.26772342842980845
CREATOR,0,56,0,0,1,1,1,0.30384023637815594
CREATOR,0,57,1,1,1,1,1,0.30027133979721154
CREATOR,0,58,2,2,1,1,1,0.24857606262167817
CREATOR,0,59,3,3,1,2,2,0.01304940077583839
CREATOR,0,60,1,1,1,2,2,0.012844137779892316
CREATOR,0,61,0,0,1,1,1,0.22792104710304295
CREATOR,0,62,1,1,1,1,1,0.2911274854232908
CREATOR,0,63,1,1,1,2,2,0.017161166935066356
CREATOR,0,64,3,3,1,1,1,0.2186751476843337
CREATOR,0,65,1,1,1,1,1,0.29319071704198846
CREATOR,0,66,0,0,1,1,1,0.19292106771095835
CREATOR,0,67,2,2,1,1,1,0.20348064453827502
CREATOR,0,68,1,1,1,2,2,0.014368003215865368
CREATOR,0,69,1,1,1,1,1,0.2750832520909244
CREATOR,0,70,1,1,1,2,2,0.013779245242084709
CREATOR,0,71,2,0,0,1,1,0.25898282387238664
CREATOR,0,72,0,0,1,2,2,0.016543147766499254
CREATOR,0,73,3,3,1,2,2,0.013251468884245596
