kappa_p,beta,theta,n,engaged_fraction,final_entropy,mean_entropy,prior_drift,prior_drift_sd,psi_per_encounter,value_divergence,theta_value,recovered_beta,accuracy,prior_mass_on_source_goal
high,high,closed,1200,0.0,0.0024575966226036195,0.0033609061488921576,2.256640669805942e-09,7.527380588359924e-08,1.2532510162304103e-05,3.131535135357589,4.8970563126636e-06,0.8357685701975116,0.23833333333333334,0.2502990608316606
high,high,open,1200,0.0,0.004668102539436834,0.004087869372003917,1.1454267804231162,0.17154673681079877,1.2386860591021867,0.13817282071749964,1.0,0.8350465560042947,1.0,0.9525914952495378
high,low,closed,1200,0.0,0.7065533971639616,0.7314627499560216,0.0069942736005476945,0.020185752214712215,0.035782197484909205,1.9622021417631568,0.0276504396060734,0.3280437102562639,0.20833333333333334,0.24353264918496853
high,low,open,1200,0.0,0.7432502678891069,0.7431825950889213,0.3436899447852947,0.23273886934340113,1.3701633751759852,0.7312148527891473,1.0,0.32616331246510133,0.7833333333333333,0.5321810146185476
low_empty,high,closed,1200,0.0,1.1056469202968784,1.0884880655777898,0.008819386016966918,0.020209291581840098,0.044679833428816325,1.3362929424729866,0.044816693358831476,0.36536917085539333,0.20333333333333334,0.24123502666706656
low_empty,high,open,1200,0.0,1.0895832854247207,1.0870769688916917,0.12288812523356359,0.11650827469940576,0.82923362663707,1.1556028780534047,1.0,0.36829574840726764,0.36833333333333335,0.2995810478467215
low_empty,low,closed,1200,0.0,1.101616527218923,1.0883541282252642,0.01016887850232551,0.02251156699512679,0.04988241889035411,1.3171648662420556,0.04766660351977912,0.3686687106501759,0.20083333333333334,0.24038611909771732
low_empty,low,open,1200,0.0,1.0882984278664585,1.0939362352339386,0.11574645802127889,0.1040635294219484,0.8244762315511402,1.2489362058607476,1.0,0.36620809840572366,0.2791666666666667,0.26183803788582166
low_foreign,high,closed,1200,0.7864732142857143,1.3374261822046862,1.3349869801103125,0.0010136115935000251,0.004372800531467661,0.007027330433357457,1.0536699674789354,0.025856651164142062,0.4823430532802096,0.24166666666666667,0.24730283839115372
low_foreign,high,open,1200,0.6919196428571429,1.3433639732475346,1.3389570241588273,0.02936973758014202,0.03562629785886737,0.13489684734361787,1.0486908213502337,1.0,0.48417702445380617,0.23583333333333334,0.2499118897653285
low_foreign,low,closed,1200,0.7887202380952382,1.3369962956687589,1.3349169514254338,0.0012003488536015616,0.005392171673153437,0.007889234954163478,1.0511486451135492,0.02646369050719351,0.48240663000743816,0.23833333333333334,0.24715350998349644
low_foreign,low,open,1200,0.6943005952380953,1.3430902059012388,1.339320077051745,0.028426675648469756,0.03238755237772042,0.13211000060391545,1.0495231707037678,1.0,0.48433547601928467,0.23916666666666667,0.2483603203733937
