true_provenance,declared_signal,seed_rep,observer,true_goal,modal_goal,within_entropy,final_posterior
CREATOR,SIG_CREATOR,0,0,1,1,2.2731461814099323e-09,"[9.426463945751589e-11, 0.9999999999056475, 5.169289041888415e-14, 3.622085431038962e-14]"
CREATOR,SIG_CREATOR,0,1,1,1,2.3335629546582213e-12,"[7.181104489965657e-14, 0.9999999999999256, 1.274406531580677e-15, 1.2270016000407978e-15]"
CREATOR,SIG_CREATOR,0,2,1,1,4.629206687103053e-14,"[4.1908583495745824e-16, 0.9999999999999987, 4.1894504379633295e-16, 4.3208543882334446e-16]"
CREATOR,SIG_CREATOR,0,3,1,1,4.679649982777427e-14,"[4.3463115160376104e-16, 0.9999999999999987, 4.2680402037787065e-16, 4.2334644787978098e-16]"
CREATOR,SIG_CREATOR,0,4,1,1,4.631777300075313e-14,"[4.2767488177214754e-16, 0.9999999999999987, 4.246156398827874e-16, 4.1857068845243446e-16]"
CREATOR,SIG_CREATOR,0,5,1,1,1.5233248591838462e-12,"[4.4032956676275675e-14, 0.9999999999999523, 1.6744300657778639e-15, 1.9008832662085566e-15]"
CREATOR,SIG_CREATOR,0,6,1,1,4.729340833771273e-14,"[4.341237369504913e-16, 0.9999999999999987, 4.3221461751682846e-16, 4.3289397631366615e-16]"
CREATOR,SIG_CREATOR,0,7,1,1,4.7045500265350166e-14,"[4.289436471774988e-16, 0.9999999999999987, 4.304948891503989e-16, 4.325827978416694e-16]"
CREATOR,SIG_CREATOR,0,8,1,1,1.8416187418148084e-12,"[5.426225927699435e-14, 0.999999999999942, 1.7537570826878535e-15, 1.9679959947932506e-15]"
CREATOR,SIG_CREATOR,0,9,1,1,4.679392022860055e-14,"[4.331414494183954e-16, 0.9999999999999987, 4.257227109183256e-16, 4.2584140004999054e-16]"
CREATOR,SIG_CREATOR,0,10,1,1,4.646783553674914e-14,"[4.2823687144242053e-16, 0.9999999999999987, 4.247731702109584e-16, 4.2221311144462524e-16]"
CREATOR,SIG_CREATOR,0,11,1,1,2.613924692438943e-12,"[2.1492160625263943e-15, 0.9999999999999165, 7.95861820407617e-14, 1.686726855256295e-15]"
CREATOR,SIG_CREATOR,0,12,1,1,1.3946913552215642e-12,"[4.063887468051849e-14, 0.9999999999999565, 1.296750712361888e-15, 1.5742485626697557e-15]"
CREATOR,SIG_CREATOR,0,13,1,1,4.5894676418731866e-14,"[4.21966064597588e-16, 0.9999999999999987, 4.2009934105059646e-16, 4.164964578212084e-16]"
CREATOR,SIG_CREATOR,0,14,1,1,1.131673828395844e-10,"[4.489837118823316e-14, 0.9999999999959552, 2.1272956657384888e-12, 1.872677675529082e-12]"
CREATOR,SIG_CREATOR,0,15,1,1,1.2369235379921234e-12,"[1.1818253673006444e-15, 0.9999999999999616, 3.597410837608856e-14, 1.2914497612819328e-15]"
CREATOR,SIG_CREATOR,0,16,1,1,1.904364878577814e-12,"[1.937910859927379e-15, 0.9999999999999398, 1.5624849259453382e-15, 5.6559808047959364e-14]"
CREATOR,SIG_CREATOR,0,17,1,1,2.4137047885624796e-12,"[1.859241472064668e-15, 0.9999999999999232, 7.27801536613718e-14, 2.1349036249216687e-15]"
CREATOR,SIG_CREATOR,0,18,1,1,4.6215451218046035e-14,"[4.2028482446502906e-16, 0.9999999999999987, 4.273131840202892e-16, 4.202882883912643e-16]"
