arm,true_mu,delta,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,subgoal_entropy,correct,final_entropy,psi_analogue,psi_structure,engaged_fraction,cum_deep,separation_enforced
sustained,1,1.0,0,0,0,1.4052534055977774,0.8123974172253392,1.3520120366221595,1,3.0695681176443204e-15,3.2340338145337917,3.312971783847311,,24,True
sustained,1,1.0,0,1,0,1.784656689583986,0.9356477957652174,1.221938908242058,1,5.91269165393183e-14,2.3636624927230323,2.7421049084525353,,24,True
sustained,1,1.0,0,2,0,1.5959863867649948,0.9226474642850974,1.381646685897605,1,3.624679382356834e-15,3.7788447049859633,3.789546372634225,,24,True
sustained,1,1.0,0,3,0,1.8982296175253226,1.0377817595669998,1.3459994591668953,1,2.9711224252355416e-15,2.633071777809871,2.72585421834882,,24,True
sustained,1,1.0,0,4,0,1.5782995154075234,0.9236988336380763,1.3496504813860661,1,3.5544817725602384e-15,2.852056055383658,2.936431706584391,,24,True
sustained,1,1.0,0,5,0,2.039657190993225,1.0901547680944792,1.3352774343910498,1,2.524897431633572e-13,3.8484408274256907,3.9659116423651453,,24,True
sustained,1,1.0,0,6,0,1.5587042877829425,0.9067840910754124,1.3513606964441975,1,3.526365337132739e-15,2.9767495263767945,3.057187261877533,,24,True
sustained,1,1.0,0,7,0,1.2597577512215499,0.5819957262330804,1.3844716953306464,1,3.627957702825419e-15,3.2358818381522956,3.240078681199958,,24,True
sustained,1,1.0,0,8,0,1.1959264835663865,0.4775059745295674,1.3839048610828724,1,3.781443038835773e-15,3.420535198857525,3.4260372259919585,,24,True
sustained,1,1.0,0,9,0,1.231315595492256,0.5359931953615498,1.3829900583586137,1,4.520843549886267e-15,2.739771810745727,2.747380249003878,,24,True
sustained,1,1.0,0,10,0,2.103856974909635,1.0902419002790507,1.3048467751982433,1,3.140887724944704e-15,2.913758637102042,3.1012986342810938,,24,True
sustained,1,1.0,0,11,0,1.8115382918236262,1.064633979605511,1.3372161180947828,1,1.5632168586207936e-12,2.792854955406349,2.9058617861630833,,24,True
sustained,1,1.0,0,12,0,1.6096191902750576,0.9654477502564126,1.3851353828435329,1,3.09940814656005e-15,3.516384355442693,3.5190530015131274,,24,True
sustained,1,1.0,0,13,0,1.400380138669525,0.7665492693596814,1.3684812970736118,1,3.647400947815478e-15,3.091235194319568,3.1322512900266295,,24,True
sustained,1,1.0,0,14,0,1.053254967735183,0.1695658012002945,1.3861130774851986,1,6.22009706544694e-15,3.236212267915113,3.2366296888817927,,24,True
sustained,1,1.0,0,15,0,1.227105390748887,0.5248297762842383,1.3840793907533837,1,7.15908086861079e-15,3.4768849447367516,3.481985102452825,,24,True
sustained,1,1.0,0,16,0,1.3383980040731054,0.6958868027512213,1.3835658147181729,1,7.882137886244377e-15,2.7205382950350927,2.7268210052827158,,24,True
sustained,1,1.0,0,17,0,1.4934956400690225,0.8850464732985793,1.336048090520299,1,1.358053740328313e-12,3.241440477302931,3.357136790935867,,24,True
sustained,1,1.0,0,18,0,1.6348490743187378,0.9774140715253613,1.3771262894595042,1,3.1614781640374183e-15,3.5631755179805307,3.584285783084774,,24,True
sustained,1,1.0,0,19,0,1.5637894701082675,0.927195944880295,1.3601749540055896,1,4.104103054527621e-15,2.938601288459978,2.9987434458944593,,24,True
sustained,1,1.0,0,20,0,1.0219072500323068,0.07930110916050513,1.38626916786684,1,3.592972920099659e-15,3.627887943245726,3.627945952821256,,24,True
sustained,1,1.0,0,21,0,1.5074070816210527,0.8769243041326431,1.3771309068760913,1,3.2079716879701686e-15,2.9199736190924934,2.9410732522100487,,24,True
sustained,1,1.0,0,22,0,1.785006713563562,1.0465492909774952,1.3689976949355147,1,4.9519070739364555e-15,3.549312114136451,3.589139159818822,,24,True
sustained,1,1.0,0,23,0,1.7457205784541823,1.031656632506448,1.3095241479112767,1,3.4240617502732365e-15,3.3211338045582792,3.4979037530491848,,24,True
sustained,1,1.0,0,24,0,1.0494010339828501,0.1738317845476841,1.3859451716149083,1,3.2614924031213905e-15,2.9418248216794867,2.9426288602035036,,24,True
sustained,1,1.0,0,25,0,1.7595275567512796,1.051676494357526,1.3184110878697815,1,3.9065781083598036e-15,3.027129152600465,3.1834361656240877,,24,True
sustained,1,1.0,0,26,0,1.6267929077845384,0.9657614683870872,1.3654794111930972,1,3.15627571771655e-15,3.184358836139092,3.232287029524406,,24,True
sustained,1,1.0,0,27,0,1.4359893160491883,0.8076688626295363,1.366451811415748,1,3.8375361826127905e-15,3.462967686050066,3.5086568451747393,,24,True
sustained,1,1.0,0,28,0,1.727433052847748,1.0136737446600859,1.3338460912283578,1,3.656217214441222e-15,3.4607035143289937,3.5814701187035154,,24,True
sustained,1,1.0,0,29,0,1.5343491455707539,0.9021838611817093,1.3844103893530513,1,3.862793434611271e-15,2.328767532532649,2.3331055378196024,,24,True
sustained,1,1.0,0,30,0,2.4423646867091136,0.939034676920339,1.1311361772925892,1,2.568844849530714e-15,3.778910083615487,4.366433514016015,,24,True
sustained,1,1.0,0,31,0,1.3816078113597836,0.7481005380102468,1.3799176130983661,1,3.2566068873113937e-15,3.850808262267861,3.8654912671672217,,24,True
sustained,1,1.0,0,32,0,1.4230569204585364,0.7794851842527771,1.370790481469932,1,3.712699494583096e-15,3.598484517056825,3.634183519189429,,24,True
sustained,1,1.0,0,33,0,1.3220447738017655,0.6396539733919913,1.3666702086193925,1,5.914353259990745e-14,2.8527157163266703,2.8979019973131157,,24,True
sustained,1,1.0,0,34,0,1.6192854583273113,0.9670262838729891,1.3677920424621752,1,3.629446796774737e-15,2.73663000825777,2.7792331713621783,,24,True
sustained,1,1.0,0,35,0,1.0367923305187838,0.10743396743142063,1.3862002064985561,1,6.976073251503171e-14,3.1023468748877074,3.1025636738886555,,24,True
sustained,1,1.0,0,36,0,1.7336803885096497,1.0382432959187713,1.3782161389558678,1,1.4394216616417313e-14,3.6885500304164296,3.707150824314923,,24,True
sustained,1,1.0,0,37,0,1.8552171538051367,1.078433215816646,1.3537053669935395,1,1.1684457696871136e-14,3.0625258687954595,3.137564800840346,,24,True
sustained,1,1.0,0,38,0,1.3370703591033073,0.6903040079016459,1.3749094166925233,1,4.075232284035734e-15,3.054146111751476,3.0803609150484728,,24,True
sustained,1,1.0,0,39,0,1.4044387876107214,0.7759536534733794,1.3483245829540642,1,1.4404114399294215e-12,3.7182050439679717,3.8056336891221743,,24,True
sustained,1,1.0,0,40,0,2.0000726894309286,1.098600353223988,1.362073229638404,1,2.6058324564907388e-15,3.092208238065997,3.1479794543242585,,24,True
sustained,1,1.0,0,41,0,1.119095656069024,0.34828502468162514,1.3855859112808775,1,3.796430654528252e-15,3.5276814184560026,3.5293126844624814,,24,True
sustained,1,1.0,0,42,0,1.648012075778376,1.002459000638129,1.3788728314247938,1,4.022547046555137e-15,3.0239006227502907,3.0409893263677477,,24,True
sustained,1,1.0,0,43,0,1.6047291817832807,0.9536541611767676,1.3804042007768405,1,3.400261701365658e-15,2.981889864315448,2.9954524596914793,,24,True
sustained,1,1.0,0,44,0,1.9755031831914014,1.0981538204528447,1.3415044351677095,1,1.3063519700240108e-13,3.318345836214383,3.4214784519989925,,24,True
sustained,1,1.0,0,45,0,1.2390817059650334,0.4617553215754614,1.3818153795121955,1,5.533362919609514e-15,3.488094208150167,3.498407444400419,,24,True
sustained,1,1.0,0,46,0,2.1806306616559548,1.0596284243486387,1.3693431753070013,1,2.555225001321905e-15,3.3628583153189973,3.4018898630505707,,24,True
sustained,1,1.0,0,47,0,1.5736851889580834,0.9317818202899157,1.3638560327030405,1,3.3706044657494943e-15,3.6005589237098343,3.6522250842011843,,24,True
sustained,1,1.0,0,48,0,1.7275550798383892,1.0397944525570892,1.280650522393783,1,4.2222659957953215e-15,3.7456841675434736,3.988938095725735,,24,True
sustained,1,1.0,0,49,0,2.0189284120031803,1.097669869803831,1.3059867484674468,1,3.432194494678877e-15,3.489810301245587,3.674725412961599,,24,True
sustained,1,1.0,0,50,0,2.4040684978930624,0.9633809649484864,1.3248953398588366,1,2.7642137126376323e-15,3.3266618017614538,3.4680382728122874,,24,True
sustained,1,1.0,0,51,0,1.1329895872714757,0.3646671604731053,1.3839701295877522,1,3.194557306778379e-15,3.6287813781951375,3.6341331190403037,,24,True
sustained,1,1.0,0,52,0,1.9691396476045502,1.0956786304568162,1.3817292180648524,1,2.9169844831738118e-15,3.704491823760506,3.715003454071904,,24,True
sustained,1,1.0,0,53,0,1.989028572784398,1.098412396866373,1.359709374467644,1,4.0161531002242154e-15,3.5605539382542744,3.6217681321847572,,24,True
sustained,1,1.0,0,54,0,1.1055395490123996,0.3229043046352843,1.385046899424542,1,3.667840986130983e-15,3.8011675526002207,3.8040399392680135,,24,True
sustained,1,1.0,0,55,0,1.071827204752698,0.22414867343925726,1.3861871936876895,1,3.722452144817453e-15,2.421287907113773,2.4215346692258413,,24,True
sustained,1,1.0,0,56,0,1.755273209328619,1.0437127782092284,1.371071636115814,1,3.601045961804267e-15,3.3888567375175938,3.423908357156632,,24,True
sustained,1,1.0,0,57,0,2.1014726806456805,1.07186739264127,1.363038543438063,1,5.2578161772914546e-15,3.450492729543735,3.5040412286323863,,24,True
sustained,1,1.0,0,58,0,1.5534788496230427,0.9346339211636676,1.3371382396538725,1,6.789280657599506e-15,3.204933933203594,3.318120085692867,,24,True
sustained,1,1.0,0,59,0,1.859392794159194,1.0784943535879954,1.3768932457092653,1,4.247451570516503e-15,3.1777849224249017,3.1994317905994643,,24,True
