arm,p_divergence,n,diverged_fraction,latent_recovery,declared_recovery,self_report_accuracy,latent_recovery_when_diverged,recovered_mu,recovered_mu_when_diverged,subgoal_entropy,final_entropy,artifact_trace_kl,artifact_trace_kl_when_diverged
deceptive,0.0,2000,0.0,0.882,0.882,1.0,,1.9709037263345626,,1.3724253709255176,0.7198045140360013,0.7926750310544329,
deceptive,0.25,2000,0.35,0.896,0.5895,0.65,0.9157142857142857,1.970663618248144,1.9710283889514664,1.3754582701869749,0.7182688828941286,0.5535728602788169,0.5686708852255549
deceptive,0.5,2000,0.4,0.8905,0.549,0.6,0.88,1.9700659723162475,1.9695702735301535,1.3703483145786424,0.7079048196250056,0.6457470495253962,0.6570139084214215
deceptive,0.75,2000,0.8,0.882,0.207,0.2,0.874375,1.970756837314746,1.970643852067551,1.3757443791459951,0.7210223908424431,0.5900378831647302,0.6151097411072466
deceptive,1.0,2000,1.0,0.867,0.049,0.0,0.867,1.9708577459281778,1.9708577459281778,1.3751138936625806,0.7327355353891309,0.6722356121323058,0.6722356121323058
generative,0.0,2000,0.0,0.8955,0.8955,1.0,,1.9703249853975844,,1.3754481592768335,0.7181216841844077,0.5643537778064285,
generative,0.25,2000,0.2,0.903,0.728,0.8,0.905,1.9704766203486603,1.971161479155356,1.3749453851121598,0.7068478199024844,0.521186610443747,0.3892898463772404
generative,0.5,2000,0.15,0.901,0.776,0.85,0.89,1.9705622145051191,1.9710342812486017,1.3761093530496578,0.7176298431148758,0.6763922514680413,0.7002186669225043
generative,0.75,2000,0.15,0.8885,0.767,0.85,0.8633333333333333,1.9710358937997294,1.971368853845554,1.375605842931885,0.7145672799668842,0.7593273826797897,0.8880019301830545
generative,1.0,2000,0.1,0.8875,0.7985,0.9,0.905,1.9706357796238758,1.9692806234790385,1.3734031819197872,0.7190601986386604,0.5615394507231516,0.43614084009730597
human_unaware,0.0,2000,0.0,0.887,0.887,1.0,,1.9706523215539355,,1.372344738151855,0.7183270277993833,0.5599203681324338,
human_unaware,0.25,2000,0.2,0.8895,0.7195,0.8,0.8775,1.970088560205946,1.9706714057041677,1.3751360316397494,0.7220178519815024,0.695634764999397,0.941752483526993
human_unaware,0.5,2000,0.5,0.895,0.4615,0.5,0.891,1.9709839688398714,1.971303597630818,1.3746957114691085,0.7042313858989117,0.7031663377947219,0.8543951404091712
human_unaware,0.75,2000,0.6,0.883,0.3795,0.4,0.8858333333333334,1.970658247016967,1.9706262913239494,1.3743939554808944,0.7120372036872186,0.6473585230375061,0.8589329636890534
human_unaware,1.0,2000,1.0,0.8865,0.037,0.0,0.8865,1.9711598902711944,1.9711598902711944,1.3794715625118488,0.7111111333553772,0.9276607681884734,0.9276607681884734
