arm,kappa,gamma,selectivity,engagement,deep_steps_ghost
A,0.0,16.0,-0.22299999999999995,0.8744999999999999,3.6799999999999997
A,0.1,16.0,0.0076666666666666715,0.7098333333333333,2.16575
A,0.2,16.0,0.15483333333333335,0.591,1.5522500000000001
A,0.3,16.0,0.2984166666666668,0.4972083333333333,1.04775
A,0.4,16.0,0.2824166666666667,0.4867916666666667,1.03725
A,0.5,16.0,0.2576666666666667,0.4724166666666666,1.0307499999999998
A,0.6,16.0,0.22991666666666669,0.4544583333333333,1.0185
A,0.7,16.0,0.2609166666666667,0.42445833333333327,0.882
A,0.8,16.0,0.43574999999999997,0.32729166666666665,0.32825000000000004
A,0.9,16.0,0.5381666666666667,0.26908333333333334,0.0
A,0.99,16.0,0.5378333333333334,0.2689166666666667,0.0
B,0.0,1.0,-0.16249999999999995,0.8471666666666666,4.8637500000000005
B,0.0,2.0,-0.20149999999999996,0.8599166666666667,4.337
B,0.0,4.0,-0.2228333333333333,0.8704166666666667,3.9957499999999997
B,0.0,8.0,-0.22891666666666666,0.8722083333333334,3.78425
B,0.0,16.0,-0.22599999999999998,0.8736666666666666,3.6792499999999997
B,0.0,32.0,-0.2305833333333333,0.8720416666666667,3.6387500000000004
B,0.0,64.0,-0.23024999999999993,0.8703749999999999,3.6094999999999997
C,0.9,1.0,0.50775,0.343125,0.34075
C,0.9,2.0,0.5662499999999999,0.2989583333333333,0.051000000000000004
C,0.9,4.0,0.55975,0.28120833333333334,0.004
C,0.9,8.0,0.5417500000000001,0.27087500000000003,0.0
C,0.9,16.0,0.5394166666666667,0.2697083333333333,0.0
C,0.9,32.0,0.534,0.267,0.0
C,0.9,64.0,0.5304166666666668,0.2652083333333334,0.0
