arm,favoured_k,contamination,kl_naive,kl_naive_sd,kl_recovered,bound,synth_lean,naive_regret,naive_argmax,weighted_regret
biased,0,0.0,0.0007787152748779913,0.00035974838911213115,0.0009203046822844614,-3.9999226153601766e-12,0.9516310506386029,1.1124901849057376,1.0,1.268158438000677
biased,0,0.2,0.005152012013089213,0.0025573162903146794,0.001253337102094602,0.029320512888574714,0.9516310506386029,1.1658772266008353,1.0,1.2442697929819284
biased,0,0.4,0.016439477186167447,0.007172195363446887,0.0014015214133699415,0.1169050981581141,0.9516310506386029,1.3805484945368542,1.0,1.1341942450161706
biased,0,0.6,0.033246766138694234,0.012322246297780745,0.002443985339536128,0.2678991778381227,0.9516310506386029,2.1169497160600255,0.9259259259259259,1.366712629922918
biased,0,0.8,0.05374772171778159,0.017352852806746033,0.0032209750535225697,0.5007099276256659,0.9516310506386029,3.2409542964738773,0.8518518518518519,1.55836973978885
biased,1,0.0,0.002041942173932295,0.0016518680117134144,0.009669959217046765,-3.9999226153601766e-12,0.9571211475764382,0.64587874184019,1.0,0.3671357667541085
biased,1,0.2,0.009805914493337906,0.004034990088057297,0.006427819344736642,0.04355620225286258,0.9571211475764382,4.539706891043154,0.6666666666666666,0.4404185283048598
biased,1,0.4,0.04133479117608986,0.01936363670424951,0.0036903389397113886,0.1678157027674238,0.9571211475764382,8.303814324659799,0.1111111111111111,0.7602018839662584
biased,1,0.6,0.09590950578594101,0.04585518255077444,0.008721844796706844,0.37377608596644457,0.9571211475764382,9.475793024515712,0.0,2.6938603599089674
biased,1,0.8,0.17176307104908478,0.08354070454797861,0.04240967571827059,0.6803876188043222,0.9571211475764382,9.946425852108064,0.0,5.977961829713492
biased,2,0.0,0.0008044358002813373,0.0004921154817248777,0.0009644207710824254,-3.9999226153601766e-12,0.9634827409194409,1.0242233507104697,1.0,1.0109193009651192
biased,2,0.2,0.006372854152561291,0.0023904121206291522,0.0012549436293294294,0.06879132651946872,0.9634827409194409,1.5542693924070279,1.0,0.9934388696961688
biased,2,0.4,0.022434647610526357,0.005206148259819233,0.0015684665213477017,0.2516696520021913,0.9634827409194409,2.6134081600647354,1.0,0.9018197649532035
biased,2,0.6,0.04807321908726805,0.008747379352455295,0.002266853320611383,0.5389542592987089,0.9634827409194409,5.631213268883271,0.8888888888888888,1.1029900766377605
biased,2,0.8,0.07994034454151405,0.013423291388778192,0.0025314144801357333,0.9479609352487753,0.9634827409194409,9.731145135207875,0.37037037037037035,1.260572659684524
biased,3,0.0,0.0007288817368419793,0.0004080981815946735,0.0007522535632121792,-3.9999226153601766e-12,0.9586446444924583,1.0220182167998308,1.0,1.0221284593735744
biased,3,0.2,0.02011488631021434,0.009092836723261248,0.0010130365368118351,0.12763007985929342,0.9586446444924583,2.2722732787434143,1.0,1.024806066388179
biased,3,0.4,0.0699203573718147,0.03196568613373502,0.0012494690986349722,0.4261400627676878,0.9586446444924583,6.272529927946497,0.6666666666666666,0.9639552869351113
biased,3,0.6,0.1417059098297375,0.06311399366873928,0.0023341706715888848,0.8581660503517049,0.9586446444924583,14.459220033721563,0.1111111111111111,1.2628967039672825
biased,3,0.8,0.23134715633739342,0.10117560027917762,0.004832106934695329,1.435691182254632,0.9586446444924583,20.9873114569856,0.0,1.7654759690996469
symmetric,-1,0.0,0.0007530711396710189,0.0004192601100382671,0.0007456771280566465,-3.9999226153601766e-12,0.25,1.0220852013055908,1.0,1.020466589840276
symmetric,-1,0.2,0.008795731460012961,0.0020491539984145647,0.0010215833745584391,0.029320512888574714,0.25,1.8766436304150236,1.0,1.041310311990385
symmetric,-1,0.4,0.030621847661259003,0.0038110115321644852,0.0015499133178669925,0.1169050981581141,0.25,3.3577780548622336,1.0,1.0110727692233978
symmetric,-1,0.6,0.0645813369142535,0.006446692279332991,0.004010536216667154,0.2678991778381227,0.25,6.291420123519075,0.5185185185185185,1.3821406568064545
symmetric,-1,0.8,0.10578088503073442,0.012634954308711826,0.01172575092735466,0.5007099276256659,0.25,10.649431963871299,0.3333333333333333,2.2002471891471327
