true_beta,true_mu,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,goal_correct,goal_entropy,subgoal_entropy,realised_blocks
1.0,1,0,0,1,1.2891636893454705,0.62384494994532,1,3.747971076632202e-15,1.3822409012831307,2
1.0,1,0,1,1,1.0666913386404955,0.21268868463230084,1,4.052990198267343e-15,1.386124471970885,2
1.0,1,0,2,1,1.4325479232246268,0.8005610680413462,1,3.133438715157527e-15,1.3856751058283678,2
1.0,1,0,3,1,1.6068612725800528,0.9552522562595234,1,3.5184389380476014e-15,1.3688438321271919,2
1.0,1,0,4,1,1.2250625257374084,0.5267823559090781,1,2.980027455781115e-15,1.3862273318963283,2
1.0,1,0,5,1,2.164990301493349,1.069442477637791,1,2.6037570867277088e-15,1.3858919009251258,2
1.0,1,0,6,1,2.158523883791313,1.071773799401204,1,3.734153108642283e-15,1.3010813987072478,2
1.0,1,0,7,1,1.5066386271470513,0.873654647923794,1,3.638249340545016e-15,1.378711046796192,2
1.0,1,0,8,1,1.3379274810930943,0.6896717235198383,1,3.883889797793382e-15,1.3764502969999646,2
1.0,1,0,9,1,1.7043686434303646,1.0167826003005247,1,1.897040341231738e-14,1.3861550114754697,2
1.0,1,0,10,1,2.186405409358729,1.060948356597368,1,5.105078823099144e-15,1.1732770604147706,2
1.0,1,0,11,1,1.0074242381818566,0.03464218160802377,1,3.4890900900833243e-15,1.3862921039841627,2
1.0,1,0,12,1,1.037837478375041,0.1352146900212966,1,3.336857587922078e-14,1.3862684596480273,2
1.0,1,0,13,1,1.0411581911922314,0.14474232733413167,1,3.7160561083790484e-15,1.386240800109024,2
1.0,1,0,14,1,1.640381699107403,0.9783469614276953,1,3.574700098292033e-15,1.3725081479654955,2
1.0,1,0,15,1,1.0441690641625176,0.15322169532361232,1,2.138364491237071e-12,1.3858607637700167,2
1.0,1,0,16,1,1.2469217305229396,0.5613452093917194,1,3.9633248303288814e-15,1.3836389545154544,2
1.0,1,0,17,1,1.823468228801449,1.068864749091879,1,5.525039525538088e-15,1.3362088949732858,2
1.0,1,0,18,1,1.4025434774174514,0.7676377368436924,1,4.586017972319071e-15,1.3765158644295576,2
1.0,1,0,19,1,1.016360029150144,0.06768747392025484,1,2.705294902102613e-14,1.3862489117381847,2
1.0,1,0,20,1,1.031915976413592,0.11771773692334922,1,3.5177193837951475e-15,1.3862569579060333,2
1.0,1,0,21,1,2.495267851801424,0.7122780408215978,1,6.9551080092752876e-15,1.2465990726487448,2
1.0,1,0,22,1,1.3538622386679913,0.70983634524403,1,3.4585865979252172e-15,1.3818534962784188,2
1.0,1,0,23,1,1.8876847728025603,1.0863979442203031,1,2.7425385974010465e-15,1.3860178078637202,2
1.0,1,0,24,1,1.8539184686880739,1.0781111930878204,1,3.6815298383873195e-15,1.3449440036936828,2
1.0,1,0,25,1,2.4229953098544703,0.8599951818159794,1,8.691021284499408e-15,1.2717333164389315,2
1.0,1,0,26,1,1.4252231904405925,0.7927068928749305,1,2.5280701267795455e-13,1.3808357761941243,2
1.0,1,0,27,1,1.6934147297952438,1.010723990587505,1,3.854402917913424e-15,1.3605031727381742,2
1.0,1,0,28,1,1.1693772388647148,0.43084219707930316,1,3.860391902112203e-15,1.3841818775502166,2
1.0,1,0,29,1,1.3747103825910223,0.7352758905071479,1,1.3316381237628383e-13,1.380907908097817,2
1.0,1,0,30,1,1.2408206887775977,0.5518588138660229,1,3.355949745128236e-15,1.384380327457689,2
1.0,1,0,31,1,1.3928759799130062,0.7566000872088741,1,1.6427885214562475e-12,1.3794968675705,2
1.0,1,0,32,1,1.6045945603631355,0.9536161030842258,1,2.0429990311682276e-12,1.3027082396202987,2
1.0,1,0,33,1,1.816966758859142,1.0666744066906695,1,3.685751435219207e-15,1.3068598604858175,2
1.0,1,0,34,1,1.0509791958975174,0.17189372681014137,1,9.76348106847536e-15,1.3859838365225807,2
1.0,1,0,35,1,1.4811638209823152,0.8497978091395884,1,3.6029398209968356e-15,1.382081893250137,2
1.0,1,0,36,1,1.0239639142493728,0.09300854570376227,1,3.669661371851559e-15,1.3862535207977067,2
1.0,1,0,37,1,2.017122927293836,1.0983173768423928,1,2.5840838885657523e-15,1.3802044913947675,2
1.0,1,0,38,1,1.765575734402013,1.0467026253690799,1,3.0505677873083484e-15,1.3663724617488864,2
1.0,1,0,39,1,1.000753522385965,0.004666369679030186,1,3.2079533881927886e-12,1.3862942350026008,2
1.0,1,0,40,1,2.2628818501796526,1.0200455886822137,1,2.9938100174898356e-15,1.2388334837734387,2
1.0,1,0,41,1,1.0549521340794656,0.1824909010456318,1,3.4160634765545896e-15,1.3861563429252386,2
1.0,1,0,42,1,1.4115898309112487,0.7777745285412625,1,3.3033130206925693e-15,1.383869423711966,2
1.0,1,0,43,1,1.5372761318319186,0.9006405133151923,1,3.4178019405912624e-15,1.3735469508145475,2
1.0,1,0,44,1,1.0864195460753896,0.2602828512942401,1,3.0985562417565e-15,1.3862330417055015,2
1.0,1,0,45,1,1.2883585459788445,0.6227032852572446,1,4.294023466569035e-15,1.38220921855196,2
1.0,1,0,46,1,1.4362999129784653,0.8045391772074834,1,3.9997094879572295e-15,1.373724265444527,2
1.0,1,0,47,1,1.4059624287984902,0.771490440548255,1,3.3818350371996663e-15,1.3805818198975508,2
1.0,1,0,48,1,1.0187046751855653,0.07570820898607401,1,3.7268275905905794e-15,1.38628211036065,2
1.0,1,0,49,1,1.397956381857972,0.7624270991081543,1,4.129419417065623e-15,1.3730227148498642,2
1.0,1,0,50,1,1.4952491201671896,0.8631498763407996,1,3.3409715962274333e-15,1.3860462213575255,2
1.0,1,0,51,1,1.2801728332404216,0.6109902175988027,1,3.4206257737442696e-15,1.3852022658814862,2
1.0,1,0,52,1,1.5259431230254528,0.8908723190891847,1,1.2148848261582776e-12,1.3665003346141669,2
1.0,1,0,53,1,1.9221862676632475,1.092697312874337,1,5.173366809004985e-10,1.3855854387162476,2
1.0,1,0,54,1,1.7981235833792786,1.0598986140205933,1,2.9935500516763893e-15,1.3860777705083906,2
1.0,1,0,55,1,1.3996286049591506,0.7643321728014657,1,3.7365724407361495e-15,1.3847641433471045,2
1.0,1,0,56,1,1.0207778088080066,0.08263367663413676,1,3.1274059340233098e-12,1.386198420867134,2
1.0,1,0,57,1,1.2451220656201853,0.5585595620375681,1,6.650383434274926e-15,1.3849500721807009,2
1.0,1,0,58,1,2.1661225834102393,1.0690232774221644,1,5.928459935237933e-15,1.2994461622732907,2
1.0,1,0,59,1,1.394145252006402,0.7580614315453096,1,3.2924748729977937e-15,1.380427880588702,2
1.0,1,1,0,3,1.6944763748236948,0.997534204788699,1,4.835391890022837e-15,1.3349952703069359,3
1.0,1,1,1,3,1.3350262913201034,0.7208882404861506,1,3.2021267270188884e-15,1.3691727640988294,3
1.0,1,1,2,3,1.6794297620610474,1.001440502776134,1,3.6972199911247616e-15,1.350874638376148,3
1.0,1,1,3,3,1.505276212858771,0.8875878378456086,1,3.57715521092202e-15,1.3704359179644667,3
1.0,1,1,4,3,1.4592093188023032,0.8014092273584246,1,3.332920083935361e-15,1.3832086628150995,3
1.0,1,1,5,3,1.9120895183993227,1.0888023335299781,1,3.843449882341923e-15,1.3266298058833201,3
1.0,1,1,6,3,1.6408729987953243,0.9809485246715091,1,1.3015039965384565e-13,1.3465316358129011,3
1.0,1,1,7,3,1.3928755648738258,0.735209282006627,1,3.2497543479312415e-15,1.3750710320520736,3
1.0,1,1,8,3,1.8456845751502036,1.0804683002916549,1,4.060618321424919e-15,1.3565790066537033,3
1.0,1,1,9,3,1.5951158896517186,0.9479999577306049,1,1.3026406717057005e-13,1.3704486175386292,3
1.0,1,1,10,3,1.234292452726193,0.5623526831249613,1,3.79289471640085e-15,1.3834732318663736,3
1.0,1,1,11,3,1.606503526361303,0.971660479908269,1,3.260108909918447e-15,1.3672524757434736,3
1.0,1,1,12,3,1.7694575628791873,1.0582512275545197,1,3.2135416974566196e-15,1.316519096366724,3
1.0,1,1,13,3,1.2894880885459812,0.6436719377419712,1,3.491824896226711e-15,1.381331180638023,3
1.0,1,1,14,3,2.4561096207094284,0.9343605402477102,1,1.3016305931840252e-13,1.2450988701383636,3
1.0,1,1,15,3,2.309079048219478,1.0254850463342176,1,9.0310138129671e-14,1.2349842963787858,3
1.0,1,1,16,3,1.2277081905214986,0.547243457332522,1,3.3834311740496975e-15,1.3777419095711745,3
1.0,1,1,17,3,1.2869586603723824,0.6597055428813364,1,4.001599810369704e-14,1.371614257065886,3
