learn_mode,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mean_deep_genuine,c_entropy,infer_steps
online,0,0,0.0015137274452711146,0.03324531821743135,1499.6701898597698,6.0,1.2950537906564672,6
online,0,1,0.0020368315643047342,0.11391620683443987,1499.6946290666108,6.0,1.3031360513643147,6
online,0,2,0.002822312582657107,0.29001272066484907,1499.7335297619018,6.0,1.308597814706272,6
online,0,3,0.003017194048203841,0.5286278019978683,1499.7585773929209,6.0,1.299474378987968,6
online,0,4,0.0073250832494639526,0.7103212820104414,1499.7618522426283,6.0,1.3244032527929117,6
online,0,5,0.04537508677641171,0.8181151347369131,1499.7855034705246,6.0,1.3679905060909585,6
online,1,0,0.005462784047625964,0.15839450979242906,1499.69103834784,6.0,1.3176409500724993,6
online,1,1,0.027095996312909723,0.26120049634275105,1499.7092215069804,6.0,1.349671540690813,6
online,1,2,0.026343686042991393,0.3433696330978566,1499.718274364833,6.0,1.3530779744846821,6
online,1,3,0.029137724085376113,0.4111634407063949,1499.7345151514487,6.0,1.343917597314559,6
online,1,4,0.0185144197332653,0.5045266852889212,1499.7463700599285,6.0,1.3353896597208617,6
online,1,5,0.025084611811378457,0.6119691524161178,1499.765987796063,6.0,1.3373668480813063,6
online,2,0,0.0005737206524599322,0.06266011289364715,1499.6718585945923,6.0,1.268506067940093,6
online,2,1,0.02202570123045674,0.26734297249700056,1499.7071769179913,6.0,1.3376706114517294,6
online,2,2,0.04600897864086902,0.3709805732379038,1499.718533402156,6.0,1.3605780038939883,6
online,2,3,0.04658280442451038,0.45413397420745116,1499.7372605558407,6.0,1.3695325790567228,6
online,2,4,0.06623366715367356,0.45846891570912296,1499.7467185157072,6.0,1.3764940811564517,6
online,2,5,0.0639483509963892,0.5190403137531521,1499.7621286524886,6.0,1.377018513160867,6
deferred,0,0,0.0011137715060265448,0.000858461471670862,1499.9999999725776,6.0,1.288100161812974,6
deferred,0,1,0.0007679762118263777,0.0012269854403552348,1499.9999999343295,6.0,1.2942787426050508,6
deferred,0,2,0.0009368278027987237,0.00229221922023644,1499.9999999671065,6.0,1.283366536626128,6
deferred,0,3,0.0027494257331864905,0.0024977748669430355,1499.9999999720599,6.0,1.2514977308463235,6
deferred,0,4,0.003688365737730585,0.003411966673554652,1499.9999999789984,6.0,1.2839139207281323,6
deferred,0,5,0.011314255583152525,0.003934312235030563,1499.999999940735,6.0,1.3161202451382197,6
deferred,1,0,0.0007823184605573966,0.001152601381680068,1499.9999999743673,6.0,1.2743889681085283,6
deferred,1,1,1.1174118073869575e-06,0.0011378486922673744,1499.9999999765143,6.0,1.2794720466212315,6
deferred,1,2,0.0003231829941049893,0.0012485525560671077,1499.999999977494,6.0,1.2902761895266497,6
deferred,1,3,0.001107681521331937,0.002001650463793712,1499.999999976061,6.0,1.270132586082877,6
deferred,1,4,0.0024289137256769157,0.003759632153980094,1499.999999976881,6.0,1.2553323638404155,6
deferred,1,5,3.565373720215009e-05,0.004224336088976377,1499.9999999763022,6.0,1.2828503372761206,6
deferred,2,0,0.0015368577443876721,0.0008128213800370799,1499.9999999686188,6.0,1.2585832910853112,6
deferred,2,1,0.004940754371338708,0.0014022464965928912,1499.999999965799,6.0,1.2868274217674462,6
deferred,2,2,0.011154669021985138,0.0015241758775536136,1499.9999999224308,6.0,1.2828983437611254,6
deferred,2,3,0.0072431140034061575,0.002651966033406433,1499.9999999753406,6.0,1.2917512376836657,6
deferred,2,4,0.012623308744460627,0.003422273412469327,1499.9999999640936,6.0,1.2903079731999076,6
deferred,2,5,0.00883230708839687,0.003359061816066251,1499.9999999671545,6.0,1.2811142860710154,6
