arm,content,declared_signal,n,within_observer,within_observer_sd,between_observer,between_observer_sd,engaged_fraction,engaged_fraction_sd,accuracy
A_active_inference,goal_empty,SIG_CREATOR,4000,0.10785506161536038,0.08697355381491072,1.3773048992623147,0.005494105923779092,0.05144642857142856,0.10469896275696464,
B_bayesian_always_deep,goal_empty,SIG_CREATOR,4000,0.20349558752391317,0.30729222757038294,1.379019625623871,0.007543979439708266,1.0,0.0,
C_label_truster,goal_empty,SIG_CREATOR,4000,1.3673161509941087,0.012514257447037835,1.3786905542917263,0.004895342171992819,1.0,0.0,
D_effort_heuristic@0.01,goal_empty,SIG_CREATOR,4000,1.3673161509941087,0.012514257447037835,1.3786905542917263,0.004895342171992819,1.0,0.0,
D_effort_heuristic@0.02,goal_empty,SIG_CREATOR,4000,1.3673161509941087,0.012514257447037835,1.3786905542917263,0.004895342171992819,1.0,0.0,
D_effort_heuristic@0.05,goal_empty,SIG_CREATOR,4000,1.3673161509941087,0.012514257447037835,1.3786905542917263,0.004895342171992819,0.757375,0.06793475181793862,
D_effort_heuristic@0.1,goal_empty,SIG_CREATOR,4000,1.3673161509941087,0.012514257447037835,1.3786905542917263,0.004895342171992819,0.10178571428571424,0.03531462877110711,
D_effort_heuristic@0.2,goal_empty,SIG_CREATOR,4000,1.3673161509941087,0.012514257447037835,1.3786905542917263,0.004895342171992819,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_empty,SIG_CREATOR,4000,1.3673161509941087,0.012514257447037835,1.3786905542917263,0.004895342171992819,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_empty,SIG_CREATOR,4000,0.32354651587908956,0.2820329937624175,1.3762984682432813,0.006930611860666363,0.015142857142857142,0.045014469829054354,
E_no_tom_classifier@0.8,goal_empty,SIG_CREATOR,4000,0.22559030053395432,0.18619942872489412,1.3773674622912149,0.005857059839037584,0.06076785714285714,0.11932360616147795,
E_no_tom_classifier@0.95,goal_empty,SIG_CREATOR,4000,0.11667597777561756,0.14933066039954812,1.3793458227202353,0.004385614536565936,0.21898214285714285,0.2975775152316345,
E_no_tom_classifier@0.99,goal_empty,SIG_CREATOR,4000,0.12608428850143708,0.240395369650592,1.3792559079824063,0.003760904562540713,0.4368214285714286,0.39638905105267275,
A_active_inference,goal_empty,SIG_GHOST,4000,1.3347269142006366,0.04456157083791514,1.3777396295128608,0.007272105691677349,0.0,0.0,
B_bayesian_always_deep,goal_empty,SIG_GHOST,4000,1.2930685213657076,0.07905907002805602,1.3787278904643365,0.007276611807555386,1.0,0.0,
C_label_truster,goal_empty,SIG_GHOST,4000,1.3668278115581747,0.012971465276284084,1.378513678935946,0.0059092960941996165,0.0,0.0,
D_effort_heuristic@0.01,goal_empty,SIG_GHOST,4000,1.3668278115581747,0.012971465276284084,1.378513678935946,0.0059092960941996165,1.0,0.0,
D_effort_heuristic@0.02,goal_empty,SIG_GHOST,4000,1.3668278115581747,0.012971465276284084,1.378513678935946,0.0059092960941996165,1.0,0.0,
D_effort_heuristic@0.05,goal_empty,SIG_GHOST,4000,1.3668278115581747,0.012971465276284084,1.378513678935946,0.0059092960941996165,0.7598571428571429,0.06599588025772155,
D_effort_heuristic@0.1,goal_empty,SIG_GHOST,4000,1.3668278115581747,0.012971465276284084,1.378513678935946,0.0059092960941996165,0.10283928571428569,0.0354584799870435,
D_effort_heuristic@0.2,goal_empty,SIG_GHOST,4000,1.3668278115581747,0.012971465276284084,1.378513678935946,0.0059092960941996165,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_empty,SIG_GHOST,4000,1.3668278115581747,0.012971465276284084,1.378513678935946,0.0059092960941996165,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_empty,SIG_GHOST,4000,0.31965141499020067,0.28488216619345985,1.3790486107570834,0.006749336101907077,0.015232142857142854,0.04533746233823389,
E_no_tom_classifier@0.8,goal_empty,SIG_GHOST,4000,0.2219308004665761,0.18599337448859546,1.3804367146587477,0.00438508983461768,0.05744642857142857,0.11399670387009338,
E_no_tom_classifier@0.95,goal_empty,SIG_GHOST,4000,0.11046145881366365,0.13330562455921036,1.3805398789804328,0.005056307989578807,0.21025,0.28772829747663403,
E_no_tom_classifier@0.99,goal_empty,SIG_GHOST,4000,0.12289978021948618,0.23462078886587076,1.3789019380723506,0.00626964611037389,0.4272321428571429,0.3957398929993487,
A_active_inference,goal_empty,UNSIGNED,4000,0.6539908426256423,0.4455512475556452,1.3807656168841462,0.004328452342316763,0.0002857142857142857,0.00552614212689102,
B_bayesian_always_deep,goal_empty,UNSIGNED,4000,0.6140479794863853,0.45137829618641373,1.3810502389423707,0.0028956365355005177,1.0,0.0,
C_label_truster,goal_empty,UNSIGNED,4000,1.366607361156052,0.013385020754981315,1.381600082692818,0.00525869313740346,1.0,0.0,
D_effort_heuristic@0.01,goal_empty,UNSIGNED,4000,1.366607361156052,0.013385020754981315,1.381600082692818,0.00525869313740346,1.0,0.0,
D_effort_heuristic@0.02,goal_empty,UNSIGNED,4000,1.366607361156052,0.013385020754981315,1.381600082692818,0.00525869313740346,1.0,0.0,
D_effort_heuristic@0.05,goal_empty,UNSIGNED,4000,1.366607361156052,0.013385020754981315,1.381600082692818,0.00525869313740346,0.7602678571428572,0.0646434766219101,
D_effort_heuristic@0.1,goal_empty,UNSIGNED,4000,1.366607361156052,0.013385020754981315,1.381600082692818,0.00525869313740346,0.10282142857142854,0.03545630757171886,
D_effort_heuristic@0.2,goal_empty,UNSIGNED,4000,1.366607361156052,0.013385020754981315,1.381600082692818,0.00525869313740346,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_empty,UNSIGNED,4000,1.366607361156052,0.013385020754981315,1.381600082692818,0.00525869313740346,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_empty,UNSIGNED,4000,0.32658519135307096,0.28298523093164946,1.378936099783509,0.005426294201089963,0.015035714285714284,0.04677327802201859,
E_no_tom_classifier@0.8,goal_empty,UNSIGNED,4000,0.22675871425604494,0.185207842125942,1.3801609316482992,0.00387723568164174,0.057428571428571426,0.1144803294204343,
E_no_tom_classifier@0.95,goal_empty,UNSIGNED,4000,0.1165589881335433,0.15080985117076992,1.3793892385598876,0.005276705188521823,0.21996428571428572,0.2963509633413874,
E_no_tom_classifier@0.99,goal_empty,UNSIGNED,4000,0.13211772865652463,0.2446770081842164,1.3782634032671066,0.0059646585336929825,0.436,0.39548051267142514,
A_active_inference,goal_foreign,SIG_CREATOR,4000,1.193447673083823,0.39279272741840787,1.3800337240251779,0.005952887017522952,0.932625,0.23235347430477615,
B_bayesian_always_deep,goal_foreign,SIG_CREATOR,4000,1.195458596394189,0.3897332672661649,1.3799643756860438,0.005924097274257534,1.0,0.0,
C_label_truster,goal_foreign,SIG_CREATOR,4000,1.3666513929492305,0.013285101581477684,1.3797459780265708,0.006143620024295734,1.0,0.0,
D_effort_heuristic@0.01,goal_foreign,SIG_CREATOR,4000,1.3666513929492305,0.013285101581477684,1.3797459780265708,0.006143620024295734,0.9941785714285715,0.06438725671797256,
D_effort_heuristic@0.02,goal_foreign,SIG_CREATOR,4000,1.3666513929492305,0.013285101581477684,1.3797459780265708,0.006143620024295734,0.9495535714285713,0.1626197635855244,
D_effort_heuristic@0.05,goal_foreign,SIG_CREATOR,4000,1.3666513929492305,0.013285101581477684,1.3797459780265708,0.006143620024295734,0.3851785714285714,0.1762486917952118,
D_effort_heuristic@0.1,goal_foreign,SIG_CREATOR,4000,1.3666513929492305,0.013285101581477684,1.3797459780265708,0.006143620024295734,0.07919642857142856,0.022240301075562265,
D_effort_heuristic@0.2,goal_foreign,SIG_CREATOR,4000,1.3666513929492305,0.013285101581477684,1.3797459780265708,0.006143620024295734,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_foreign,SIG_CREATOR,4000,1.3666513929492305,0.013285101581477684,1.3797459780265708,0.006143620024295734,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_foreign,SIG_CREATOR,4000,0.4990120324591267,0.32429148553228254,1.3801106639876115,0.004992833493214838,0.12942857142857145,0.29774663931686923,
E_no_tom_classifier@0.8,goal_foreign,SIG_CREATOR,4000,0.4194248542019185,0.273382816416779,1.3800289594414206,0.005045741255735007,0.26703571428571427,0.3883409727370368,
E_no_tom_classifier@0.95,goal_foreign,SIG_CREATOR,4000,0.3118476035361648,0.29382283640003715,1.380471378054144,0.003955099209331506,0.48828571428571427,0.4264292549262493,
E_no_tom_classifier@0.99,goal_foreign,SIG_CREATOR,4000,0.2699472497767105,0.32629790637624023,1.3803979049072512,0.0037526413330478577,0.6838035714285713,0.38268526519109036,
A_active_inference,goal_foreign,SIG_GHOST,4000,1.3665299634054515,0.013366518905403427,1.3782107962434804,0.007938329111239376,0.0,0.0,
B_bayesian_always_deep,goal_foreign,SIG_GHOST,4000,1.3659067908827836,0.01424499799502361,1.3773135614219536,0.010724169437131944,1.0,0.0,
C_label_truster,goal_foreign,SIG_GHOST,4000,1.3668833580311193,0.012957450226066416,1.3782929048254637,0.007591994545954401,0.0,0.0,
D_effort_heuristic@0.01,goal_foreign,SIG_GHOST,4000,1.3668833580311193,0.012957450226066416,1.3782929048254637,0.007591994545954401,0.9947321428571428,0.058879018459938204,
D_effort_heuristic@0.02,goal_foreign,SIG_GHOST,4000,1.3668833580311193,0.012957450226066416,1.3782929048254637,0.007591994545954401,0.9391071428571429,0.1729059653184368,
D_effort_heuristic@0.05,goal_foreign,SIG_GHOST,4000,1.3668833580311193,0.012957450226066416,1.3782929048254637,0.007591994545954401,0.36660714285714285,0.1696688602414596,
D_effort_heuristic@0.1,goal_foreign,SIG_GHOST,4000,1.3668833580311193,0.012957450226066416,1.3782929048254637,0.007591994545954401,0.07785714285714283,0.020444109989565678,
D_effort_heuristic@0.2,goal_foreign,SIG_GHOST,4000,1.3668833580311193,0.012957450226066416,1.3782929048254637,0.007591994545954401,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_foreign,SIG_GHOST,4000,1.3668833580311193,0.012957450226066416,1.3782929048254637,0.007591994545954401,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_foreign,SIG_GHOST,4000,0.5020157151822463,0.33053610152186774,1.3796825122539698,0.005310078803845566,0.14201785714285714,0.31444766060321566,
E_no_tom_classifier@0.8,goal_foreign,SIG_GHOST,4000,0.42198942594523237,0.2810622937894863,1.379671534816017,0.005787390126378853,0.28019642857142857,0.3962127770527453,
E_no_tom_classifier@0.95,goal_foreign,SIG_GHOST,4000,0.31880790564947703,0.30296583757453793,1.3794421492020312,0.005750745649582665,0.4876428571428571,0.42646196699009037,
E_no_tom_classifier@0.99,goal_foreign,SIG_GHOST,4000,0.28088941915950155,0.3354416219347504,1.379254647702297,0.005570669876417953,0.6886607142857142,0.38275136378019414,
A_active_inference,goal_foreign,UNSIGNED,4000,1.251535392233115,0.31802022045600203,1.378486970101269,0.007689871970267045,0.6737678571428571,0.46283274809492003,
B_bayesian_always_deep,goal_foreign,UNSIGNED,4000,1.2521966273496796,0.31643941628081484,1.3785728460139253,0.0073768295507751335,1.0,0.0,
C_label_truster,goal_foreign,UNSIGNED,4000,1.3671612272180984,0.012757992472810155,1.3780004570858566,0.007709919882142871,1.0,0.0,
D_effort_heuristic@0.01,goal_foreign,UNSIGNED,4000,1.3671612272180984,0.012757992472810155,1.3780004570858566,0.007709919882142871,0.9929107142857142,0.07223315075317718,
D_effort_heuristic@0.02,goal_foreign,UNSIGNED,4000,1.3671612272180984,0.012757992472810155,1.3780004570858566,0.007709919882142871,0.9294464285714286,0.1877406893157939,
D_effort_heuristic@0.05,goal_foreign,UNSIGNED,4000,1.3671612272180984,0.012757992472810155,1.3780004570858566,0.007709919882142871,0.3605178571428571,0.16984282830812839,
D_effort_heuristic@0.1,goal_foreign,UNSIGNED,4000,1.3671612272180984,0.012757992472810155,1.3780004570858566,0.007709919882142871,0.07801785714285711,0.02067247969973284,
D_effort_heuristic@0.2,goal_foreign,UNSIGNED,4000,1.3671612272180984,0.012757992472810155,1.3780004570858566,0.007709919882142871,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_foreign,UNSIGNED,4000,1.3671612272180984,0.012757992472810155,1.3780004570858566,0.007709919882142871,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_foreign,UNSIGNED,4000,0.5009170377530442,0.32993505113504656,1.3798949281969137,0.003981438224246338,0.12923214285714285,0.30348635389322354,
E_no_tom_classifier@0.8,goal_foreign,UNSIGNED,4000,0.4205085639515327,0.27984336819968614,1.3793537308223334,0.004155702402340074,0.2704642857142857,0.3926816068444582,
E_no_tom_classifier@0.95,goal_foreign,UNSIGNED,4000,0.31114869592659183,0.2981025356376351,1.3804882287520932,0.0030997797704916683,0.48069642857142864,0.42419811623111303,
E_no_tom_classifier@0.99,goal_foreign,UNSIGNED,4000,0.2691822027143646,0.33051350740351837,1.3808046821966098,0.0026970153396503054,0.6750357142857142,0.38562059847024815,
A_active_inference,human_directed,SIG_CREATOR,4000,4.2221171265410865e-05,0.0025059425931539653,0.0,0.0,0.0,0.0,1.0
B_bayesian_always_deep,human_directed,SIG_CREATOR,4000,2.509290889544852e-14,3.3320669909442354e-13,0.0,0.0,1.0,0.0,1.0
C_label_truster,human_directed,SIG_CREATOR,4000,1.3667596077480206,0.01302892292951329,1.3769159588189674,0.006794396085484859,1.0,0.0,0.254
