obs_type,c_effort,mean_high_cost,creator_accuracy,creator_final_correct_n
calibrated,0.05,2.1535,0.9969450101832994,979
calibrated,0.1,1.491,0.960285132382892,943
calibrated,0.15,1.1415,0.9287169042769857,912
calibrated,0.25,0.4955,0.9409368635437881,924
calibrated,0.35,0.4955,0.9470468431771895,930
calibrated,0.5,0.2455,0.9348268839103869,918
calibrated,0.75,0.0,0.2556008146639511,251
naive,0.05,3.147,0.9969450101832994,979
naive,0.1,2.5095,0.9887983706720977,971
naive,0.15,1.869,0.9613034623217923,944
naive,0.25,1.211,0.9541751527494908,937
naive,0.35,0.623,0.9460285132382892,929
naive,0.5,0.0,0.23828920570264767,234
naive,0.75,0.0,0.2505091649694501,246
