kappa,honesty,confident_arbitrary_rate,mean_kl_surprise,mean_cum_deep
0.0,0.5,0.2125,0.4797022215360388,3.58775
0.0,0.6,0.216,0.48251727358304974,3.57875
0.0,0.7,0.22825,0.4907872036583235,3.5965
0.0,0.8,0.22175,0.48628139523411,3.55325
0.0,0.9,0.21725,0.4846513874731584,3.579
0.0,1.0,0.21375,0.48403964194019755,3.56675
0.1,0.5,0.226,0.4591943564197736,3.1805
0.1,0.6,0.19925,0.4048016702493748,2.93975
0.1,0.7,0.1475,0.3358918054519314,2.74725
0.1,0.8,0.1055,0.2757448108084021,2.542
0.1,0.9,0.07375,0.22604395334089675,2.36975
0.1,1.0,0.03375,0.16889767004542366,2.1765
0.2,0.5,0.357,0.5494184073862568,3.3285
0.2,0.6,0.30225,0.4648836114360427,3.03575
0.2,0.7,0.229,0.3628502520687271,2.68525
0.2,0.8,0.15925,0.2632099674856763,2.30325
0.2,0.9,0.0835,0.1589677291556802,1.9005
0.2,1.0,0.01625,0.06365407945175677,1.55875
0.3,0.5,0.501,0.6612932774483,3.12125
0.3,0.6,0.397,0.5269755833654579,2.65775
0.3,0.7,0.29475,0.40042250605699353,2.1925
0.3,0.8,0.19575,0.2730310193617384,1.808
0.3,0.9,0.106,0.1547941104244785,1.41375
0.3,1.0,0.0135,0.038042225780960094,1.0425
0.4,0.5,0.50725,0.6513358526302053,2.209
0.4,0.6,0.4025,0.5170234432565564,1.93625
0.4,0.7,0.30875,0.39890799131822746,1.75225
0.4,0.8,0.19975,0.267710094674839,1.4845
0.4,0.9,0.1035,0.14445545566504578,1.26225
0.4,1.0,0.0075,0.02696764001052871,1.035
0.5,0.5,0.5,0.6234914787856742,1.99875
0.5,0.6,0.40475,0.5085996287271104,1.837
0.5,0.7,0.31025,0.39566601853756117,1.646
0.5,0.8,0.2085,0.27342715555883007,1.43325
0.5,0.9,0.111,0.15191960323461254,1.236
0.5,1.0,0.002,0.019776459718758476,1.0295
0.6,0.5,0.49175,0.59902165113309,1.8255
0.6,0.6,0.397,0.4835359157795727,1.67225
0.6,0.7,0.307,0.37630902882793443,1.51875
0.6,0.8,0.2145,0.2664399236052548,1.385
0.6,0.9,0.10175,0.1353371172132854,1.18625
0.6,1.0,0.0005,0.014379623624818962,1.02225
0.7,0.5,0.494,0.5894514276457344,1.65975
0.7,0.6,0.391,0.470149181538663,1.5045
0.7,0.7,0.308,0.37001766826751714,1.348
0.7,0.8,0.20975,0.255911825035136,1.20925
0.7,0.9,0.1025,0.12900542008686453,1.03325
0.7,1.0,0.0,0.010227030084378376,0.87275
0.8,0.5,0.5025,0.5946222766155718,1.30525
0.8,0.6,0.42,0.49871577421650404,1.18275
0.8,0.7,0.29925,0.35558246428960233,0.93825
0.8,0.8,0.20725,0.24601487001711642,0.7345
0.8,0.9,0.103,0.12186183663208994,0.517
0.8,1.0,0.0,0.0033869228696780185,0.3465
0.9,0.5,0.5,0.5858284662599424,1.11875
0.9,0.6,0.38625,0.45159802247856795,0.88125
0.9,0.7,0.29875,0.3491102809803395,0.669
0.9,0.8,0.20175,0.23603664897295482,0.456
0.9,0.9,0.09925,0.11609012859708298,0.22375
0.9,1.0,0.0,-3.999949865297717e-12,0.0
0.99,0.5,0.49475,0.5785306159738601,1.09875
0.99,0.6,0.40175,0.4706907542452614,0.90275
0.99,0.7,0.2955,0.34555517775106237,0.65
0.99,0.8,0.20225,0.238689758246782,0.46975
0.99,0.9,0.09425,0.11104528758337835,0.2135
0.99,1.0,0.0,-3.999951597335648e-12,0.0
