arm,kappa,gamma,selectivity,engagement,deep_steps_ghost
A,0.0,16.0,-0.2230833333333333,0.8735416666666668,3.683
A,0.1,16.0,0.006916666666666693,0.709625,2.16375
A,0.2,16.0,0.15633333333333335,0.5903333333333334,1.54725
A,0.3,16.0,0.29900000000000004,0.49749999999999994,1.04775
A,0.4,16.0,0.28400000000000003,0.48758333333333337,1.03725
A,0.5,16.0,0.25883333333333336,0.473,1.0307499999999998
A,0.6,16.0,0.22991666666666669,0.45487500000000003,1.01975
A,0.7,16.0,0.26125,0.4227916666666666,0.8765000000000001
A,0.8,16.0,0.434,0.32891666666666663,0.33575
A,0.9,16.0,0.5400833333333332,0.2700416666666666,0.0
A,0.99,16.0,0.53675,0.268375,0.0
B,0.0,1.0,-0.15658333333333324,0.8440416666666666,4.843999999999999
B,0.0,2.0,-0.20416666666666666,0.86075,4.32875
B,0.0,4.0,-0.22541666666666665,0.8704583333333333,3.9915
B,0.0,8.0,-0.2255833333333333,0.8722083333333334,3.77875
B,0.0,16.0,-0.22549999999999998,0.8730833333333333,3.6785000000000005
B,0.0,32.0,-0.23124999999999996,0.8720416666666667,3.6422499999999998
B,0.0,64.0,-0.22991666666666663,0.8702083333333333,3.6089999999999995
C,0.9,1.0,0.5054166666666667,0.34379166666666666,0.33225000000000005
C,0.9,2.0,0.5656666666666667,0.2991666666666667,0.050749999999999997
C,0.9,4.0,0.5582499999999999,0.2799583333333333,0.0025
C,0.9,8.0,0.5433333333333333,0.27166666666666667,0.0
C,0.9,16.0,0.5391666666666667,0.26958333333333334,0.0
C,0.9,32.0,0.5351666666666667,0.26758333333333334,0.0
C,0.9,64.0,0.5299166666666666,0.2649583333333333,0.0
