kappa,signing_rate,contamination,kl_recovered,kl_naive
0.1,0.0,0.0,0.00040805556039739293,0.000413511502763276
0.1,0.0,0.1,0.00021116536196644984,0.001249007443570166
0.1,0.0,0.2,0.00037315227384306847,0.0044127018840563505
0.1,0.0,0.3,0.0004431878243975374,0.00963256993855519
0.1,0.0,0.4,0.0007520058669917917,0.017050390844685674
0.1,0.0,0.5,0.0012610863639376134,0.027594390968991033
0.1,0.0,0.6,0.0018259786654526878,0.03807959946352642
0.1,0.0,0.7,0.0033873389225474136,0.050772427474896076
0.1,0.0,0.8,0.008246941352365261,0.06582191678858716
0.1,0.5,0.0,0.0007320312844791718,0.0007240594336477138
0.1,0.5,0.1,0.0007047286238675515,0.0012133780059081696
0.1,0.5,0.2,0.0007404805181073018,0.004852531890994236
0.1,0.5,0.3,0.0008730983551617185,0.010592752468231425
0.1,0.5,0.4,0.0010244837752892374,0.018671195743272178
0.1,0.5,0.5,0.0013465820441091584,0.02905241206874105
0.1,0.5,0.6,0.0017300505167026144,0.03914993233742705
0.1,0.5,0.7,0.002159749637590371,0.052100929353604795
0.1,0.5,0.8,0.0051412571587235445,0.06704237282847872
0.1,1.0,0.0,0.0008625221917073177,0.0008554225805206105
0.1,1.0,0.1,0.0009932374022548478,0.0026426923436085963
0.1,1.0,0.2,0.0009065246171536393,0.006098373787667666
0.1,1.0,0.3,0.000783342375920895,0.011769673961032474
0.1,1.0,0.4,0.0007997697286764232,0.019138292434536
0.1,1.0,0.5,0.0013873284584300333,0.027061853559708443
0.1,1.0,0.6,0.001682042913117767,0.0371141064517171
0.1,1.0,0.7,0.001669656243694393,0.04948996189593909
0.1,1.0,0.8,0.00267356667155704,0.06446118136335656
0.5,0.0,0.0,0.00040805556039740925,0.0004135115027632889
0.5,0.0,0.1,0.0002111653619664036,0.0012490074435701631
0.5,0.0,0.2,0.00037315227384304245,0.004412701884056419
0.5,0.0,0.3,0.00044318782439755884,0.00963256993855512
0.5,0.0,0.4,0.0007520058669918274,0.01705039084468582
0.5,0.0,0.5,0.0012610863639376064,0.027594390968991182
0.5,0.0,0.6,0.0018259786654526446,0.038079599463526535
0.5,0.0,0.7,0.0033873389225473976,0.0507724274748963
0.5,0.0,0.8,0.008246941352365233,0.06582191678858737
0.5,0.5,0.0,0.0007102337076715338,0.0007126695917942675
0.5,0.5,0.1,0.000694466275483001,0.0012008950074024868
0.5,0.5,0.2,0.0007552042022444021,0.004790427373971959
0.5,0.5,0.3,0.0008893836471981903,0.01050670386097877
0.5,0.5,0.4,0.0010388642324287549,0.018661738209610857
0.5,0.5,0.5,0.0013566209299509622,0.028930888691843883
0.5,0.5,0.6,0.0017286127080275789,0.0387487877756092
0.5,0.5,0.7,0.0021283564357347704,0.05165254189974935
0.5,0.5,0.8,0.004935082814699522,0.06675688765026394
0.5,1.0,0.0,0.0008488991012692293,0.0008488990825629651
0.5,1.0,0.1,0.0009633497852031649,0.0025901464736293517
0.5,1.0,0.2,0.0008855962807223939,0.006092121516666413
0.5,1.0,0.3,0.0007596565116991518,0.01183428644909473
0.5,1.0,0.4,0.0007869897269455201,0.01933375686707225
0.5,1.0,0.5,0.0014180395957723128,0.02734926983543153
0.5,1.0,0.6,0.0017118126235700242,0.037250019072261324
0.5,1.0,0.7,0.0017625845048005802,0.050046661964273806
0.5,1.0,0.8,0.002821923330497113,0.06509408634478614
0.9,0.0,0.0,0.0004080555603973728,0.0004135115027632889
0.9,0.0,0.1,0.00021116536196637568,0.0012490074435701506
0.9,0.0,0.2,0.0003731522738430541,0.004412701884056351
0.9,0.0,0.3,0.00044318782439758936,0.009632569938555184
0.9,0.0,0.4,0.0007520058669918983,0.017050390844685747
0.9,0.0,0.5,0.0012610863639376207,0.027594390968991144
0.9,0.0,0.6,0.0018259786654526954,0.03807959946352653
0.9,0.0,0.7,0.0033873389225474388,0.05077242747489619
0.9,0.0,0.8,0.008246941352365174,0.06582191678858731
0.9,0.5,0.0,0.0007102337795244736,0.0007126696251093139
0.9,0.5,0.1,0.0006944671302889785,0.0012161023358917657
0.9,0.5,0.2,0.000755204975823179,0.004782071877237897
0.9,0.5,0.3,0.0008893845233500661,0.010555571609244762
0.9,0.5,0.4,0.001038865574151456,0.0187025160535265
0.9,0.5,0.5,0.0013566218383305308,0.029010469970069126
0.9,0.5,0.6,0.0017286139340123353,0.03884301902840813
0.9,0.5,0.7,0.0021283568795238865,0.0517745831777901
0.9,0.5,0.8,0.00493507831528049,0.0669534660568683
0.9,1.0,0.0,0.0008488972360529139,0.0008488972360528914
0.9,1.0,0.1,0.0009633474984642031,0.002612520184859554
0.9,1.0,0.2,0.0008855940809058508,0.006213370070953596
0.9,1.0,0.3,0.0007596548060376553,0.012021158942951018
0.9,1.0,0.4,0.0007869897292099986,0.019663061865138314
0.9,1.0,0.5,0.001418043900888422,0.027940103060253206
0.9,1.0,0.6,0.0017118176146634495,0.037938468724295904
0.9,1.0,0.7,0.0017625864614347006,0.05092657480113787
0.9,1.0,0.8,0.002821927329326793,0.06580777317114901
