sweep,n_artifacts,m_observers,averaging,metric,slope,se,t,mean_eff_sample_count,n_points,n11_passed,n11_t_ok,n11_slope_ok
M,1000,1,True,kl_payload,0.014729673068469548,0.004833949570137043,3.047130065126426,587.9888651922724,24,False,False,False
M,1000,1,True,creator_col_kl,0.0409986506589185,0.01469690426992729,2.78961132942872,587.9888651922724,24,,,
M,1000,5,True,kl_payload,0.008466191140464705,0.002358678795596417,3.589378577647296,588.9738042793716,24,False,False,False
M,1000,5,True,creator_col_kl,0.03328316656621263,0.006373290592376391,5.222289190143835,588.9738042793716,24,,,
M,1000,20,True,kl_payload,0.005879702322433063,0.0016335768010613486,3.5992812328217267,588.818012423243,24,False,False,False
M,1000,20,True,creator_col_kl,0.00604097686454489,0.005676787001212073,1.0641542237281507,588.818012423243,24,,,
N,100,5,False,kl_payload,0.00450563219932932,0.0033978648153187236,1.3260186747325575,50.28053552473737,24,False,True,False
N,100,5,False,creator_col_kl,0.0788161115214314,0.025437724643817508,3.0983947119888025,50.28053552473737,24,,,
N,100,5,True,kl_payload,0.0042842449731961725,0.002196634153451141,1.9503680057351278,51.56284330456924,24,False,True,False
N,100,5,True,creator_col_kl,0.025126649857583123,0.0081707237666369,3.075204911489175,51.56284330456924,24,,,
N,300,5,False,kl_payload,0.005084133657351031,0.0023783140887474615,2.137704889949413,155.7910210777449,24,False,False,False
N,300,5,False,creator_col_kl,0.028895996466992962,0.014511765444704642,1.9912116535439965,155.7910210777449,24,,,
N,300,5,True,kl_payload,0.004929746160990465,0.0022671243100557516,2.174448987699857,163.41503240124752,24,False,False,False
N,300,5,True,creator_col_kl,0.029622539756638533,0.006322821718739612,4.68501897955514,163.41503240124752,24,,,
N,1000,5,False,kl_payload,0.006659598872529086,0.0023285124839487457,2.8600228336485376,582.449248195986,24,False,False,False
N,1000,5,False,creator_col_kl,0.02579155225611434,0.020599857305977614,1.2520257724615507,582.449248195986,24,,,
N,1000,5,True,kl_payload,0.008466191140464705,0.002358678795596417,3.589378577647296,588.9738042793716,24,False,False,False
N,1000,5,True,creator_col_kl,0.03328316656621263,0.006373290592376391,5.222289190143835,588.9738042793716,24,,,
N,3000,5,False,kl_payload,0.008646708781013342,0.0022927975947274067,3.7712481908117836,1643.2835117039956,24,False,False,False
N,3000,5,False,creator_col_kl,0.015475992712850637,0.019391881344215864,0.7980655635285617,1643.2835117039956,24,,,
N,3000,5,True,kl_payload,0.009294792033348086,0.002557461651540964,3.634381781540159,1789.6964794392245,24,False,False,False
N,3000,5,True,creator_col_kl,0.03638837444117007,0.005534216086885972,6.575163287786492,1789.6964794392245,24,,,
N,10000,5,False,kl_payload,0.0089755053480336,0.0025596788239192377,3.506496699570615,5550.901058776389,24,False,False,False
N,10000,5,False,creator_col_kl,0.07823597898772647,0.025850361314459034,3.026494602377812,5550.901058776389,24,,,
N,10000,5,True,kl_payload,0.00870430135715189,0.002507747226496589,3.4709644039013074,5952.606867168906,24,False,False,False
N,10000,5,True,creator_col_kl,0.021539887269860593,0.007845894754908088,2.745370406145975,5952.606867168906,24,,,
