learn_mode,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mean_deep_genuine,c_entropy,infer_steps
online,0,0,0.0015557605296324748,0.022428668753771835,1499.6319123490025,6.0,1.2934318666203661,6
online,0,1,0.004282822545853153,0.1421092398566009,1499.6326383579706,6.0,1.3129777494868087,6
online,0,2,0.030271662583507206,0.2000651828936319,1499.6222072064381,6.0,1.3552659485784884,6
online,0,3,0.043133929719203476,0.24233458421877604,1499.6439826395138,6.0,1.3609662269815992,6
online,0,4,0.06540756844828449,0.27203504337978046,1499.6519901933884,6.0,1.3711747934972385,6
online,0,5,0.08506274805731476,0.30578665672394356,1499.6072879862631,6.0,1.3769517689501596,6
online,1,0,0.010443932585405422,0.18871470007753263,1499.5824055349678,6.0,1.3312099781076185,6
online,1,1,0.03503265845184181,0.3005954914294681,1499.6218995348067,6.0,1.3559149986384373,6
online,1,2,0.05877182645117303,0.32300041383040257,1499.6849050926667,6.0,1.370121272753663,6
online,1,3,0.053928016930634426,0.3423072859879167,1499.694677437415,6.0,1.3669789974420306,6
online,1,4,0.05896554460068068,0.39581536643175025,1499.575865274614,6.0,1.3623039475587717,6
online,1,5,0.0741039173801923,0.44337528071807936,1499.650057936586,6.0,1.372358924734373,6
online,2,0,0.000723807071025327,0.055563216725491596,1499.670861136829,6.0,1.2667227749065892,6
online,2,1,0.02000507278746297,0.22962774072395112,1499.6096832397175,6.0,1.3353828302572874,6
online,2,2,0.027955478689943636,0.34272096870117236,1499.582888411158,6.0,1.3445359941815838,6
online,2,3,0.06741361337472443,0.3915919556696901,1499.616124104586,6.0,1.37213267012129,6
online,2,4,0.09050169384323728,0.36095613396977355,1499.6533832747357,6.0,1.372409207515261,6
online,2,5,0.08478951177915131,0.4273384625455609,1499.6937925211248,6.0,1.37383259550851,6
deferred,0,0,0.001129006652959584,0.0008052108335426466,1499.9999998800033,6.0,1.28797710048531,6
deferred,0,1,0.0007699579698085442,0.0011708731937292182,1499.999999808974,6.0,1.2942950583895783,6
deferred,0,2,0.0009351383176865813,0.002340465345540926,1499.9999998973904,6.0,1.2834470775123832,6
deferred,0,3,0.0027394362247697805,0.002345267982052745,1499.9999999385727,6.0,1.2515187363467537,6
deferred,0,4,0.003685124214565093,0.0033693710253914553,1499.9999999390554,6.0,1.2840214671896628,6
deferred,0,5,0.011331208984421626,0.004226847655347016,1499.9999998399337,6.0,1.3160400468615492,6
deferred,1,0,0.0006389876543591412,0.0029501331071673897,1499.9999999257095,6.0,1.2775683626938807,6
deferred,1,1,3.87756617476891e-06,0.003169854449086392,1499.999999879055,6.0,1.2796038214380843,6
deferred,1,2,0.00032818250865844674,0.0029011748623944994,1499.999999926999,6.0,1.2903346650725533,6
deferred,1,3,0.001129010726734889,0.004265056274239926,1499.9999999304587,6.0,1.270506247041663,6
deferred,1,4,0.0024362148730879517,0.005850161324617161,1499.999999902513,6.0,1.25502541442094,6
deferred,1,5,3.0562362740020567e-05,0.006610883489297526,1499.9999998505646,6.0,1.2826642044060685,6
deferred,2,0,0.0015396829486624703,0.0008062900444963305,1499.9999999500728,6.0,1.2585766329035857,6
deferred,2,1,0.004910706368003655,0.001443419923157128,1499.9999998585133,6.0,1.2868074641840268,6
deferred,2,2,0.011166276440584683,0.0016901734790448464,1499.9999996891877,6.0,1.2829971300757341,6
deferred,2,3,0.00720533231660948,0.0029344494188032204,1499.9999999309352,6.0,1.2916635584842433,6
deferred,2,4,0.012670666925473532,0.003611337819572531,1499.999999910994,6.0,1.290307628387178,6
deferred,2,5,0.00885031904563149,0.0036643957616951,1499.9999999183583,6.0,1.28082994347919,6
