omega,n,engaged_fraction,engaged_fraction_sd,crashed,unresolved,disengaged,fabrication_index,fabrication_index_strict,engaged_sem_across_seeds,within_observer,within_observer_sd,between_observer,between_observer_sd,matches_foreign_goal
0.0,12000,0.7873392857142856,0.4007031763616674,False,True,False,0.11911412317852609,0.08976172367582856,0.04586576090339541,1.2203241425454285,0.3555527478636683,1.379253217182967,0.006972782800262979,0.25025
0.1,12000,0.3575059523809524,0.4156466518046761,False,False,True,0.30296320064771054,0.12464536690780756,0.018662617766271834,0.44846440571140533,0.49633039476193735,0.6208357155497203,0.26336378247249537,0.81575
0.2,12000,0.12170833333333334,0.2524855275616252,False,False,True,0.17802052825938872,0.06764584443428441,0.007841604948262217,0.3404536247729559,0.48854293248913794,0.3271262874700677,0.32802939177174467,0.9103333333333333
0.3,12000,0.03809523809523809,0.13262478749683448,False,False,True,0.11213456502583911,0.038704393930946296,0.0028972376715629762,0.32380558771328116,0.5026157543227893,0.20282713974786848,0.2594863822654715,0.9495
0.4,12000,0.012238095238095235,0.0624966128629261,False,False,True,0.044205147194177306,0.012552043841562138,0.0008415597644596977,0.150732638178785,0.34955688642410576,0.06875737830267041,0.12004279189377152,0.9859166666666667
0.5,12000,0.002875,0.02784577932098476,False,False,True,0.03530724097708366,0.00918043616084515,0.00034298249406809793,0.24658210299444788,0.4360480194535414,0.05953597575050028,0.08307557952007998,0.9888333333333333
0.6,12000,0.0007678571428571426,0.011547730484530137,False,False,True,0.012720885351215405,0.0029906931628161286,0.00014301469318719545,0.1425000408843349,0.3304236482714779,0.019655300260711463,0.03585077781720865,0.9966666666666667
0.7,12000,0.0003095238095238095,0.0077092773514504925,False,False,True,0.002547943548863406,0.000561039482583399,7.276130894034075e-05,0.052981439284019646,0.1928637859660567,0.0036725576938361204,0.010105493843671716,0.9994166666666666
0.85,12000,5.952380952380952e-06,0.0006520506636966264,False,False,True,0.0,0.0,5.9523809523809525e-06,0.018537450539827673,0.09257999035140745,0.0,0.0,1.0
1.0,12000,0.0,0.0,False,False,True,0.0,0.0,0.0,0.003158130945979322,0.027107668025488342,0.0,0.0,1.0
