kappa_p,beta,theta,n,engaged_fraction,final_entropy,mean_entropy,prior_drift,prior_drift_sd,psi_per_encounter,value_divergence,theta_value,recovered_beta,accuracy,prior_mass_on_source_goal
high,high,closed,1200,0.0,0.01396628412154194,0.015658922898403288,2.476712958329875e-10,2.445296609892702e-09,1.3402022179748169e-05,3.116822920997334,4.542166147563559e-06,0.9041115948275075,0.255,0.24911552127760161
high,high,open,1200,0.0,0.0008181393977973213,0.0053470164979744494,1.1612113725770294,0.16931146994319216,1.2464486601968254,0.13700462499509936,1.0,0.9037767034301801,1.0,0.952817780751714
high,low,closed,1200,0.0,1.0273706273253198,1.018532145681943,0.0031115302401312364,0.012623786452053823,0.015681803390462414,1.592442589994148,0.023236658487010432,0.33737291492618066,0.2225,0.2452729146944645
high,low,open,1200,0.0,0.7155214434077584,0.8601009293007619,0.4493471984276415,0.2666096899680838,0.6496250372981949,0.47392010121844996,1.0,0.3475358511786708,0.8858333333333334,0.6306093780146945
low_empty,high,closed,1200,0.0,1.2830657460838704,1.2781691062435687,0.0023722809273359533,0.009439046565706963,0.012744155852354161,1.1304846143415368,0.029908893867456415,0.44651536433235556,0.23666666666666666,0.24693906499794627
low_empty,high,open,1200,0.0,1.2166841564847504,1.250622329013014,0.08905728426586149,0.10229334459861565,0.2026468930816039,1.0042978391700694,1.0,0.44371495739411465,0.3933333333333333,0.30233877320953956
low_empty,low,closed,1200,0.0,1.280787245448769,1.281745748679769,0.002208948024374204,0.008675286130415528,0.012213631194311778,1.1005137797156517,0.03244229570389949,0.4414097180747749,0.2375,0.24826199092778078
low_empty,low,open,1200,0.0,1.2421091305917435,1.2580117313119914,0.07698731807433741,0.08050465006473492,0.19458729068837036,1.0875779178999752,1.0,0.44241789215944294,0.305,0.2649933713780823
low_foreign,high,closed,1200,0.8345833333333333,1.3282284247015412,1.3299883836020017,0.0010411713622631386,0.005120903891724273,0.006025462587715447,1.0442780691019453,0.028054882427225997,0.4992690174713822,0.225,0.2458379347864396
low_foreign,high,open,1200,0.7323065476190476,1.314733009197863,1.3264376539044742,0.03232845305065144,0.05128026803947247,0.07178705968361695,1.0649452887562556,1.0,0.4988168207566573,0.26,0.24844441190588223
low_foreign,low,closed,1200,0.8817113095238096,1.3286994840743565,1.3289934292012555,0.0012531371964791674,0.005238957567166876,0.007148317814841663,1.0441483562511709,0.02958487881840835,0.49897847702905485,0.25583333333333336,0.24877417767358564
low_foreign,low,open,1200,0.6344047619047618,1.322048018038269,1.32956182775508,0.027422724303231578,0.049587303444367514,0.06389250682991879,1.056048293193519,1.0,0.49907835894114594,0.23583333333333334,0.2504958878012197
