obs_type,c_effort,mean_high_cost,creator_accuracy,creator_final_correct_n
calibrated,0.05,2.00325,0.9969450101832994,979
calibrated,0.1,1.48225,0.9725050916496945,955
calibrated,0.15,1.14675,0.939918533604888,923
calibrated,0.25,0.4955,0.9480651731160896,931
calibrated,0.35,0.4955,0.9439918533604889,927
calibrated,0.5,0.2455,0.9521384928716904,935
calibrated,0.75,0.0,0.23421588594704684,230
naive,0.05,3.25975,0.9979633401221996,980
naive,0.1,2.61575,0.9928716904276986,975
naive,0.15,1.92,0.9694501018329938,952
naive,0.25,1.0,0.9409368635437881,924
naive,0.35,0.62,0.9501018329938901,933
naive,0.5,0.0,0.24134419551934827,237
naive,0.75,0.0,0.2515274949083503,247
