arm,p_divergence,n,diverged_fraction,latent_recovery,declared_recovery,self_report_accuracy,latent_recovery_when_diverged,recovered_mu,recovered_mu_when_diverged,subgoal_entropy,final_entropy,artifact_trace_kl,artifact_trace_kl_when_diverged
deceptive,0.0,2000,0.0,0.8825,0.8825,1.0,,2.0,,1.3741691482897944,0.9109695381402086,0.6011459182990534,
deceptive,0.25,2000,0.25,0.88,0.6875,0.75,0.852,2.0,2.0,1.3777006972533452,0.9167444613696998,0.6581832374343562,0.5280935889662653
deceptive,0.5,2000,0.65,0.888,0.335,0.35,0.8815384615384615,2.0,2.0,1.3771821361946803,0.9134036519482026,0.56307564713873,0.5791430440920039
deceptive,0.75,2000,0.8,0.8815,0.204,0.2,0.8775,2.0,2.0,1.376473659476355,0.9157444132050028,0.6648450240342826,0.7024995388561751
deceptive,1.0,2000,1.0,0.8925,0.0395,0.0,0.8925,2.0,2.0,1.3783878827422655,0.9102812897808844,0.6928117910177284,0.6928117910177284
generative,0.0,2000,0.2,0.8765,0.7045,0.8,0.895,2.0,2.0,1.3758084904417789,0.915131143229157,0.5452917608638822,0.6544737611560453
generative,0.25,2000,0.15,0.884,0.7485,0.85,0.9266666666666666,2.0,2.0,1.3783684943742534,0.9183903414658483,0.811776793513152,0.9536018922982923
generative,0.5,2000,0.15,0.8945,0.77,0.85,0.8866666666666667,2.0,2.0,1.3756964152574152,0.9212291049789525,0.6383096965324682,0.7742631954448084
generative,0.75,2000,0.2,0.9045,0.734,0.8,0.89,2.0,2.0,1.3781674171508997,0.913623702705376,0.67277055622631,0.5537391381272897
generative,1.0,2000,0.25,0.874,0.672,0.75,0.88,2.0,2.0,1.376824431199805,0.9188125041846162,0.7363652057776053,0.7406641431610892
human_unaware,0.0,2000,0.0,0.884,0.884,1.0,,2.0,,1.3784068169193988,0.9146277512819505,0.6935710981139331,
human_unaware,0.25,2000,0.2,0.8895,0.7135,0.8,0.8975,2.0,2.0,1.3793961148229044,0.9147402915738212,0.588719699472556,0.7626284270239662
human_unaware,0.5,2000,0.6,0.881,0.3855,0.4,0.8733333333333333,2.0,2.0,1.378924687450908,0.9199955568481752,0.6565421858864579,0.7322209429639436
human_unaware,0.75,2000,0.65,0.8755,0.336,0.35,0.8646153846153846,2.0,2.0,1.3774896976570086,0.9185909597258224,0.8427815805287264,0.8610429606229287
human_unaware,1.0,2000,1.0,0.8865,0.036,0.0,0.8865,2.0,2.0,1.3796170146153945,0.9106284965461189,0.6479884043637937,0.6479884043637937
