kappa,honesty,confident_arbitrary_rate,mean_kl_surprise,mean_cum_deep
0.0,0.5,0.069,0.12964876131123534,3.78875
0.0,0.6,0.072,0.12925472320986006,3.77675
0.0,0.7,0.06575,0.11861869321349189,3.7825
0.0,0.8,0.0675,0.1226207408919791,3.7825
0.0,0.9,0.07175,0.12673788040615439,3.77725
0.0,1.0,0.0715,0.12711049769494517,3.77325
0.1,0.5,0.09775,0.1680301226418494,6.18375
0.1,0.6,0.08075,0.14311658032337524,5.32175
0.1,0.7,0.06125,0.11230781526715562,4.645
0.1,0.8,0.03925,0.07849552588525303,3.97475
0.1,0.9,0.018,0.04852697618471245,3.22725
0.1,1.0,0.0005,0.019530180187790364,2.43
0.2,0.5,0.26775,0.3957110122142627,6.49375
0.2,0.6,0.2125,0.31635324633351347,5.599
0.2,0.7,0.15875,0.236519239633358,4.82475
0.2,0.8,0.10925,0.17013063971623912,3.99525
0.2,0.9,0.05325,0.09133843870398879,3.00225
0.2,1.0,0.0,0.01571683762780463,2.083
0.3,0.5,0.39575,0.5596044912389698,6.304
0.3,0.6,0.338,0.4769418749077719,5.08325
0.3,0.7,0.2515,0.35824365469824826,4.16525
0.3,0.8,0.16,0.2314262147942242,3.1685
0.3,0.9,0.088,0.13087330974952274,2.1525
0.3,1.0,0.0,0.008506069551490919,1.186
0.4,0.5,0.4925,0.6610012542783652,3.61
0.4,0.6,0.39675,0.5364033222084685,3.051
0.4,0.7,0.29025,0.39386570215651495,2.489
0.4,0.8,0.1925,0.2646696071076066,1.98075
0.4,0.9,0.0965,0.134185028477138,1.55075
0.4,1.0,0.0,0.00733403032272087,1.03225
0.5,0.5,0.49725,0.6394649950904496,2.43825
0.5,0.6,0.387,0.49824639644975666,2.159
0.5,0.7,0.3025,0.3920944059977646,1.86475
0.5,0.8,0.20125,0.2621160114218957,1.556
0.5,0.9,0.09325,0.1252466412178175,1.30175
0.5,1.0,0.0,0.007279331810745565,1.02625
0.6,0.5,0.503,0.6229211530098203,1.961
0.6,0.6,0.40675,0.5000227800986679,1.7695
0.6,0.7,0.30275,0.37472150878233856,1.59275
0.6,0.8,0.193,0.24364730063501366,1.36775
0.6,0.9,0.096,0.1253921610929634,1.1655
0.6,1.0,0.0,0.0069690855628303326,0.98525
0.7,0.5,0.498,0.5953032317862402,1.621
0.7,0.6,0.4015,0.4824768694684866,1.43375
0.7,0.7,0.29025,0.35110266520753936,1.237
0.7,0.8,0.201,0.24497975283682719,1.045
0.7,0.9,0.0915,0.11511793833227092,0.879
0.7,1.0,0.0,0.004803416056142342,0.6915
0.8,0.5,0.49025,0.5846206143216978,1.165
0.8,0.6,0.38575,0.46440676417249377,0.941
0.8,0.7,0.30825,0.3636891560848336,0.72475
0.8,0.8,0.19725,0.23659650299073592,0.45425
0.8,0.9,0.101,0.11918199757276826,0.23475
0.8,1.0,0.0,8.649444973553939e-07,0.001
0.9,0.5,0.49425,0.5862119191179329,1.124
0.9,0.6,0.391,0.45862614440707444,0.87425
0.9,0.7,0.3065,0.3594069759482479,0.7005
0.9,0.8,0.201,0.2379143707830385,0.45325
0.9,0.9,0.10175,0.11879068742685386,0.22925
0.9,1.0,0.0,-3.999951611445883e-12,0.0
0.99,0.5,0.4995,0.5861552610958656,1.1095
0.99,0.6,0.39875,0.46362650325024546,0.872
0.99,0.7,0.30875,0.362786499224077,0.682
0.99,0.8,0.2005,0.2355313093112048,0.4545
0.99,0.9,0.1015,0.11863994227969697,0.22375
0.99,1.0,0.0,-3.999949236746141e-12,0.0
