arm,kappa,gamma,selectivity,engagement,deep_steps_ghost
A,0.0,16.0,0.0,1.0,4.21375
A,0.1,16.0,0.0,1.0,5.1955
A,0.2,16.0,-0.0006666666666666543,0.9996666666666666,4.073
A,0.3,16.0,0.044166666666666694,0.9750833333333333,3.8627499999999997
A,0.4,16.0,0.2935,0.8459166666666667,3.0975
A,0.5,16.0,0.31483333333333335,0.8328333333333333,3.02625
A,0.6,16.0,0.35275,0.811625,2.9057500000000003
A,0.7,16.0,0.5216666666666667,0.7215,2.382
A,0.8,16.0,0.6420000000000001,0.6543333333333333,2.0
A,0.9,16.0,0.64075,0.6537083333333332,2.0
A,0.99,16.0,0.6383333333333334,0.6525,2.0
B,0.0,1.0,0.002333333333333326,0.705,3.1115000000000004
B,0.0,2.0,0.0,1.0,4.00475
B,0.0,4.0,0.0,1.0,4.02125
B,0.0,8.0,0.0,1.0,4.11975
B,0.0,16.0,0.0,1.0,4.2375
B,0.0,32.0,-0.18808333333333332,0.9027083333333333,4.2844999999999995
B,0.0,64.0,-0.21833333333333335,0.8861666666666667,4.15825
C,0.9,1.0,0.3333333333333335,0.8333333333333333,3.0
C,0.9,2.0,0.3333333333333335,0.8333333333333333,3.0
C,0.9,4.0,0.3333333333333335,0.8333333333333333,3.0
C,0.9,8.0,0.6666666666666667,0.6666666666666666,2.0
C,0.9,16.0,0.6385000000000001,0.6525833333333333,2.0
C,0.9,32.0,0.6943333333333334,0.3471666666666667,0.0
C,0.9,64.0,0.647,0.3235,0.0
