arm,favoured_k,contamination,kl_naive,kl_naive_sd,kl_recovered,bound,synth_lean,naive_regret,naive_argmax,weighted_regret
biased,0,0.0,0.0007721670114794868,0.0003514402015360063,0.0008107202403645733,-3.9999226153601766e-12,0.9516310506386029,1.1058692084064397,1.0,1.1619445622976547
biased,0,0.2,0.007345710933522777,0.0020660519752764756,0.0011402645509936702,0.029320512888574714,0.9516310506386029,1.6771614186591164,1.0,1.1447206805559977
biased,0,0.4,0.024230967162346444,0.004439842595372662,0.0013322841190529632,0.1169050981581141,0.9516310506386029,2.5733372890425783,1.0,1.0471464158968733
biased,0,0.6,0.04971294884601395,0.006850633961472202,0.002361364683439518,0.2678991778381227,0.9516310506386029,4.519842985818987,0.7777777777777778,1.2746825151422163
biased,0,0.8,0.08073837281334997,0.01045093718777367,0.003304322065952983,0.5007099276256659,0.9516310506386029,7.4258412181269815,0.4444444444444444,1.4710779110760397
biased,1,0.0,0.0032913987791953537,0.0031392563334749356,0.006784918126766359,-3.9999226153601766e-12,0.9571211475764382,0.5567331330459352,1.0,0.4190829197585515
biased,1,0.2,0.007692044926230984,0.0020827289898596364,0.0040121711570846146,0.04355620225286258,0.9571211475764382,2.3649994708208286,1.0,0.5207349027564273
biased,1,0.4,0.026854496858650462,0.004275091327982257,0.002496655871527308,0.1678157027674238,0.9571211475764382,6.443913525807945,0.2222222222222222,0.8447893105207238
biased,1,0.6,0.06065355401920391,0.010784740761258807,0.007750158762983691,0.37377608596644457,0.9571211475764382,8.978892107219066,0.0,3.027412937202126
biased,1,0.8,0.10626468734035611,0.022049725174660015,0.033432335360558625,0.6803876188043222,0.9571211475764382,9.898244244919418,0.0,6.247730972400301
biased,2,0.0,0.0007983864592481198,0.0004861793313661193,0.0008479048970768898,-3.9999226153601766e-12,0.9634827409194409,1.0227618726979795,1.0,1.0151411528705492
biased,2,0.2,0.007349637673291568,0.0020130948953422725,0.0011521009859779873,0.06879132651946872,0.9634827409194409,1.6848450302856994,1.0,1.0054288119406272
biased,2,0.4,0.025170409936145596,0.004517160414320527,0.0014224023819247077,0.2516696520021913,0.9634827409194409,2.793910035324427,1.0,0.9254117428608923
biased,2,0.6,0.052560687002861664,0.007528373028258005,0.0022346239936352763,0.5389542592987089,0.9634827409194409,5.217975323055425,0.6666666666666666,1.1602273965166452
biased,2,0.8,0.08632122552656327,0.011875715901042201,0.0030436152222284023,0.9479609352487753,0.9634827409194409,8.626411014062215,0.3333333333333333,1.4324640275860863
biased,3,0.0,0.0007423306993368379,0.0004177412051417703,0.000746664996090875,-3.9999226153601766e-12,0.9586446444924583,1.0212841765006135,1.0,1.0212366589940383
biased,3,0.2,0.01139519513426832,0.0020688725734704107,0.0010109210085817227,0.12763007985929342,0.9586446444924583,2.128621566242584,1.0,1.0244441843475638
biased,3,0.4,0.04006991160368019,0.006415149170861127,0.0012910961854437405,0.4261400627676878,0.9586446444924583,4.1751895018911105,0.8888888888888888,0.962770839540886
biased,3,0.6,0.08276568244683513,0.012572512427176519,0.0025570103444431465,0.8581660503517049,0.9586446444924583,8.160014584215782,0.1111111111111111,1.2543775384227607
biased,3,0.8,0.1362614331138736,0.020868679410148347,0.006143229912429703,1.435691182254632,0.9586446444924583,13.649892381382317,0.0,1.7328456310511304
symmetric,-1,0.0,0.0007520911623963547,0.0004111779567009239,0.0007493551183636665,-3.9999226153601766e-12,0.25,1.0205497541731736,1.0,1.0177898636345153
symmetric,-1,0.2,0.008716665293452676,0.0018022704468927426,0.0010385904910353242,0.029320512888574714,0.25,1.8235776976010727,1.0,1.0327599859931953
symmetric,-1,0.4,0.029870697838630597,0.004149961088770622,0.0014852467666573786,0.1169050981581141,0.25,3.19319397127025,1.0,0.9872271077061415
symmetric,-1,0.6,0.06221422299075736,0.007522547304676271,0.0036662018316550634,0.2678991778381227,0.25,6.096868604069103,0.4444444444444444,1.326013941267407
symmetric,-1,0.8,0.10219644914509235,0.012634358349214298,0.010460140425090374,0.5007099276256659,0.25,10.279786400229282,0.3333333333333333,2.0545533110624326
