experiment,module,baseline_ok,baseline_outcome,repaired_ok,repaired_outcome,outcome_moved,spearman_rho__baseline,spearman_rho__repaired,positive_control_passed__baseline,positive_control_passed__repaired,positive_control_passed__flipped,foreign_absorbed__baseline,foreign_absorbed__repaired,foreign_absorbed__flipped,fabrication_peak_omega__baseline,fabrication_peak_omega__repaired,fabrication_peak_omega__delta,fabrication_peak_value__baseline,fabrication_peak_value__repaired,fabrication_peak_value__delta,engagement_crossing_omega__baseline,engagement_crossing_omega__repaired,engagement_crossing_omega__delta,fabrication_peak_is_interior__baseline,fabrication_peak_is_interior__repaired,fabrication_peak_is_interior__flipped,any_cell_crashes__baseline,any_cell_crashes__repaired,any_cell_crashes__flipped,measures_indistinguishable__baseline,measures_indistinguishable__repaired,measures_indistinguishable__delta,logistic_d50__baseline,logistic_d50__repaired,logistic_d50__delta,update_tracks_mu_rho__baseline,update_tracks_mu_rho__repaired,update_tracks_mu_rho__delta,exploit_mu_gap__baseline,exploit_mu_gap__repaired,exploit_mu_gap__delta,fabrication_gap__baseline,fabrication_gap__repaired,fabrication_gap__delta,update_tracks_recovered_depth__baseline,update_tracks_recovered_depth__repaired,update_tracks_recovered_depth__flipped,dishonest_label_inflates_depth__baseline,dishonest_label_inflates_depth__repaired,dishonest_label_inflates_depth__flipped
E1,e1_crash,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,e5_precision_baseline,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,e2_variance,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,e17_tier_dose_response,True,"confirmed: disagreement under a human claim rises monotonically as intent transmission falls, and the fabrication gap rises with it — the four-tier design is carrying real signal rather than relabelling a binary contrast",True,"confirmed: disagreement under a human claim rises monotonically as intent transmission falls, and the fabrication gap rises with it — the four-tier design is carrying real signal rather than relabelling a binary contrast",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,e3_titration,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,e4_trust_exploit,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E19,e19_explore,True,CRASH_SURVIVES,True,INCONCLUSIVE,True,,,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E20,e20_omega_sweep,True,INTERIOR_PEAK,True,INTERIOR_PEAK,False,,,,,,,,,0.1,0.1,0.0,0.3018488336926586,0.30296320064771054,0.0011143669550519597,0.04115283331707792,0.06684900016617737,0.02569616684909945,True,True,False,True,False,True,,,,,,,,,,,,,,,,,,,,,
E21,e21_model_comparison,True,MACHINERY_PARTLY_NECESSARY,True,MACHINERY_PARTLY_NECESSARY,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32,e32_omega_d,True,TWO_DIMENSIONS,True,TWO_DIMENSIONS,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
E15,e15_competence_cliff,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8781173954655348,0.8589875039655154,-0.019129891500019425,,,,,,,,,,,,,,,
E28,e28_beta,True,BETA_IS_SEPARABLE_OVER_PART_OF_THE_RANGE,True,BETA_IS_SEPARABLE_OVER_PART_OF_THE_RANGE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E29,e29_gates,True,GATES_PARTLY_DISSOCIATE,True,GATES_PARTLY_DISSOCIATE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E30,e30_depth,True,DEPTH_MOVES_NOTHING,True,DEPTH_MOVES_NOTHING,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E31,e31_two_gates,True,ONE_MECHANISM_OPPOSITE_SIGNS,True,DEPTH_IS_NOT_THE_COMMON_PATH,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8857142857142857,0.6,-0.2857142857142857,0.18739021543200063,0.8319163786440276,0.6445261632120269,0.025,0.004166666666666667,-0.020833333333333336,True,False,True,True,True,False
E33,e33_latent_goal,True,READS_THE_LATENT_WITHOUT_A_TRACE,True,READS_THE_LATENT_WITHOUT_A_TRACE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,e7_learn_ghost,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E16,e16_label_coverage,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,e9_poison_starve,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E18,e18_deferred_estimator,True,"the estimator fix does NOT remove the generational contraction. Early-step misattribution is therefore not the whole of it: a second contributor exists, the single-generation measurement does not explain the chain, and E8 stays withheld.",True,"the estimator fix does NOT remove the generational contraction. Early-step misattribution is therefore not the whole of it: a second contributor exists, the single-generation measurement does not explain the chain, and E8 stays withheld.",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13,e13_freeze_leak_signature,True,shared_axis,True,shared_axis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,e6_corpus_corruption,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6b,e6b_corpus_biased,True,NOT falsified — the bias axis produces the predicted corruption; downstream V2 stages may proceed.,True,NOT falsified — the bias axis produces the predicted corruption; downstream V2 stages may proceed.,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
