access_contract,bootstrap,card_id,condition,condition_factors,criterion_state,estimand,evidence_scope,interval_95,mean,n_constructors,n_makers,paired_standard_deviation,source
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K01,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""personal"",""denominator"":""all independent maker task packets, including failures"",""id"":""personal-minus-pooled-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""personal success minus rival success"",""practical_bar"":0.05,""rival"":""pooled"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K01,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""personal"",""denominator"":""all independent maker task packets, including failures"",""id"":""personal-minus-primitive-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""personal success minus rival success"",""practical_bar"":0.05,""rival"":""primitive"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K01,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""personal"",""denominator"":""all independent maker task packets, including failures"",""id"":""personal-minus-pooled-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""personal success minus rival success"",""practical_bar"":0.05,""rival"":""pooled"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.44140625,0.59375]",0.51953125,32,256,0.5005970699780296,constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K01,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""personal"",""denominator"":""all independent maker task packets, including failures"",""id"":""personal-minus-primitive-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""personal success minus rival success"",""practical_bar"":0.05,""rival"":""primitive"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[1.0,1.0]",1.0,32,256,0.0,constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K01,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""personal"",""denominator"":""all independent maker task packets, including failures"",""id"":""personal-minus-pooled-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""personal success minus rival success"",""practical_bar"":0.05,""rival"":""pooled"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.02734375]",0.0078125,32,256,0.08821486691651266,constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K01,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""personal"",""denominator"":""all independent maker task packets, including failures"",""id"":""personal-minus-primitive-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""personal success minus rival success"",""practical_bar"":0.05,""rival"":""primitive"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[1.0,1.0]",1.0,32,256,0.0,constructor-expansion-1/K01
"{""access_arms"":""same finished artifact, declared task context and permitted prior/query observations; without-query is explicitly paid-access ablation""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K02,prior-4,"{""id"":""prior-4"",""prior_works"":4}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""maker"",""denominator"":""all independent maker task packets, including failures"",""id"":""K02-maker-minus-generic-future_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""maker minus generic: future_log_score"",""practical_bar"":0.02,""rival"":""generic"",""target"":""future_log_score"",""units"":""nats_per_event""}",discovery expansion,"[-0.0001703979858279931,0.0001541645609375317]",-6.584999733298333e-06,32,256,0.0008748767647394347,constructor-expansion-1/K02
"{""access_arms"":""same finished artifact, declared task context and permitted prior/query observations; without-query is explicitly paid-access ablation""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K02,prior-4,"{""id"":""prior-4"",""prior_works"":4}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""maker"",""denominator"":""all independent maker task packets, including failures"",""id"":""K02-maker-minus-direct-table-future_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""maker minus direct-table: future_log_score"",""practical_bar"":0.02,""rival"":""direct-table"",""target"":""future_log_score"",""units"":""nats_per_event""}",discovery expansion,"[-4.163336342344337e-17,9.540979117872439e-18]",-1.5612511283791264e-17,32,256,1.5023444483515984e-16,constructor-expansion-1/K02
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,aligned-budget-8,"{""budget"":8,""id"":""aligned-budget-8"",""relation"":""aligned""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,aligned-budget-8,"{""budget"":8,""id"":""aligned-budget-8"",""relation"":""aligned""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
