access_contract,arm,card_id,condition,condition_factors,n_makers,recorded_metrics,source
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",personal,K01,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",256,"{""definition_cost_mean"":2.6328125,""legal_mean"":0.0,""search_primitives_mean"":8.0,""success_mean"":0.0,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",pooled,K01,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",256,"{""definition_cost_mean"":3.96875,""legal_mean"":0.0,""search_primitives_mean"":8.0,""success_mean"":0.0,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",primitive,K01,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",256,"{""definition_cost_mean"":0.0,""legal_mean"":0.0,""search_primitives_mean"":8.0,""success_mean"":0.0,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",personal,K01,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",256,"{""definition_cost_mean"":2.6328125,""legal_mean"":1.0,""search_primitives_mean"":22.24609375,""success_mean"":1.0,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",pooled,K01,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",256,"{""definition_cost_mean"":3.96875,""legal_mean"":0.48046875,""search_primitives_mean"":27.994140625,""success_mean"":0.48046875,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",primitive,K01,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",256,"{""definition_cost_mean"":0.0,""legal_mean"":0.0,""search_primitives_mean"":32.0,""success_mean"":0.0,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",personal,K01,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",256,"{""definition_cost_mean"":2.640625,""legal_mean"":1.0,""search_primitives_mean"":22.2890625,""success_mean"":1.0,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",pooled,K01,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",256,"{""definition_cost_mean"":3.96875,""legal_mean"":0.9921875,""search_primitives_mean"":40.96875,""success_mean"":0.9921875,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":{""personal"":""own permitted training attempts and feedback"",""pooled"":""same number of independently sampled generic attempts and feedback"",""primitive"":""same own training record; no abstraction learning""}}",primitive,K01,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",256,"{""definition_cost_mean"":0.0,""legal_mean"":0.0,""search_primitives_mean"":128.0,""success_mean"":0.0,""training_primitives_mean"":32.0}",constructor-expansion-1/K01
"{""access_arms"":""same finished artifact, declared task context and permitted prior/query observations; without-query is explicitly paid-access ablation""}",direct-table,K02,prior-4,"{""id"":""prior-4"",""prior_works"":4}",256,"{""future_log_score"":-2.116331121706382,""legal"":1.0,""success"":1.0}",constructor-expansion-1/K02
