budget,stratum,method,constructor_configurations,histories,target_executions,success_fraction,descriptive_95_interval,successful_executions,successful_online_primitives,mean_search_primitives,mean_checking_primitives,mean_submission_primitives,mean_online_primitives,mean_attempts_considered,empty_library_rate,rejected_rate,invalid_rate,timeout_rate,primitive_relative_success_fraction
32,changed,broad-checked,64,256,1024,0.66015625,"[0.62890625, 0.6875]",676,21.869822485207102,21.9921875,2.0,1.3203125,25.3125,15.99609375,0.0,1.0,0.0,0.33984375,-0.17578125
32,changed,broad-checked-extra,64,256,1024,0.8359375,"[0.80859375, 0.8671875]",856,24.8411214953271,22.671875,2.0,1.671875,26.34375,16.3359375,0.0,1.0,0.0,0.1640625,0.0
32,changed,broad-unchecked,64,256,1024,0.0,"[0.0, 0.0]",0,,31.0,0.0,0.0,31.0,17.0,0.0,0.0,0.0,1.0,-0.8359375
32,changed,focused-checked,64,256,1024,0.66015625,"[0.6328125, 0.6875]",676,21.869822485207102,21.9921875,2.0,1.3203125,25.3125,15.99609375,0.0,1.0,0.0,0.33984375,-0.17578125
32,changed,focused-checked-extra,64,256,1024,0.8359375,"[0.80859375, 0.8671875]",856,24.8411214953271,22.671875,2.0,1.671875,26.34375,16.3359375,0.0,1.0,0.0,0.1640625,0.0
32,changed,focused-unchecked,64,256,1024,0.0,"[0.0, 0.0]",0,,31.0,0.0,0.0,31.0,17.0,0.0,0.0,0.0,1.0,-0.8359375
32,changed,primitive,64,256,1024,0.8359375,"[0.80859375, 0.86328125]",856,22.8411214953271,22.671875,0.0,1.671875,24.34375,16.3359375,1.0,0.0,0.0,0.1640625,0.0
32,compatible,broad-checked,64,256,512,0.59375,"[0.52734375, 0.66015625]",304,26.0625,24.693359375,2.0,1.78125,28.474609375,16.251953125,0.0,0.40625,0.0,0.40625,0.59375
32,compatible,broad-checked-extra,64,256,512,0.59375,"[0.52734375, 0.66015625]",304,26.0625,25.505859375,2.0,1.78125,29.287109375,16.658203125,0.0,0.40625,0.0,0.40625,0.59375
32,compatible,broad-unchecked,64,256,512,0.59375,"[0.52734375, 0.6640625]",304,24.0625,25.099609375,0.0,1.78125,26.880859375,15.033203125,0.0,0.0,0.0,0.40625,0.59375
32,compatible,focused-checked,64,256,512,0.9921875,"[0.98046875, 1.0]",508,25.765748031496063,20.837890625,2.0,2.9765625,25.814453125,13.638671875,0.0,0.0078125,0.0,0.0078125,0.9921875
32,compatible,focused-checked-extra,64,256,512,0.9921875,"[0.98046875, 1.0]",508,25.765748031496063,20.853515625,2.0,2.9765625,25.830078125,13.646484375,0.0,0.0078125,0.0,0.0078125,0.9921875
32,compatible,focused-unchecked,64,256,512,0.9921875,"[0.98046875, 1.0]",508,23.765748031496063,20.845703125,0.0,2.9765625,23.822265625,13.615234375,0.0,0.0,0.0,0.0078125,0.9921875
32,compatible,primitive,64,256,512,0.0,"[0.0, 0.0]",0,,32.0,0.0,0.0,32.0,21.0,1.0,0.0,0.0,1.0,0.0
128,changed,broad-checked,64,256,1024,1.0,"[1.0, 1.0]",1024,29.296875,25.296875,2.0,2.0,29.296875,17.6484375,0.0,1.0,0.0,0.0,0.0
128,changed,broad-checked-extra,64,256,1024,1.0,"[1.0, 1.0]",1024,29.296875,25.296875,2.0,2.0,29.296875,17.6484375,0.0,1.0,0.0,0.0,0.0
128,changed,broad-unchecked,64,256,1024,1.0,"[1.0, 1.0]",1024,61.2890625,59.2890625,0.0,2.0,61.2890625,29.3125,0.0,0.0,0.0,0.0,0.0
128,changed,focused-checked,64,256,1024,1.0,"[1.0, 1.0]",1024,29.296875,25.296875,2.0,2.0,29.296875,17.6484375,0.0,1.0,0.0,0.0,0.0
128,changed,focused-checked-extra,64,256,1024,1.0,"[1.0, 1.0]",1024,29.296875,25.296875,2.0,2.0,29.296875,17.6484375,0.0,1.0,0.0,0.0,0.0
128,changed,focused-unchecked,64,256,1024,1.0,"[1.0, 1.0]",1024,61.2890625,59.2890625,0.0,2.0,61.2890625,29.3125,0.0,0.0,0.0,0.0,0.0
128,changed,primitive,64,256,1024,1.0,"[1.0, 1.0]",1024,27.296875,25.296875,0.0,2.0,27.296875,17.6484375,1.0,0.0,0.0,0.0,0.0
128,compatible,broad-checked,64,256,512,0.59375,"[0.52734375, 0.66015625]",304,26.0625,63.693359375,2.0,1.78125,67.474609375,35.751953125,0.0,0.40625,0.0,0.40625,0.59375
128,compatible,broad-checked-extra,64,256,512,0.59375,"[0.52734375, 0.66015625]",304,26.0625,64.505859375,2.0,1.78125,68.287109375,36.158203125,0.0,0.40625,0.0,0.40625,0.59375
128,compatible,broad-unchecked,64,256,512,0.59375,"[0.52734375, 0.6640625]",304,24.0625,64.505859375,0.0,1.78125,66.287109375,33.314453125,0.0,0.0,0.0,0.40625,0.59375
128,compatible,focused-checked,64,256,512,0.9921875,"[0.98046875, 1.0]",508,25.765748031496063,21.587890625,2.0,2.9765625,26.564453125,14.013671875,0.0,0.0078125,0.0,0.0078125,0.9921875
128,compatible,focused-checked-extra,64,256,512,0.9921875,"[0.98046875, 1.0]",508,25.765748031496063,21.603515625,2.0,2.9765625,26.580078125,14.021484375,0.0,0.0078125,0.0,0.0078125,0.9921875
128,compatible,focused-unchecked,64,256,512,0.9921875,"[0.98046875, 1.0]",508,23.765748031496063,21.603515625,0.0,2.9765625,24.580078125,13.966796875,0.0,0.0,0.0,0.0078125,0.9921875
128,compatible,primitive,64,256,512,0.0,"[0.0, 0.0]",0,,128.0,0.0,0.0,128.0,69.0,1.0,0.0,0.0,1.0,0.0
