settled_at,process_before_settling,process_after_settling,mu,beta,observer,goal_correct,goal_error_reduction,goal_movement,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy,recovered_mu,final_entropy
5,-0.019665613324008513,0.1128141496773698,1,1.0,0,1,0.9668106704330068,0.9668106703764021,0.375,0.08521419905208272,0.35714285714285715,0.375,1.8402742529661842,5.712181453425912e-11
1,,,1,1.0,1,1,1.5777059512381888,1.577705951233342,0.375,0.16683994087346732,0.42857142857142855,0.375,1.507763578300597,3.017176013006266e-15
3,-0.03863066399984505,-0.11046545480121428,1,1.0,2,1,1.1103826790021978,1.110381907085303,0.08333333333333333,-0.10148610595104346,0.09523809523809523,0.08333333333333333,1.9074993794726636,8.327862850815551e-07
1,,,1,1.0,3,1,1.1287859019290767,1.1287859019258728,0.25,-0.05714057633394942,0.2619047619047619,0.25,1.5510253808864434,1.165264302439215e-13
2,0.15763472763566422,0.00038285667494841746,1,1.0,4,1,0.9980734241806878,0.9980734241777875,0.2916666666666667,0.013487179255008197,0.2619047619047619,0.2916666666666667,1.0694535631289563,1.9606756084045173e-13
1,,,1,1.0,5,1,1.235051865456913,1.2350518654533993,0.0,-0.2554162398651423,0.0,0.0,1.359406557994097,7.782650484595384e-14
1,,,1,1.0,6,1,1.6273251803236215,1.6273251803153412,0.041666666666666664,-0.27111787091965667,0.047619047619047616,0.041666666666666664,1.630243663611751,3.2601000208035954e-12
1,,,1,1.0,7,1,1.396215313013055,1.396215312717959,0.2916666666666667,-0.03604832497424493,0.2619047619047619,0.2916666666666667,1.497761107121074,3.01932798510748e-10
2,0.011133025070968694,0.009865319181817878,1,1.0,8,1,1.1456007532671866,1.1456007532607944,0.08333333333333333,0.00997096133924713,0.047619047619047616,0.08333333333333333,1.5196341412028946,3.385253570923977e-12
2,0.11195330095387113,0.1192239880356809,1,1.0,9,1,1.3296701252041672,1.3296701252002454,0.4583333333333333,0.11861809744553042,0.4761904761904762,0.4583333333333333,1.2037472694315778,1.4638327657758734e-13
1,,,1,1.0,10,1,1.3319903566769342,1.3319903566730387,0.375,0.06966413123949833,0.40476190476190477,0.375,1.116034449303364,1.1021188949286462e-13
