arm,observer,goal_correct,final_entropy,engaged_fraction,error_reduction,movement,process_accuracy,posterior
human,0,1,4.424731210451507e-08,0.21428571428571427,1.6058802032874324,1.6058801604305595,0.16666666666666666,"[0.99999999799863, 7.034413302120336e-10, 8.04464370953247e-10, 4.934642528335024e-10]"
human,1,1,7.453265150649683e-05,0.21428571428571427,1.4395364210783181,1.4394665442009709,0.4166666666666667,"[1.1959614158473264e-06, 2.511151545167869e-06, 0.9999947540009178, 1.5388861214159412e-06]"
human,2,1,1.0032534745750208e-05,0.0,1.3551169389474333,1.3551075384770044,0.375,"[2.4212812624328516e-07, 1.795034117911727e-07, 1.9023565759256033e-07, 0.9999993881328042]"
human,3,1,1.0757470460370393e-08,0.35714285714285715,0.9331293208104368,0.9331293108083941,0.6666666666666666,"[1.2954064062022414e-10, 1.4996585481145335e-10, 1.7632656458964816e-10, 0.9999999995441669]"
human,4,1,1.2998847839146565e-09,0.42857142857142855,1.4688714421276952,1.4688714408677086,0.6666666666666666,"[1.2336158227750224e-11, 1.8860939427185003e-11, 0.9999999999495992, 1.9203647440036877e-11]"
human,5,1,5.275738596011181e-07,0.07142857142857142,1.1884581669152552,1.1884576732689716,0.75,"[1.1531565756621893e-08, 0.9999999729521315, 8.030301683584645e-09, 7.486000996934815e-09]"
human,6,1,7.88145691101906e-06,0.0,1.448695947397989,1.4486884952201693,0.3333333333333333,"[1.9086997052666413e-07, 1.4123172393681458e-07, 1.4121829867076543e-07, 0.9999995266800067]"
human,7,1,0.0002747038868801206,0.0,1.6377068295030723,1.6374463106708592,0.375,"[8.836547693237483e-06, 6.534006855733146e-06, 0.9999785997164283, 6.029729022772052e-06]"
human,8,1,1.602727642455735e-07,0.2857142857142857,1.3312897448530432,1.3312895928361146,0.2916666666666667,"[3.0369361123888657e-09, 2.1822413812596807e-09, 2.497689845824972e-09, 0.9999999922831326]"
human,9,1,3.925144690587195e-06,0.0,1.5388508387410724,1.5388470917782768,0.375,"[8.619823317605504e-08, 0.9999997742973178, 5.950793249567526e-08, 7.999651634481374e-08]"
human,10,1,0.00026143202370536945,0.07142857142857142,1.3837518386661185,1.3835109221994408,0.16666666666666666,"[7.410798362028985e-06, 0.9999797178135268, 7.701582530689011e-06, 5.169805580364561e-06]"
human,11,1,3.7480872365928363e-06,0.0,1.6023062714092282,1.602302673134853,0.3333333333333333,"[6.446225180518748e-08, 5.6492918944448865e-08, 9.412871312511346e-08, 0.9999997849161162]"
human,12,1,0.007274761412777346,0.0,1.6289332436141435,1.622188264570596,0.041666666666666664,"[0.9992111979191933, 0.00033171672962689164, 0.0002559502335666783, 0.00020113511761321514]"
human,13,1,3.3716211988314436e-08,0.14285714285714285,1.5802524080397238,1.5802523754175675,0.0,"[5.769235048543154e-10, 0.9999999984943829, 5.614765551762577e-10, 3.6721715739875155e-10]"
human,14,1,4.014930218247131e-06,0.0,1.3278768181273146,1.3278730508044878,0.2916666666666667,"[6.734308451055805e-08, 7.40293789452705e-08, 8.974761980438972e-08, 0.9999997688799168]"
human,15,1,7.118285990829652e-05,0.0,0.9977131099462343,0.9976497375742135,0.4583333333333333,"[0.999995022102693, 1.9278993313148837e-06, 1.3758786751784445e-06, 1.674119300479936e-06]"
human,16,1,2.9437316450345806e-05,0.07142857142857142,1.6619936914117175,1.6619654532641246,0.25,"[8.628237247598174e-07, 6.031302608491375e-07, 4.6780755600645575e-07, 0.9999980662384587]"
human,17,1,3.3853459175981154e-09,0.35714285714285715,1.432596897188415,1.4325968939244889,0.4166666666666667,"[4.5020377297657746e-11, 0.9999999998634628, 5.652699880458104e-11, 3.499006430818175e-11]"
human,18,1,1.9855828660608257e-12,0.5714285714285714,1.2579804710041638,1.2579804709987308,0.75,"[0.9999999999999388, 2.4245476055489853e-14, 1.9650118329431243e-14, 1.7167251518950607e-14]"
human,19,1,4.650669196860984e-06,0.0,1.5287248598993415,1.5287204253031892,0.5,"[9.51225578070654e-08, 1.0570875851841858e-07, 0.9999997297331786, 6.94355048319511e-08]"
human,20,1,1.8448202913774835e-06,0.0,1.0793728039479726,1.0793711027293256,0.041666666666666664,"[0.999999898542541, 2.9458410421916074e-08, 4.332438436210382e-08, 2.8674664107271716e-08]"
human,21,1,4.6544845648696825e-08,0.35714285714285715,1.6329170966470306,1.6329170514855922,0.3333333333333333,"[7.495512959044201e-10, 8.660645656739622e-10, 4.953115793647163e-10, 0.9999999978890726]"
human,22,1,1.3087487202928244e-05,0.0,1.564834061411417,1.5648215781775479,0.25,"[0.9999991868998075, 2.2085833568216609e-07, 3.586545267797485e-07, 2.3358732996784898e-07]"
human,23,1,0.00018224738242807675,0.0,1.6220897337102451,1.6219169850544077,0.20833333333333334,"[4.860955087766303e-06, 5.10536483300131e-06, 0.9999862837340803, 3.749945998968426e-06]"
human,24,1,2.9905310017570865e-05,0.07142857142857142,1.4645743834971423,1.464546235524803,0.16666666666666666,"[7.6369772360595e-07, 0.9999980366147987, 6.366993674118951e-07, 5.629881104743779e-07]"
human,25,1,7.624589137562593e-05,0.0,1.4508771212137574,1.450805780229956,0.2916666666666667,"[0.9999946421092747, 1.6935953391784905e-06, 2.0372729192728904e-06, 1.6270224668543325e-06]"
human,26,1,5.33938555439171e-10,0.5714285714285714,1.2084147422008624,1.2084147416884405,0.625,"[7.837072117852073e-12, 7.533113856352522e-12, 0.9999999999800093, 4.620645765061171e-12]"
human,27,1,2.2617235159876342e-10,0.5,1.5619126891310353,1.5619126889062573,0.20833333333333334,"[2.0701028745069126e-12, 3.5507329500751513e-12, 2.5734347685204457e-12, 0.9999999999918057]"
human,28,1,2.4727039202361944e-08,0.35714285714285715,1.5609072241546407,1.5609072002502264,0.16666666666666666,"[4.3699551831754895e-10, 2.940953460500912e-10, 3.570343395258014e-10, 0.9999999989118746]"
