block,corner,observer,aesthetic,social,information_gain,engagement_additive,engagement_multiplicative,error_reduction,goal_correct,regime,mu,salience,engagement,process_error_reduction
corners,plain,0,0.0,0.0,0.0,0.0,0.0,-2.0164091865823757,0,,,,,
corners,plain,1,0.0,0.0,0.0,0.0,0.0,-2.096629332841852,0,,,,,
corners,plain,2,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,-2.100713210473475,0,,,,,
corners,plain,3,0.0,0.0,0.0,0.0,0.0,-1.0953591136283545,0,,,,,
corners,plain,4,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.5666345537284405,1,,,,,
corners,plain,5,0.0,0.0,0.0,0.0,0.0,-2.6274313020604367,0,,,,,
corners,plain,6,0.0,0.0,0.0,0.0,0.0,0.8320029476302093,1,,,,,
corners,plain,7,0.0,0.0,0.0,0.0,0.0,-0.7557364310926158,0,,,,,
corners,plain,8,0.0,0.0,0.0,0.0,0.0,1.1536159718819174,1,,,,,
corners,plain,9,0.0,0.0,0.0,0.0,0.0,-0.6105855452120224,0,,,,,
corners,plain,10,0.0,0.0,0.0,0.0,0.0,-3.0720450775949013,0,,,,,
corners,plain,11,0.0,0.0,0.0,0.0,0.0,1.0739647108291297,1,,,,,
corners,plain,12,0.0,0.0,0.0,0.0,0.0,-0.6114786629079074,0,,,,,
corners,plain,13,0.0,0.0,0.0,0.0,0.0,-0.2329998514947409,0,,,,,
corners,plain,14,0.0,0.0,0.0,0.0,0.0,-0.37358305586252305,0,,,,,
corners,plain,15,0.0,0.0,0.0,0.0,0.0,-2.8777584823965006,0,,,,,
corners,plain,16,0.0,0.0,0.0,0.0,0.0,-1.2963066964295271,0,,,,,
corners,plain,17,0.0,0.0,0.0,0.0,0.0,-1.9832183102632688,0,,,,,
corners,plain,18,0.0,0.0,0.0,0.0,0.0,0.1756678570087904,1,,,,,
corners,plain,19,0.0,0.0,0.0,0.0,0.0,-0.13512852465297542,0,,,,,
corners,plain,20,0.0,0.0,0.0,0.0,0.0,1.5840076063360888,1,,,,,
corners,plain,21,0.0,0.0,0.0,0.0,0.0,0.3362090521462151,0,,,,,
corners,plain,22,0.0,0.0,0.0,0.0,0.0,-0.26036469453033706,0,,,,,
corners,plain,23,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,-1.7203743009914585,0,,,,,
corners,plain,24,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,-1.5584710744479062,0,,,,,
corners,plain,25,0.0,0.0,0.0,0.0,0.0,-0.3409287187494452,0,,,,,
corners,plain,26,0.0,0.0,0.0,0.0,0.0,-0.27348716920520166,0,,,,,
corners,plain,27,0.0,0.0,0.0,0.0,0.0,-1.4651265464678314,0,,,,,
corners,plain,28,0.0,0.0,0.0,0.0,0.0,-2.15292066864957,0,,,,,
corners,plain,29,0.0,0.0,0.0,0.0,0.0,-0.3929287767477705,0,,,,,
corners,plain,30,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,-0.43766794173600543,0,,,,,
corners,plain,31,0.0,0.0,0.0,0.0,0.0,-0.270710247124621,0,,,,,
corners,plain,32,0.0,0.0,0.0,0.0,0.0,0.4067529422969922,1,,,,,
corners,plain,33,0.0,0.0,0.0,0.0,0.0,-0.23110805304733262,0,,,,,
corners,plain,34,0.0,0.0,0.0,0.0,0.0,0.9336155344522298,1,,,,,
corners,plain,35,0.0,0.0,0.0,0.0,0.0,1.2268970586223895,1,,,,,
corners,plain,36,0.0,0.0,0.0,0.0,0.0,0.25041807621655643,0,,,,,
corners,plain,37,0.0,0.0,0.0,0.0,0.0,1.0274028214301585,1,,,,,
corners,plain,38,0.0,0.0,0.0,0.0,0.0,-2.684201100172948,0,,,,,
corners,plain,39,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,-1.2578288252601628,0,,,,,
corners,plain,40,0.0,0.0,0.0,0.0,0.0,1.1456469665594247,1,,,,,
corners,plain,41,0.0,0.0,0.0,0.0,0.0,-0.5044573271964794,0,,,,,
corners,plain,42,0.0,0.0,0.0,0.0,0.0,0.280717737513136,0,,,,,
corners,plain,43,0.0,0.0,0.0,0.0,0.0,0.6226793040899041,1,,,,,
corners,plain,44,0.0,0.0,0.0,0.0,0.0,0.21886921290647887,1,,,,,
