label,kappa,coupling,values_layer,integration,theta_EC,value_divergence,psi,goal_accuracy,error_reduction
false,0.2,0.0,False,0.008907036899225718,1.635342697476603,1.2853426974766031,0.0020622525089525633,0.2,-5.54373652475212
false,0.2,0.0,True,0.41707422429193697,1.6460056253607427,1.2960056253607426,0.1207649047866232,0.2,-5.54373652475212
false,0.2,1.0,False,0.07172489857138717,1.3082741579812824,1.2853426974766031,0.017601371031617033,0.2,-5.54373652475212
false,0.2,1.0,True,0.42089141140260944,1.3168045002885942,1.2960056253607426,0.12186204128028769,0.2,-5.54373652475212
false,0.4,0.0,False,0.008907036899225718,1.635342697476603,1.2853426974766031,0.0047209584056735815,0.2,-5.54373652475212
false,0.4,0.0,True,0.41707422429193697,1.6460056253607427,1.2960056253607426,0.27645794580817395,0.2,-5.54373652475212
false,0.4,1.0,False,0.39150598726036956,0.9812056184859618,1.2853426974766031,0.24135562945128441,0.2,-5.54373652475212
false,0.4,1.0,True,0.42711883896989383,0.9876033752164457,1.2960056253607426,0.2830561409499446,0.2,-5.54373652475212
false,0.538,0.0,False,0.008907036899225718,1.635342697476603,1.2853426974766031,0.007136444479160902,0.2,-5.54373652475212
false,0.538,0.0,True,0.41707422429193697,1.6460056253607427,1.2960056253607426,0.41790810499661923,0.2,-5.54373652475212
false,0.538,1.0,False,0.7629717198144071,0.7555283262341905,1.2853426974766031,0.7460533435894288,0.2,-5.54373652475212
false,0.538,1.0,True,0.4885903562145411,0.7604545989166631,1.2960056253607426,0.4892276102854737,0.2,-5.54373652475212
false,0.7,0.0,False,0.008907036899225718,1.635342697476603,1.2853426974766031,0.011126899799742072,0.2,-5.54373652475212
false,0.7,0.0,True,0.41707422429193697,1.6460056253607427,1.2960056253607426,0.6515880034344801,0.2,-5.54373652475212
false,0.7,1.0,False,0.9631045504513225,0.49060280924298094,1.2853426974766031,1.4888572924397985,0.2,-5.54373652475212
false,0.7,1.0,True,0.863011637758864,0.4938016876082229,1.2960056253607426,1.3408361700427587,0.2,-5.54373652475212
false,0.9,0.0,False,0.008907036899225718,1.635342697476603,1.2853426974766031,0.02128007669115804,0.2,-5.54373652475212
false,0.9,0.0,True,0.41707422429193697,1.6460056253607427,1.2960056253607426,1.246155077665542,0.2,-5.54373652475212
false,0.9,1.0,False,0.9972219841972476,0.16353426974766025,1.2853426974766031,2.9514858186512636,0.2,-5.54373652475212
false,0.9,1.0,True,0.9962575466351972,0.16460056253607425,1.2960056253607426,2.9489605724647534,0.2,-5.54373652475212
honest,0.2,0.0,False,0.06016688773674721,0.3833008363384487,0.0333008363384487,0.00042303745069164223,0.275,-0.08172372856908314
honest,0.2,0.0,True,0.0031035698492955827,0.9363226749187088,0.5863226749187089,4.4891588926290806e-05,0.275,-0.08172372856908314
honest,0.2,1.0,False,0.10544257321448511,0.30664066907075893,0.0333008363384487,0.0007696123510345608,0.275,-0.08172372856908314
honest,0.2,1.0,True,0.008772818188985707,0.7490581399349672,0.5863226749187089,0.00011570815556085888,0.275,-0.08172372856908314
honest,0.4,0.0,False,0.06016688773674721,0.3833008363384487,0.0333008363384487,0.0009684275810491309,0.275,-0.08172372856908314
honest,0.4,0.0,True,0.0031035698492955827,0.9363226749187088,0.5863226749187089,0.00010276691295832512,0.275,-0.08172372856908314
honest,0.4,1.0,False,0.17849710727439852,0.22998050180306923,0.0333008363384487,0.0030872103713689503,0.275,-0.08172372856908314
honest,0.4,1.0,True,0.025793728429690892,0.5617936049512253,0.5863226749187089,0.0006870534991535857,0.275,-0.08172372856908314
honest,0.538,0.0,False,0.06016688773674721,0.3833008363384487,0.0333008363384487,0.0014639251334939783,0.275,-0.08172372856908314
honest,0.538,0.0,True,0.0031035698492955827,0.9363226749187088,0.5863226749187089,0.00015534777170255729,0.275,-0.08172372856908314
honest,0.538,1.0,False,0.24891862545891885,0.17708498638836329,0.0333008363384487,0.006636778316702212,0.275,-0.08172372856908314
honest,0.538,1.0,True,0.05561033628034403,0.4325810758124435,0.5863226749187089,0.002013708595104884,0.275,-0.08172372856908314
honest,0.7,0.0,False,0.06016688773674721,0.3833008363384487,0.0333008363384487,0.0022825019268736435,0.275,-0.08172372856908314
honest,0.7,0.0,True,0.0031035698492955827,0.9363226749187088,0.5863226749187089,0.0002422129247827907,0.275,-0.08172372856908314
honest,0.7,1.0,False,0.35217855025691036,0.11499025090153463,0.0333008363384487,0.014872473920975363,0.275,-0.08172372856908314
honest,0.7,1.0,True,0.1388944673315693,0.2808968024756127,0.5863226749187089,0.006885589663148224,0.275,-0.08172372856908314
honest,0.9,0.0,False,0.06016688773674721,0.3833008363384487,0.0333008363384487,0.004365260488165181,0.275,-0.08172372856908314
honest,0.9,0.0,True,0.0031035698492955827,0.9363226749187088,0.5863226749187089,0.0004632296243996878,0.275,-0.08172372856908314
honest,0.9,1.0,False,0.499776029223857,0.03833008363384486,0.0333008363384487,0.04061655578432786,0.275,-0.08172372856908314
honest,0.9,1.0,True,0.39247279320493367,0.09363226749187087,0.5863226749187089,0.03303599459170922,0.275,-0.08172372856908314
