mu,observer,p_self_report,declared_correct,reader_correct,reader_error_reduction,process_accuracy,final_entropy
1,0,0.95,1,1,1.3340407095836893,0.5833333333333334,6.323910736620206e-15
1,1,0.95,1,1,0.9479444707458834,0.3333333333333333,5.289776261361075e-14
1,2,0.95,1,1,1.4800643929967785,0.4166666666666667,7.703377340361132e-12
1,3,0.95,1,1,1.4355153912826122,0.25,1.2436720770588903e-15
1,4,0.95,1,1,1.4472240224212969,0.4166666666666667,3.911705378304726e-12
1,5,0.95,1,1,1.557265769342351,0.25,9.488011384546148e-14
1,6,0.95,1,1,1.350538046470654,0.9583333333333334,9.573147607197872e-13
1,7,0.95,1,1,1.4971189555364468,0.25,1.4895169595026676e-13
1,8,0.95,1,1,1.3957316492957024,0.16666666666666666,1.2103496435885028e-13
1,9,0.95,1,1,1.3596193388365387,0.2916666666666667,7.732446893840082e-13
1,10,0.95,1,1,1.153671575976932,0.20833333333333334,4.39533014792379e-15
1,11,0.95,1,1,1.5117525465131731,0.20833333333333334,5.296664561805124e-10
1,12,0.95,1,1,1.377103922774724,0.2916666666666667,4.4107645478635535e-12
1,13,0.95,1,1,1.4315987328616742,0.125,1.0980491071279643e-15
1,14,0.95,1,1,1.2725596214707386,0.5,3.3514180990880604e-12
1,15,0.95,1,1,1.3813972371554195,0.3333333333333333,1.1430708417807316e-11
1,16,0.95,1,1,1.049346413230414,0.375,6.607374358139328e-14
1,17,0.95,1,1,1.2570955112458861,0.25,2.4435234213086913e-10
1,18,0.95,1,1,1.456210742917801,0.20833333333333334,7.60176399219484e-11
1,19,0.95,1,1,1.6288364920165055,0.16666666666666666,9.053504944116456e-12
1,20,0.95,1,1,1.2840163822863127,0.4583333333333333,6.435449856428469e-15
1,21,0.95,1,1,1.554414467539194,0.20833333333333334,6.116136407563312e-09
1,22,0.95,1,1,1.5898597325454873,0.08333333333333333,9.391384604050722e-12
1,23,0.95,1,1,1.4156095127359023,0.25,3.864709581026303e-12
1,24,0.95,1,1,1.6702473361301189,0.08333333333333333,2.8550570536513173e-13
1,25,0.95,1,1,1.6179696503316383,0.20833333333333334,1.2263518849276638e-12
1,26,0.95,1,1,1.2230926263500437,0.2916666666666667,2.3029745375918205e-13
1,27,0.95,1,1,1.425688906090521,0.2916666666666667,2.513136497557541e-10
1,28,0.95,1,1,1.6491850860830162,0.2916666666666667,4.684270612321291e-12
1,29,0.95,1,1,1.302777885869271,0.125,7.976212408356948e-14
1,30,0.95,1,1,1.160119896212953,0.08333333333333333,4.174896999365326e-12
1,31,0.95,1,1,1.144744896319634,0.16666666666666666,8.764703531979627e-14
1,32,0.95,1,1,1.1964143380146441,0.25,1.7434233706077243e-15
1,33,0.95,1,1,1.1203802622984995,0.125,1.7264134752872576e-13
1,34,0.95,1,1,1.4938962895072438,0.125,3.656711942534861e-10
1,35,0.95,0,1,1.636510867058868,0.25,2.6930765975995668e-11
1,36,0.95,1,1,1.1623080231589082,0.2916666666666667,6.652776684359404e-09
1,37,0.95,1,1,1.313121322675944,0.041666666666666664,9.907530640676322e-14
1,38,0.95,1,1,1.0814035718582586,0.08333333333333333,6.195783632959066e-14
1,39,0.95,1,1,1.527982544389844,0.2916666666666667,2.942653329122773e-10
1,40,0.95,1,1,1.5822911041219998,0.20833333333333334,1.827094738066095e-08
1,41,0.95,1,1,1.3340745552863995,0.5416666666666666,1.1659819558533002e-07
1,42,0.95,1,1,1.5397183482067796,0.16666666666666666,1.3476942499806964e-11
1,43,0.95,1,1,1.6410055110726558,0.16666666666666666,1.728757164904336e-10
1,44,0.95,1,1,1.6164209724046137,0.25,1.1089604236160982e-11
1,45,0.95,1,1,1.6206547810237142,0.375,6.342367252958863e-12
1,46,0.95,1,1,1.4647151748076743,0.5833333333333334,2.781370170991923e-14
1,47,0.95,1,1,1.6296779942383566,0.041666666666666664,7.970069737028234e-12
1,48,0.95,1,1,1.664879509429097,0.3333333333333333,2.114249534854051e-13
1,49,0.95,1,1,1.6691892393481584,0.3333333333333333,3.0136367820966017e-16
2,0,0.7999999999999999,1,1,1.1923733437197237,0.08333333333333333,8.765914212644046e-15
2,1,0.7999999999999999,1,1,1.4463812655361774,0.0,5.542939929882705e-16
2,2,0.7999999999999999,1,1,1.425816492045305,0.5,1.3638024738525377e-15
2,3,0.7999999999999999,1,1,1.5394618803263271,0.625,6.071501400966273e-14
2,4,0.7999999999999999,0,1,1.1943652425392906,0.25,6.7470572986808724e-15
2,5,0.7999999999999999,1,1,1.3569088319351503,0.20833333333333334,2.0999404204193697e-14
2,6,0.7999999999999999,1,1,1.2569688150719933,0.25,3.221153631258484e-14
2,7,0.7999999999999999,1,1,1.657303586208904,0.25,3.029939298673629e-12
2,8,0.7999999999999999,0,1,1.504371248334806,0.25,3.7654298847566847e-10
2,9,0.7999999999999999,1,1,1.213557336315259,0.4583333333333333,1.7912613051577013e-14
2,10,0.7999999999999999,1,1,1.3832904039604863,0.3333333333333333,8.02750495822161e-11
2,11,0.7999999999999999,0,1,1.6809852280542297,0.5416666666666666,2.569444775181908e-10
2,12,0.7999999999999999,1,1,1.3650045633382712,0.9166666666666666,1.8661662950090642e-12
2,13,0.7999999999999999,1,1,1.5796310273836822,0.5,3.8871963932518233e-13
2,14,0.7999999999999999,1,1,1.3007108972905166,0.375,5.280955329050853e-16
2,15,0.7999999999999999,1,1,1.6762844169618856,0.7083333333333334,8.966602861712222e-14
2,16,0.7999999999999999,0,1,0.9291101462680992,0.4583333333333333,9.518538815779095e-13
2,17,0.7999999999999999,1,1,1.5637843760295849,0.4583333333333333,9.627114218344924e-11
2,18,0.7999999999999999,1,1,1.1427081989252823,0.375,2.994822871909453e-12
2,19,0.7999999999999999,0,1,1.2241447430566585,0.08333333333333333,7.750751444712619e-16
2,20,0.7999999999999999,1,1,1.3721898570589321,0.875,4.111491441515321e-11
2,21,0.7999999999999999,0,1,1.4162456440878932,0.0,1.1401573954134708e-16
2,22,0.7999999999999999,1,1,1.0829760580749122,0.25,3.639455771473968e-12
2,23,0.7999999999999999,1,1,1.4043391002610468,0.0,7.223568608997449e-15
2,24,0.7999999999999999,1,1,1.4537459199994962,0.375,1.25343323986307e-13
2,25,0.7999999999999999,0,1,1.4983793122722822,0.7916666666666666,2.3628800777880554e-16
2,26,0.7999999999999999,1,1,1.2360913751440672,0.20833333333333334,3.7978557543050794e-14
2,27,0.7999999999999999,1,1,1.3542610316513917,0.08333333333333333,2.2589443885821822e-15
2,28,0.7999999999999999,1,1,1.3480408424642485,0.0,9.603995676744584e-13
2,29,0.7999999999999999,1,1,1.0566577148306173,0.3333333333333333,4.852926061575962e-14
2,30,0.7999999999999999,1,1,1.1105660827524415,0.5,9.15267227565291e-16
2,31,0.7999999999999999,0,1,1.4896528061278882,0.125,3.873989558232443e-13
2,32,0.7999999999999999,0,1,1.2460449998757586,0.75,2.162384807371133e-15
2,33,0.7999999999999999,1,1,1.263453330343781,0.5833333333333334,1.0161239007408549e-15
2,34,0.7999999999999999,1,1,1.6031877237513241,0.7083333333333334,7.818099105586578e-13
2,35,0.7999999999999999,0,1,1.445356698415341,0.25,7.566888987894255e-15
2,36,0.7999999999999999,1,1,1.6437453110795133,0.3333333333333333,3.361719282421695e-13
2,37,0.7999999999999999,1,1,1.3849023929352742,0.16666666666666666,6.912881490710555e-16
2,38,0.7999999999999999,1,1,1.4794123437634659,0.5,1.0374198490822738e-14
2,39,0.7999999999999999,1,1,1.1784686819533603,0.4166666666666667,2.954121847329654e-15
2,40,0.7999999999999999,1,1,1.3876189897500382,0.08333333333333333,1.9761977781792992e-15
2,41,0.7999999999999999,0,1,1.5046436729107036,0.9166666666666666,5.4409420135910385e-17
2,42,0.7999999999999999,0,1,1.3544242862052347,0.16666666666666666,4.644432986733926e-12
2,43,0.7999999999999999,1,1,1.212646811482483,0.5416666666666666,2.7868766826864703e-10
2,44,0.7999999999999999,1,1,1.567144531188284,0.625,2.3919822097028655e-11
