mu,beta,i,settled_at,n_steps,real_gain,sham_at,sham_gain
2,1.0,3,2,24,-0.04407278281928417,8,0.1984005574206129
2,1.0,4,2,24,0.4742129850989416,4,0.69016161116521
2,1.0,7,2,24,0.17387767821263633,12,0.050103523793151084
2,1.0,10,2,24,0.13288352291646865,3,0.10968316342716578
2,1.0,12,2,24,-0.01479905592784192,5,-0.14843936256808843
2,1.0,18,5,24,0.0805070898252489,3,0.08357356959294182
2,1.0,19,2,24,0.2684448219027096,19,-0.09598772066477412
2,1.0,25,3,24,0.18314601346895665,2,0.25750869175242297
2,1.0,31,3,24,0.3813693694227558,2,0.4795034969686598
2,1.0,34,2,24,-0.011694820961269725,3,-0.053815421721679746
2,1.0,37,2,24,0.408392774355983,7,0.4099673945829957
2,1.0,38,2,24,-0.056984666109919146,3,-0.08049883478970155
2,1.0,41,3,24,-0.15411990468205516,16,-0.3461013578514933
2,1.0,42,3,24,0.2940975484473608,13,0.010802359343257129
2,1.0,55,2,24,0.24333767173085952,3,0.14311532382677217
2,1.0,58,2,24,0.05228681973005167,9,0.14862215533020606
2,1.0,59,2,24,0.07690568393293962,3,0.1273349185777084
2,1.0,60,2,24,-0.19124411023429788,7,-0.35272429162960406
2,1.0,61,2,24,0.22782356535340198,6,-0.04996899377064046
2,1.0,62,2,24,0.44618558141914255,7,0.39574300547762287
2,1.0,65,5,24,-0.46643400152704007,2,-0.2734547098503879
2,1.0,66,2,24,0.2136557013336262,9,0.15839991568335232
2,1.0,67,2,24,0.20088851686953613,10,0.3423555053230195
2,1.0,70,2,24,-0.02872800247066709,11,-0.04058222207004869
2,1.0,73,2,24,0.2829168164016165,9,0.2581833877363964
2,1.0,74,2,24,1.0093418881868828,3,0.9165561962209227
2,1.0,75,4,24,0.37623944508786344,2,0.4339247081435079
2,1.0,76,3,24,0.29337108641866094,2,0.27646934818664937
2,1.0,77,2,24,0.23891595376997232,7,0.1131715612328319
2,1.0,85,2,24,0.190193135640903,11,0.020882472473376712
2,1.0,90,2,24,0.21185637421406933,17,0.14146367800328474
2,1.0,91,2,24,-0.01716853416950337,7,0.3750770700460866
2,1.0,95,4,24,0.005706731380975549,16,0.13717056765611857
2,1.0,97,2,24,-0.35498357258019086,6,-0.43125749731198426
2,1.0,99,2,24,0.22677233331366398,4,0.156913665160491
2,1.0,100,2,24,0.28856603710631956,3,0.17071539635108068
2,1.0,101,2,24,0.051165297236216656,16,-0.4724128151439937
2,1.0,104,2,24,0.2439891373693175,14,0.43960706823220763
2,1.0,105,2,24,0.16150426553614672,7,0.25129696126573875
2,1.0,107,2,24,-0.11258401297421972,14,0.08801099544766289
2,1.0,108,2,24,0.16247786411445553,11,-0.13873282355328675
2,1.0,109,6,24,0.30135633551590646,3,0.3506267964540516
2,1.0,110,2,24,0.09280638024071686,3,0.0702397342606782
2,1.0,111,2,24,0.18175795303388753,3,0.2340954120493739
2,1.0,112,2,24,-0.006962215718085751,5,-0.03615209805596975
2,1.0,115,5,24,0.3668722271055437,2,0.5125432720430766
2,1.0,117,6,24,0.19908640224756113,4,0.2446952295998852
2,0.25,0,7,24,-0.07475923942732665,10,-0.23845049749917813
2,0.25,4,10,24,0.6163546292506845,14,0.480530395803596
2,0.25,5,5,24,-0.031144363718543566,2,-0.041785206181908396
2,0.25,6,11,24,0.1279439610521862,2,-0.10589408091000907
2,0.25,7,9,24,0.22033194867588302,15,0.1169946117306917
2,0.25,9,11,24,0.04161320775056576,2,0.0346997685854058
2,0.25,10,4,24,-0.2345070557207256,3,-0.19599280267738672
2,0.25,11,4,24,0.3807373319887568,7,0.3597822360833395
2,0.25,12,6,24,0.12422254603663463,7,0.0634748556024125
2,0.25,13,4,24,-0.13590410922527396,2,-0.08228822025645366
2,0.25,14,17,24,0.11427237881557306,15,0.08620954981250883
2,0.25,17,4,24,0.22460735302871615,2,0.3214904896528288
2,0.25,18,7,24,-0.0033949056687705426,2,0.08788375822253269
2,0.25,19,7,24,0.065346792134658,3,0.07135880769604896
2,0.25,20,15,24,-0.04624840003481667,3,-0.0958005033397189
2,0.25,23,4,24,-0.17332358315490093,7,-0.059854746831541794
2,0.25,24,4,24,0.11136192167469017,9,0.1980297576587473
2,0.25,26,16,24,0.01092531526032614,2,-0.046658374635470956
2,0.25,27,2,24,-0.32902519848016976,15,0.306537554181874
2,0.25,28,14,24,0.13005878939121795,4,0.033238317975440745
2,0.25,31,18,24,0.3928616853904173,4,0.1667475145559716
2,0.25,32,7,24,0.036939636949950616,2,0.08897986877115871
