artifact,true_depth,extent,reader_depth,observer,levels_seen,density,true_density,goal_correct,process_recovery
readymade,3,2,1,0,1.0,0.5,1.5,0,0.010094858736842571
readymade,3,2,2,1,2.0,1.0,1.5,1,0.3026222698030996
readymade,3,2,3,2,3.0,1.5,1.5,0,0.1041046516737747
readymade,3,2,1,3,1.0,0.5,1.5,1,-0.13483644523996996
readymade,3,2,2,4,2.0,1.0,1.5,1,-0.06139376870479807
readymade,3,2,3,5,3.0,1.5,1.5,1,0.006095643208158252
readymade,3,2,3,6,3.0,1.5,1.5,1,-0.010166574718361243
readymade,3,2,2,7,2.0,1.0,1.5,1,-0.5488102072669898
readymade,3,2,1,8,1.0,0.5,1.5,1,0.036876803948313386
readymade,3,2,1,9,1.0,0.5,1.5,1,0.14117653442635114
readymade,3,2,1,10,1.0,0.5,1.5,1,0.11263929756292179
readymade,3,2,2,11,2.0,1.0,1.5,1,0.020040389297741434
readymade,3,2,1,12,1.0,0.5,1.5,1,0.3446008189101264
readymade,3,2,2,13,2.0,1.0,1.5,1,0.1311969078168267
readymade,3,2,1,14,1.0,0.5,1.5,1,-0.05607254522125893
readymade,3,2,1,15,1.0,0.5,1.5,1,0.046658687150086475
readymade,3,2,3,16,3.0,1.5,1.5,1,0.21068698183709045
readymade,3,2,3,17,3.0,1.5,1.5,1,0.3466236014135573
readymade,3,2,2,18,2.0,1.0,1.5,1,-0.560882986415155
readymade,3,2,2,19,2.0,1.0,1.5,1,0.16995956943776824
readymade,3,2,1,20,1.0,0.5,1.5,1,0.35441686463440836
readymade,3,2,1,21,1.0,0.5,1.5,1,-0.13727756334453556
readymade,3,2,1,22,1.0,0.5,1.5,1,0.07018274439152239
readymade,3,2,1,23,1.0,0.5,1.5,1,0.20888986776627316
readymade,3,2,1,24,1.0,0.5,1.5,1,0.05501235728899423
readymade,3,2,2,25,2.0,1.0,1.5,1,0.3137494063770787
readymade,3,2,3,26,3.0,1.5,1.5,1,0.0004953648402075128
readymade,3,2,2,27,2.0,1.0,1.5,1,0.22789647796487178
readymade,3,2,3,28,3.0,1.5,1.5,1,0.05895624029765156
readymade,3,2,1,29,1.0,0.5,1.5,1,-0.06089668491131994
readymade,3,2,2,30,2.0,1.0,1.5,1,0.011274784735835874
readymade,3,2,3,31,3.0,1.5,1.5,1,0.07824042938569087
readymade,3,2,3,32,3.0,1.5,1.5,1,0.04655746677840322
readymade,3,2,3,33,3.0,1.5,1.5,1,-0.5141615207979318
readymade,3,2,1,34,1.0,0.5,1.5,1,-0.1635100297778851
readymade,3,2,1,35,1.0,0.5,1.5,1,0.04950113499579456
readymade,3,2,2,36,2.0,1.0,1.5,1,0.3388760045350483
readymade,3,2,2,37,2.0,1.0,1.5,1,-0.07462279603271238
readymade,3,2,3,38,3.0,1.5,1.5,1,-0.0009538659221470791
readymade,3,2,2,39,2.0,1.0,1.5,1,-0.05556368460334782
readymade,3,2,2,40,2.0,1.0,1.5,1,0.3135754144964664
readymade,3,2,1,41,1.0,0.5,1.5,1,0.09028827648626336
readymade,3,2,1,42,1.0,0.5,1.5,1,0.00930328720918161
readymade,3,2,3,43,3.0,1.5,1.5,1,-0.12571103008734785
readymade,3,2,2,44,2.0,1.0,1.5,0,-0.09330271262564982
readymade,3,2,3,45,3.0,1.5,1.5,1,0.05359628792350368
readymade,3,2,2,46,2.0,1.0,1.5,1,0.15541845850832847
readymade,3,2,1,47,1.0,0.5,1.5,1,0.08912212564497923
readymade,3,2,1,48,1.0,0.5,1.5,1,0.17962096337393763
readymade,3,2,1,49,1.0,0.5,1.5,1,0.05346916495056431
readymade,3,2,3,50,3.0,1.5,1.5,1,-0.07239923137212112
readymade,3,2,2,51,2.0,1.0,1.5,1,0.061195896667928684
readymade,3,2,1,52,1.0,0.5,1.5,1,-0.009056957250811015
readymade,3,2,2,53,2.0,1.0,1.5,0,-0.13060881297532467
readymade,3,2,2,54,2.0,1.0,1.5,1,0.0897448710605071
readymade,3,2,3,55,3.0,1.5,1.5,1,0.04989531327653873
readymade,3,2,2,56,2.0,1.0,1.5,1,0.3398459121618642
readymade,3,2,2,57,2.0,1.0,1.5,1,0.0545579395159288
readymade,3,2,1,58,1.0,0.5,1.5,1,0.1084480739169098
readymade,3,2,3,59,3.0,1.5,1.5,1,0.008593722855254171
readymade,3,2,1,60,1.0,0.5,1.5,1,-0.06777598372022209
readymade,3,2,2,61,2.0,1.0,1.5,1,0.34265715999675916
readymade,3,2,3,62,3.0,1.5,1.5,1,0.05041258788488068
readymade,3,2,2,63,2.0,1.0,1.5,1,0.052984764094727854
readymade,3,2,2,64,2.0,1.0,1.5,1,0.04240309436196932
readymade,3,2,3,65,3.0,1.5,1.5,1,0.05465552374311011
readymade,3,2,2,66,2.0,1.0,1.5,1,-0.12204734264705497
readymade,3,2,1,67,1.0,0.5,1.5,1,0.3378926276792673
readymade,3,2,1,68,1.0,0.5,1.5,1,0.0821337360358807
readymade,3,2,1,69,1.0,0.5,1.5,1,0.05564399497830763
readymade,3,2,1,70,1.0,0.5,1.5,1,0.026244452572290244
readymade,3,2,1,71,1.0,0.5,1.5,1,-0.5335687999031571
readymade,3,2,1,72,1.0,0.5,1.5,1,0.04576173741071132
readymade,3,2,2,73,2.0,1.0,1.5,1,-0.05517707275790973
readymade,3,2,1,74,1.0,0.5,1.5,1,0.09859291918110613
readymade,3,2,2,75,2.0,1.0,1.5,1,-0.08602027108517585
readymade,3,2,3,76,3.0,1.5,1.5,1,-0.05446827445524649
readymade,3,2,3,77,3.0,1.5,1.5,1,0.0062306159908696035
readymade,3,2,1,78,1.0,0.5,1.5,1,-0.1433224741775001
readymade,3,2,2,79,2.0,1.0,1.5,1,0.1432836499470891
sketch,2,6,1,0,1.0,0.16666666666666666,0.3333333333333333,1,0.18521483073140366
sketch,2,6,2,1,2.0,0.3333333333333333,0.3333333333333333,1,0.3573298018484383
sketch,2,6,3,2,2.0,0.3333333333333333,0.3333333333333333,1,-0.1808044028210143
sketch,2,6,1,3,1.0,0.16666666666666666,0.3333333333333333,1,0.07487582648408164
sketch,2,6,2,4,2.0,0.3333333333333333,0.3333333333333333,1,0.11705538373531832
sketch,2,6,3,5,2.0,0.3333333333333333,0.3333333333333333,1,-0.019030098364124948
sketch,2,6,3,6,2.0,0.3333333333333333,0.3333333333333333,1,0.17750871343139973
sketch,2,6,2,7,2.0,0.3333333333333333,0.3333333333333333,1,0.4776430823343115
sketch,2,6,1,8,1.0,0.16666666666666666,0.3333333333333333,1,0.008536167066254263
sketch,2,6,1,9,1.0,0.16666666666666666,0.3333333333333333,1,-0.0015424973326889635
sketch,2,6,1,10,1.0,0.16666666666666666,0.3333333333333333,1,-0.2553731301749942
sketch,2,6,2,11,2.0,0.3333333333333333,0.3333333333333333,1,0.12213020202219615
sketch,2,6,1,12,1.0,0.16666666666666666,0.3333333333333333,1,0.4797454213242831
sketch,2,6,2,13,2.0,0.3333333333333333,0.3333333333333333,1,0.11848481439203917
sketch,2,6,1,14,1.0,0.16666666666666666,0.3333333333333333,1,-0.3949978285243845
sketch,2,6,1,15,1.0,0.16666666666666666,0.3333333333333333,1,-0.01811897504196036
sketch,2,6,3,16,2.0,0.3333333333333333,0.3333333333333333,1,0.29441269846284923
sketch,2,6,3,17,2.0,0.3333333333333333,0.3333333333333333,1,0.12507628470771004
sketch,2,6,2,18,2.0,0.3333333333333333,0.3333333333333333,1,0.458944849481263
sketch,2,6,2,19,2.0,0.3333333333333333,0.3333333333333333,1,0.34104663060878226
sketch,2,6,1,20,1.0,0.16666666666666666,0.3333333333333333,1,0.5231348875051338
sketch,2,6,1,21,1.0,0.16666666666666666,0.3333333333333333,1,0.19211864242854104
sketch,2,6,1,22,1.0,0.16666666666666666,0.3333333333333333,1,0.06835892968056112
sketch,2,6,1,23,1.0,0.16666666666666666,0.3333333333333333,1,-2.3720540207827767e-05
sketch,2,6,1,24,1.0,0.16666666666666666,0.3333333333333333,1,0.09330088211334298
sketch,2,6,2,25,2.0,0.3333333333333333,0.3333333333333333,1,-0.012913772064195195
sketch,2,6,3,26,2.0,0.3333333333333333,0.3333333333333333,1,-0.07179310494756219
sketch,2,6,2,27,2.0,0.3333333333333333,0.3333333333333333,1,0.4057797582189805
sketch,2,6,3,28,2.0,0.3333333333333333,0.3333333333333333,1,0.21273836055131246
sketch,2,6,1,29,1.0,0.16666666666666666,0.3333333333333333,1,0.1588501707533332
sketch,2,6,2,30,2.0,0.3333333333333333,0.3333333333333333,1,0.06502595959117885
sketch,2,6,3,31,2.0,0.3333333333333333,0.3333333333333333,1,0.2365173055972951
sketch,2,6,3,32,2.0,0.3333333333333333,0.3333333333333333,1,0.15728474195110564
sketch,2,6,3,33,2.0,0.3333333333333333,0.3333333333333333,1,0.4731124104869401
sketch,2,6,1,34,1.0,0.16666666666666666,0.3333333333333333,1,-0.0003689171863996421
sketch,2,6,1,35,1.0,0.16666666666666666,0.3333333333333333,1,0.3085653518418954
sketch,2,6,2,36,2.0,0.3333333333333333,0.3333333333333333,1,0.4239233215477759
sketch,2,6,2,37,2.0,0.3333333333333333,0.3333333333333333,1,-0.02241852953150314
sketch,2,6,3,38,2.0,0.3333333333333333,0.3333333333333333,1,-0.05599351722801149
sketch,2,6,2,39,2.0,0.3333333333333333,0.3333333333333333,1,0.04501357888278412
sketch,2,6,2,40,2.0,0.3333333333333333,0.3333333333333333,1,0.325743030735971
sketch,2,6,1,41,1.0,0.16666666666666666,0.3333333333333333,1,0.14102824883949827
sketch,2,6,1,42,1.0,0.16666666666666666,0.3333333333333333,1,0.12129297733178257
sketch,2,6,3,43,2.0,0.3333333333333333,0.3333333333333333,1,-0.26894434480868146
sketch,2,6,2,44,2.0,0.3333333333333333,0.3333333333333333,1,0.14459421087289304
sketch,2,6,3,45,2.0,0.3333333333333333,0.3333333333333333,1,0.22517295285465444
sketch,2,6,2,46,2.0,0.3333333333333333,0.3333333333333333,1,0.06413348819729636
sketch,2,6,1,47,1.0,0.16666666666666666,0.3333333333333333,1,-0.04940245245935371
sketch,2,6,1,48,1.0,0.16666666666666666,0.3333333333333333,1,0.37956298931983135
sketch,2,6,1,49,1.0,0.16666666666666666,0.3333333333333333,1,0.25742737311665564
sketch,2,6,3,50,2.0,0.3333333333333333,0.3333333333333333,1,0.07525522478267765
sketch,2,6,2,51,2.0,0.3333333333333333,0.3333333333333333,1,0.21186214289715122
sketch,2,6,1,52,1.0,0.16666666666666666,0.3333333333333333,1,0.2839917953155713
sketch,2,6,2,53,2.0,0.3333333333333333,0.3333333333333333,1,0.14173909367181503
sketch,2,6,2,54,2.0,0.3333333333333333,0.3333333333333333,1,0.04008809273437541
sketch,2,6,3,55,2.0,0.3333333333333333,0.3333333333333333,1,-0.10189303542620776
sketch,2,6,2,56,2.0,0.3333333333333333,0.3333333333333333,1,0.32933384595972726
sketch,2,6,2,57,2.0,0.3333333333333333,0.3333333333333333,1,0.04817154719219974
sketch,2,6,1,58,1.0,0.16666666666666666,0.3333333333333333,1,0.018596212534646828
sketch,2,6,3,59,2.0,0.3333333333333333,0.3333333333333333,1,0.26281856316039676
sketch,2,6,1,60,1.0,0.16666666666666666,0.3333333333333333,1,-0.08101411927300362
sketch,2,6,2,61,2.0,0.3333333333333333,0.3333333333333333,1,0.13508284963366246
sketch,2,6,3,62,2.0,0.3333333333333333,0.3333333333333333,1,0.20885064762231353
sketch,2,6,2,63,2.0,0.3333333333333333,0.3333333333333333,1,0.013522945373675377
sketch,2,6,2,64,2.0,0.3333333333333333,0.3333333333333333,1,-0.08777737257759055
sketch,2,6,3,65,2.0,0.3333333333333333,0.3333333333333333,1,0.10654072388306646
sketch,2,6,2,66,2.0,0.3333333333333333,0.3333333333333333,1,0.10228253781981489
sketch,2,6,1,67,1.0,0.16666666666666666,0.3333333333333333,1,0.1310267412891828
sketch,2,6,1,68,1.0,0.16666666666666666,0.3333333333333333,1,0.38873604815711205
sketch,2,6,1,69,1.0,0.16666666666666666,0.3333333333333333,1,0.21701506574201912
sketch,2,6,1,70,1.0,0.16666666666666666,0.3333333333333333,1,-0.3008105850779548
sketch,2,6,1,71,1.0,0.16666666666666666,0.3333333333333333,1,0.45908314343380563
sketch,2,6,1,72,1.0,0.16666666666666666,0.3333333333333333,1,0.20720316223095692
sketch,2,6,2,73,2.0,0.3333333333333333,0.3333333333333333,1,0.13783132101680562
sketch,2,6,1,74,1.0,0.16666666666666666,0.3333333333333333,1,0.060154588729438574
sketch,2,6,2,75,2.0,0.3333333333333333,0.3333333333333333,1,0.46385178541557726
sketch,2,6,3,76,2.0,0.3333333333333333,0.3333333333333333,1,-0.02818877088814009
sketch,2,6,3,77,2.0,0.3333333333333333,0.3333333333333333,1,0.22583599633815732
sketch,2,6,1,78,1.0,0.16666666666666666,0.3333333333333333,1,-0.03326138960512415
sketch,2,6,2,79,2.0,0.3333333333333333,0.3333333333333333,1,-0.14766595019403805
ordinary_work,2,24,1,0,1.0,0.041666666666666664,0.08333333333333333,1,0.029581280663016685
ordinary_work,2,24,2,1,2.0,0.08333333333333333,0.08333333333333333,1,0.3506437855583273
ordinary_work,2,24,3,2,2.0,0.08333333333333333,0.08333333333333333,1,0.26263603379099965
ordinary_work,2,24,1,3,1.0,0.041666666666666664,0.08333333333333333,1,0.32375563507588745
ordinary_work,2,24,2,4,2.0,0.08333333333333333,0.08333333333333333,1,0.04137895247299017
ordinary_work,2,24,3,5,2.0,0.08333333333333333,0.08333333333333333,1,0.22834502413936608
ordinary_work,2,24,3,6,2.0,0.08333333333333333,0.08333333333333333,1,0.16509522422478407
ordinary_work,2,24,2,7,2.0,0.08333333333333333,0.08333333333333333,1,0.2047197834966752
ordinary_work,2,24,1,8,1.0,0.041666666666666664,0.08333333333333333,1,0.0019871840698924004
ordinary_work,2,24,1,9,1.0,0.041666666666666664,0.08333333333333333,1,0.02683969485285309
ordinary_work,2,24,1,10,1.0,0.041666666666666664,0.08333333333333333,1,0.06626855750183491
ordinary_work,2,24,2,11,2.0,0.08333333333333333,0.08333333333333333,1,-0.19500856088867646
ordinary_work,2,24,1,12,1.0,0.041666666666666664,0.08333333333333333,1,0.47956076934013436
ordinary_work,2,24,2,13,2.0,0.08333333333333333,0.08333333333333333,1,0.4549749231743483
ordinary_work,2,24,1,14,1.0,0.041666666666666664,0.08333333333333333,1,0.3097462176465786
ordinary_work,2,24,1,15,1.0,0.041666666666666664,0.08333333333333333,1,0.4041410653606382
ordinary_work,2,24,3,16,2.0,0.08333333333333333,0.08333333333333333,1,0.4131149185281796
ordinary_work,2,24,3,17,2.0,0.08333333333333333,0.08333333333333333,1,0.3464497434807061
ordinary_work,2,24,2,18,2.0,0.08333333333333333,0.08333333333333333,1,0.5217872846264212
ordinary_work,2,24,2,19,2.0,0.08333333333333333,0.08333333333333333,1,0.30445614732660076
ordinary_work,2,24,1,20,1.0,0.041666666666666664,0.08333333333333333,1,0.5206469011187511
ordinary_work,2,24,1,21,1.0,0.041666666666666664,0.08333333333333333,1,0.1840388244558968
ordinary_work,2,24,1,22,1.0,0.041666666666666664,0.08333333333333333,1,0.22677937553524474
ordinary_work,2,24,1,23,1.0,0.041666666666666664,0.08333333333333333,1,0.16586734250754165
ordinary_work,2,24,1,24,1.0,0.041666666666666664,0.08333333333333333,1,0.11895750300409702
ordinary_work,2,24,2,25,2.0,0.08333333333333333,0.08333333333333333,1,-0.0142866017511587
ordinary_work,2,24,3,26,2.0,0.08333333333333333,0.08333333333333333,1,0.11410358415189736
ordinary_work,2,24,2,27,2.0,0.08333333333333333,0.08333333333333333,1,0.3571640138803849
ordinary_work,2,24,3,28,2.0,0.08333333333333333,0.08333333333333333,1,0.265535274446254
ordinary_work,2,24,1,29,1.0,0.041666666666666664,0.08333333333333333,1,0.07374238613312922
ordinary_work,2,24,2,30,2.0,0.08333333333333333,0.08333333333333333,1,0.07759709638385281
ordinary_work,2,24,3,31,2.0,0.08333333333333333,0.08333333333333333,1,0.12216854993507598
ordinary_work,2,24,3,32,2.0,0.08333333333333333,0.08333333333333333,1,-0.13659000734273752
ordinary_work,2,24,3,33,2.0,0.08333333333333333,0.08333333333333333,1,0.18978873225638537
ordinary_work,2,24,1,34,1.0,0.041666666666666664,0.08333333333333333,1,0.3416924851807672
ordinary_work,2,24,1,35,1.0,0.041666666666666664,0.08333333333333333,1,0.30255939278910393
ordinary_work,2,24,2,36,2.0,0.08333333333333333,0.08333333333333333,1,0.24899340895403022
ordinary_work,2,24,2,37,2.0,0.08333333333333333,0.08333333333333333,1,-0.021910404126748384
ordinary_work,2,24,3,38,2.0,0.08333333333333333,0.08333333333333333,1,0.07848360770061968
ordinary_work,2,24,2,39,2.0,0.08333333333333333,0.08333333333333333,1,0.027944408956106948
ordinary_work,2,24,2,40,2.0,0.08333333333333333,0.08333333333333333,1,0.3944595356580768
ordinary_work,2,24,1,41,1.0,0.041666666666666664,0.08333333333333333,1,0.24902300966903623
ordinary_work,2,24,1,42,1.0,0.041666666666666664,0.08333333333333333,1,0.21226858930216586
ordinary_work,2,24,3,43,2.0,0.08333333333333333,0.08333333333333333,1,0.2223542340487754
ordinary_work,2,24,2,44,2.0,0.08333333333333333,0.08333333333333333,1,0.22659221355935122
ordinary_work,2,24,3,45,2.0,0.08333333333333333,0.08333333333333333,1,0.13284063396457158
ordinary_work,2,24,2,46,2.0,0.08333333333333333,0.08333333333333333,1,0.20266184475924542
ordinary_work,2,24,1,47,1.0,0.041666666666666664,0.08333333333333333,1,-0.02632446878868988
ordinary_work,2,24,1,48,1.0,0.041666666666666664,0.08333333333333333,1,0.11494690097350757
ordinary_work,2,24,1,49,1.0,0.041666666666666664,0.08333333333333333,1,0.269753794396437
ordinary_work,2,24,3,50,2.0,0.08333333333333333,0.08333333333333333,1,-0.15084568080868732
ordinary_work,2,24,2,51,2.0,0.08333333333333333,0.08333333333333333,1,0.24654518767869948
ordinary_work,2,24,1,52,1.0,0.041666666666666664,0.08333333333333333,1,-0.26517010170336186
ordinary_work,2,24,2,53,2.0,0.08333333333333333,0.08333333333333333,1,0.1518651560907225
