arm,observer,salience,social,depth,peak,tail,collapse,captured,sustained,recovered,single_stage_engagement
real_work,0,0.7,0.5,3,0.6,6.148516916839697e-05,0.5999385148308316,1,0,0.0967422647020919,0.0
real_work,1,0.7,0.5,3,0.6,0.09981174204832594,0.5001882579516741,1,0,0.21263858319937468,0.08333333333333333
real_work,2,0.7,0.5,3,0.6,0.6,0.0,1,1,0.35975415100692576,0.3333333333333333
real_work,3,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,4,0.7,0.5,3,0.6,0.0004770772241064635,0.5995229227758935,1,0,0.12221532204394636,0.0
real_work,5,0.7,0.5,3,0.6,0.000437776146998132,0.5995622238530018,1,0,0.12104337225734363,0.0
real_work,6,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,7,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.08333333333333333
real_work,8,0.7,0.5,3,0.6,0.007832068350698624,0.5921679316493014,1,0,0.16538909829975723,0.4166666666666667
real_work,9,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,10,0.7,0.5,3,0.6,2.899293173507142e-05,0.5999710070682649,1,0,0.08863229500422798,0.0
real_work,11,0.7,0.5,3,0.6,9.976132726955722e-05,0.5999002386727305,1,0,0.10230536892192821,0.0
real_work,12,0.7,0.5,3,0.6,0.003466865878168914,0.5965331341218311,1,0,0.15181834564623986,0.3333333333333333
real_work,13,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,14,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,15,0.7,0.5,3,0.6,0.00301758203722375,0.5969824179627762,1,0,0.14958742774092015,0.0
real_work,16,0.7,0.5,3,0.6,0.08033946704270375,0.5196605329572962,1,0,0.20833907221951042,0.5
real_work,17,0.7,0.5,3,0.6,0.004773467873301192,0.5952265321266987,1,0,0.15704854799821244,0.25
real_work,18,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,19,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,20,0.7,0.5,3,0.6,0.3128699077551237,0.2871300922448763,1,1,0.23606091539471197,0.3333333333333333
real_work,21,0.7,0.5,3,0.6,9.180490365266232e-06,0.5999908195096347,1,0,0.07741127577499518,0.08333333333333333
real_work,22,0.7,0.5,3,0.6,0.000999747470670331,0.5990002525293296,1,0,0.13268267586222704,0.4166666666666667
real_work,23,0.7,0.5,3,0.6,0.00014948056100719056,0.5998505194389928,1,0,0.10716527625124206,0.0
real_work,24,0.7,0.5,3,0.6,5.18796165102629e-06,0.5999948120383489,1,0,0.07234195210635685,0.0
real_work,25,0.7,0.5,3,0.6,0.6,0.0,1,1,0.41986511142269967,0.16666666666666666
real_work,26,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,27,0.7,0.5,3,0.6,0.0001606582458379747,0.599839341754162,1,0,0.10805250552796708,0.0
real_work,28,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,29,0.7,0.5,3,0.6,1.1298113239746304e-07,0.5999998870188675,1,0,0.04562921615332649,0.0
real_work,30,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.25
real_work,31,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.08333333333333333
real_work,32,0.7,0.5,3,0.6,1.1617867337514084e-05,0.5999883821326625,1,0,0.07959688555039834,0.08333333333333333
real_work,33,0.7,0.5,3,0.6,4.0307699490990914e-07,0.5999995969230051,1,0,0.053239126759901945,0.0
real_work,34,0.7,0.5,3,0.6,2.6200872777017412e-05,0.5999737991272229,1,0,0.08758786750090608,0.0
real_work,35,0.7,0.5,3,0.6,0.00016371527459965968,0.5998362847254003,1,0,0.10828544947504404,0.0
real_work,36,0.7,0.5,3,0.6,1.374253281491165e-06,0.5999986257467185,1,0,0.06171980244946429,0.0
real_work,37,0.7,0.5,3,0.6,7.500085754187498e-12,0.5999999999924999,1,0,0.013957955176477688,0.0
real_work,38,0.7,0.5,3,0.6,0.00015834146717838871,0.5998416585328216,1,0,0.10787328914431282,0.0
real_work,39,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,40,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,41,0.7,0.5,3,0.6,2.178213866830351e-06,0.5999978217861331,1,0,0.06522426547611859,0.0
real_work,42,0.7,0.5,3,0.6,1.0131554094284141e-09,0.5999999989868445,1,0,0.025609431260954052,0.0
real_work,43,0.7,0.5,3,0.6,6.971589851949016e-07,0.5999993028410148,1,0,0.05688006783181687,0.0
real_work,44,0.7,0.5,3,0.6,0.6,0.0,1,1,0.2637104721807513,0.25
real_work,45,0.7,0.5,3,0.6,0.0010461421698886864,0.5989538578301112,1,0,0.13334680064939008,0.5
real_work,46,0.7,0.5,3,0.6,3.342871089772882e-06,0.5999966571289103,1,0,0.06865086212672078,0.0
real_work,47,0.7,0.5,3,0.6,0.29251485366806695,0.307485146331933,1,1,0.23464529815335555,0.0
real_work,48,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,49,0.7,0.5,3,0.6,5.152309812876418e-08,0.5999999484769019,1,0,0.041467871957625135,0.0
real_work,50,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.08333333333333333
real_work,51,0.7,0.5,3,0.6,3.2681300774245793e-06,0.5999967318699225,1,0,0.06846581566434629,0.0
real_work,52,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,53,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,54,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.08333333333333333
real_work,55,0.7,0.5,3,0.6,0.003503090050557789,0.5964969099494422,1,0,0.15198637127256065,0.0
real_work,56,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.08333333333333333
real_work,57,0.7,0.5,3,0.6,5.157255362637193e-05,0.5999484274463736,1,0,0.0947885418010721,0.08333333333333333
real_work,58,0.7,0.5,3,0.6,0.00033368565736032396,0.5996663143426396,1,0,0.11740254257394955,0.08333333333333333
real_work,59,0.7,0.5,3,0.6,3.70792120170618e-09,0.5999999962920788,1,0,0.030043346181601427,0.16666666666666666
real_work,60,0.7,0.5,3,0.6,1.3976253377771268e-06,0.5999986023746622,1,0,0.06184490881205518,0.08333333333333333
real_work,61,0.7,0.5,3,0.6,2.718191091012705e-21,0.6,1,0,0.0009281975509654039,0.08333333333333333
real_work,62,0.7,0.5,3,0.6,1.0929926608924212e-06,0.599998907007339,1,0,0.060044614098971216,0.0
real_work,63,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,64,0.7,0.5,3,0.6,7.340735560617544e-11,0.5999999999265926,1,0,0.018518121190640224,0.0
real_work,65,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,66,0.7,0.5,3,0.6,0.3204059697400675,0.27959403025993246,1,1,0.23656286543827787,0.16666666666666666
real_work,67,0.7,0.5,3,0.6,1.9901931737985176e-06,0.5999980098068262,1,0,0.06452293288403932,0.0
real_work,68,0.7,0.5,3,0.6,1.0282658368529206e-06,0.5999989717341632,1,0,0.0596053754245649,0.08333333333333333
real_work,69,0.7,0.5,3,0.6,9.02009886906031e-05,0.5999097990113094,1,0,0.10112486498901574,0.0
real_work,70,0.7,0.5,3,0.6,5.2610755672400285e-11,0.5999999999473892,1,0,0.017770061995426856,0.08333333333333333
real_work,71,0.7,0.5,3,0.6,2.301855890103149e-07,0.5999997698144109,1,0,0.04974758133511803,0.08333333333333333
real_work,72,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
