reader,observer,avoided,correct,final_entropy,engaged_fraction,cum_deep,posterior
pursuit_only,0,3,0,0.9415545613931975,0.0,8,"[0.06713844176652865, 0.2344877860159656, 0.6524373520729728, 0.04593642014453298]"
pursuit_only,1,0,0,0.5716431667938611,0.0,8,"[0.023336134874902062, 0.11324017126183189, 0.024237121965026323, 0.8391865718982396]"
pursuit_only,2,0,0,0.9884718993662334,0.0,8,"[0.06839739255148845, 0.12090913202695498, 0.144128521589532, 0.6665649538320246]"
pursuit_only,3,0,0,0.8034264243763625,0.08333333333333333,9,"[0.022549187033340065, 0.2468594044089908, 0.6946675505472648, 0.035923858010404285]"
pursuit_only,4,1,0,0.38904934070791986,0.0,8,"[0.046656399902637535, 0.022005346285378473, 0.019795300158658685, 0.9115429536533253]"
pursuit_only,5,2,0,1.0157614163061814,0.0,8,"[0.6454234330880109, 0.1803518698233259, 0.09623221718719924, 0.07799247990146416]"
pursuit_only,6,0,0,1.1971110531468263,0.0,8,"[0.06481305866596244, 0.23124736308886537, 0.21601933510490828, 0.48792024314026394]"
pursuit_only,7,3,0,1.185290669501868,0.0,8,"[0.11244751878930978, 0.36645262412136936, 0.43595311157545225, 0.08514674551386867]"
pursuit_only,8,0,0,0.72664465526982,0.0,8,"[0.03811236443248567, 0.13771995331228365, 0.7808687597850971, 0.04329892247013349]"
pursuit_only,9,3,0,0.08857172384238056,0.0,8,"[0.9860282802781503, 0.0033126210996850098, 0.005076896100871749, 0.005582202521292967]"
pursuit_only,10,0,0,1.0097664516738363,0.0,8,"[0.07720365032775765, 0.6322527646921279, 0.21821415834631644, 0.07232942663379799]"
pursuit_only,11,2,0,0.6857711418047047,0.0,8,"[0.8058184378172947, 0.08567668651646854, 0.02647476287447985, 0.08203011279175672]"
pursuit_only,12,1,0,1.0651707302837568,0.0,8,"[0.10005405584428398, 0.06340734072372015, 0.25053033481752685, 0.5860082686144691]"
pursuit_only,13,2,0,1.2385635852369812,0.0,8,"[0.22237119925362545, 0.49023687241463976, 0.12373894884775208, 0.1636529794839826]"
pursuit_only,14,1,0,0.34531474891692815,0.0,8,"[0.017276621188309905, 0.01614165958185719, 0.0429576882546045, 0.9236240309752284]"
pursuit_only,15,2,0,0.029930120799188054,0.0,8,"[0.0017415017062207103, 0.9960524799781644, 0.0007804457971391283, 0.0014255725184757337]"
pursuit_only,16,2,0,0.9825079553652997,0.0,8,"[0.6487953372232873, 0.20402527851914404, 0.051858589975933865, 0.09532079428163479]"
pursuit_only,17,1,0,0.9024883636057377,0.0,8,"[0.7114317625472513, 0.06673069776275412, 0.08095811414856076, 0.14087942554143376]"
pursuit_only,18,0,0,0.041074692019460436,0.0,8,"[0.001595649613207952, 0.001819225737889807, 0.9943428100154716, 0.0022423146334307393]"
pursuit_only,19,1,0,0.19299546464412703,0.0,8,"[0.014544093656965178, 0.008368801922015359, 0.012934780745237129, 0.9641523236757822]"
pursuit_only,20,1,0,0.3482555564301639,0.0,8,"[0.025562488881094646, 0.015838854107525925, 0.92416821362255, 0.0344304433888295]"
pursuit_only,21,1,0,0.24202347901032784,0.0,8,"[0.9502395413793734, 0.006915360867538875, 0.010768502954200738, 0.03207659479888701]"
pursuit_only,22,2,0,1.100862716306208,0.0,8,"[0.5354185911891782, 0.29652423996073024, 0.05492850006932181, 0.11312866878076958]"
pursuit_only,23,1,0,0.1412891963050184,0.0,8,"[0.015587241186703226, 0.004828065014055229, 0.004828968872091271, 0.9747557249271503]"
pursuit_only,24,3,0,0.5318203141896832,0.0,8,"[0.04647713394187007, 0.8668112811393335, 0.06033827483461695, 0.02637331008417957]"
pursuit_only,25,0,0,1.1674524392168966,0.0,8,"[0.1071123305480713, 0.5530472242439544, 0.15273067826531622, 0.18710976694265802]"
pursuit_only,26,2,0,0.4330850010946714,0.0,8,"[0.8989172189433088, 0.03552796885909524, 0.019721873489777463, 0.04583293870781856]"
pursuit_only,27,3,0,0.8336296669944542,0.0,8,"[0.08031575214705543, 0.7469908055240599, 0.11515959938345322, 0.05753384294543133]"
pursuit_only,28,0,0,0.021958194248342635,0.0,8,"[0.0006528998946837778, 0.0011486451881877694, 0.0009551110958155981, 0.997243343821313]"
pursuit_only,29,3,0,0.7582300949408232,0.16666666666666666,10,"[0.04034158399004642, 0.18472922974456174, 0.747330878318016, 0.027598307947375684]"
pursuit_only,30,3,0,0.05628841023019139,0.0,8,"[0.002890093148872683, 0.0031316488233166647, 0.9918299374552823, 0.002148320572528436]"
pursuit_only,31,2,0,0.35569787559245847,0.0,8,"[0.920672846986621, 0.022583370521230876, 0.0135496858776451, 0.04319409661450281]"
pursuit_only,32,3,0,0.059661433297928224,0.0,8,"[0.003056052889213041, 0.001956657455993033, 0.9912210517832011, 0.0037662378715927667]"
pursuit_only,33,2,0,1.2747748364774605,0.0,8,"[0.44181755174084647, 0.16393256629296593, 0.13074445278732286, 0.2635054291788649]"
pursuit_only,34,0,0,1.2967437690646075,0.0,8,"[0.11192522713993999, 0.3287445425122938, 0.19385086349898933, 0.3654793668487769]"
pursuit_only,35,2,0,0.30364553474916867,0.0,8,"[0.014948131651274447, 0.9360135041011003, 0.016132759059082843, 0.03290560518854248]"
pursuit_only,36,1,0,0.4349571362374525,0.08333333333333333,9,"[0.8930978146675637, 0.01837477791152978, 0.06962053013586622, 0.01890687728504024]"
pursuit_only,37,2,0,0.0012514836516185027,0.0,8,"[0.9998876043745841, 3.1053627173146854e-05, 2.5751103277213026e-05, 5.559089496547487e-05]"
pursuit_only,38,2,0,1.333729166535335,0.0,8,"[0.31494777768495397, 0.3349416344293197, 0.14110694264266804, 0.20900364524305853]"
pursuit_only,39,0,0,1.037152268270207,0.0,8,"[0.08479343813157503, 0.11161515744967118, 0.6389736345681262, 0.16461776985062773]"
pursuit_only,40,1,0,0.7677881492937964,0.0,8,"[0.09048344565119842, 0.05028288296098893, 0.08159338393983903, 0.7776402874479735]"
pursuit_only,41,1,0,0.5712806482697206,0.0,8,"[0.13848525141096463, 0.01603227203868642, 0.018582849129761245, 0.8268996274205876]"
pursuit_only,42,3,0,1.045243754878293,0.0,8,"[0.6338662493609417, 0.15087986389269215, 0.13839648767020157, 0.07685739907616439]"
pursuit_only,43,2,0,0.39489436310537096,0.0,8,"[0.04128613571835872, 0.9085413923618026, 0.01072379398616002, 0.03944867793367848]"
pursuit_only,44,1,0,0.027100406569823043,0.0,8,"[0.0013790919860953749, 0.0007875707449044541, 0.0013436474172098807, 0.9964896898517903]"
pursuit_only,45,0,0,0.34891659352405624,0.0,8,"[0.022044323579551273, 0.9243774401667367, 0.033702494221838526, 0.019875742031873447]"
pursuit_only,46,3,0,0.9186667174354561,0.0,8,"[0.6991084274287691, 0.13836719593392713, 0.11355719984106155, 0.04896717679624218]"
pursuit_only,47,0,0,1.0810184822222073,0.0,8,"[0.09261938682714327, 0.6142644139174256, 0.16174710483797336, 0.13136909441745784]"
pursuit_only,48,3,0,0.030808032578146433,0.0,8,"[0.9959321012845274, 0.0011911650053859201, 0.0018107993305551088, 0.001065934379531793]"
pursuit_only,49,2,0,0.07564308378708007,0.0,8,"[0.0035938880985260007, 0.004871754961949538, 0.003112307353904045, 0.9884220495856206]"
pursuit_only,50,3,0,1.352828256084054,0.0,8,"[0.288937652496417, 0.3357940705011301, 0.1806472764799292, 0.19462100052252368]"
pursuit_only,51,3,0,0.2801771753324806,0.0,8,"[0.9420761993552851, 0.030535475194757977, 0.014786958047422118, 0.012601367402534872]"
pursuit_only,52,1,0,1.2801649210312251,0.0,8,"[0.20412691079532172, 0.09398415447250796, 0.32878458554881573, 0.37310434918335467]"
pursuit_only,53,2,0,1.2466761823254358,0.0,8,"[0.1703956521254392, 0.23990392587740772, 0.11518445531009382, 0.47451596668705925]"
pursuit_only,54,1,0,1.3114250544706483,0.0,8,"[0.19682943232979466, 0.12340594724128096, 0.3495719235644738, 0.3301926968644505]"
pursuit_only,55,0,0,0.42203298960159663,0.3333333333333333,12,"[0.002927927240883672, 0.09960844133416834, 0.015460319734461055, 0.8820033116904868]"
pursuit_only,56,3,0,0.11190786285197797,0.0,8,"[0.0070813327716334985, 0.0076597097338804866, 0.981460360234945, 0.003798597259540874]"
pursuit_only,57,1,0,0.07254752608252625,0.0,8,"[0.9889972458425, 0.004146440529102957, 0.003859420554951541, 0.002996893073445493]"
pursuit_only,58,0,0,0.309715019549344,0.0,8,"[0.018928106402611753, 0.023948853749990368, 0.02161659682047473, 0.9355064430269231]"
pursuit_only,59,3,0,0.5734266615142668,0.16666666666666666,10,"[0.14723104684161892, 0.02084643605661949, 0.8211347715906925, 0.010787745511069072]"
pursuit_only,60,2,0,1.1457904118226154,0.0,8,"[0.09332006944502014, 0.2234938632547423, 0.12783066322727255, 0.5553554040729651]"
pursuit_only,61,2,0,1.1498168081129747,0.0,8,"[0.0963267038608212, 0.3189012535851611, 0.0871460092380952, 0.4976260333159223]"
pursuit_only,62,3,0,1.3414265043786333,0.0,8,"[0.33784880653085875, 0.24178590213708862, 0.2807130854737248, 0.13965220585832772]"
pursuit_only,63,0,0,1.320079832544122,0.0,8,"[0.10722140755803207, 0.28190411715818553, 0.3208492509511308, 0.29002522433265154]"
pursuit_only,64,2,0,0.13340597317408265,0.0,8,"[0.9772613922437872, 0.00853097899286212, 0.007189908433230479, 0.007017720330120334]"
pursuit_only,65,0,0,0.879938265164634,0.0,8,"[0.07006962838963005, 0.7280874021293444, 0.09559143801776385, 0.10625153146326163]"
pursuit_only,66,3,0,0.7273271761019959,0.0,8,"[0.06627078041626074, 0.07696377742316023, 0.7966592000827678, 0.0601062420778114]"
pursuit_only,67,2,0,1.3434217077762507,0.0,8,"[0.38025906030500944, 0.18991349723970508, 0.20354957551469371, 0.2262778669405918]"
pursuit_only,68,2,0,1.2621520138085218,0.0,8,"[0.44775485599065246, 0.26704108220982253, 0.11418004063574462, 0.1710240211637803]"
pursuit_only,69,3,0,0.3610868348226751,0.0,8,"[0.040879824526665456, 0.02131984233460156, 0.9200183652578284, 0.017781967880904685]"
pursuit_only,70,2,0,0.289201437067684,0.0,8,"[0.9400523190663728, 0.029902732860697064, 0.015055311176540593, 0.014989636896389416]"
pursuit_only,71,2,0,0.5929566649702277,0.0,8,"[0.15258513846532884, 0.8135187160719287, 0.017565242805948716, 0.016330902656793572]"
pursuit_only,72,1,0,0.328367112331888,0.0,8,"[0.9298430910256624, 0.01577934988225431, 0.03174440936410294, 0.022633149727980296]"
pursuit_only,73,0,0,0.7511996597519728,0.0,8,"[0.04283269121459443, 0.1028200558973491, 0.7819720317265828, 0.07237522116147356]"
pursuit_only,74,0,0,1.311050049264839,0.0,8,"[0.1535675639526784, 0.37080153068542093, 0.15748707495074724, 0.31814383041115335]"
pursuit_only,75,2,0,0.6792412271979998,0.0,8,"[0.8115384039216036, 0.05781899393033593, 0.038338661647432604, 0.09230394050062768]"
pursuit_only,76,0,0,0.21863625446017115,0.08333333333333333,9,"[0.005272359390386123, 0.9551134937789549, 0.032115505708260106, 0.0074986411223988535]"
pursuit_only,77,0,0,0.5260715178863864,0.08333333333333333,9,"[0.02244084225949937, 0.06986320069351257, 0.8666998012628722, 0.04099615578411582]"
pursuit_only,78,0,0,1.278716087388716,0.0,8,"[0.08925028378092, 0.3029114848559709, 0.22148195076740596, 0.3863562805957031]"
pursuit_only,79,1,0,0.1311575200032397,0.0,8,"[0.9770720355961469, 0.003837783646302875, 0.005626848560543556, 0.013463332197006794]"
holds_avoidance,0,3,1,0.6891492792084999,0.0,8,"[0.10397574139800438, 0.06948149719255724, 0.02470270483250535, 0.801840056576933]"
holds_avoidance,1,0,0,0.7712454950515979,0.0,8,"[0.48308109433614577, 0.0069963894988393956, 0.5018148895776817, 0.008107626587333078]"
holds_avoidance,2,0,1,0.0912973238043617,0.0,8,"[0.9854265455881817, 0.005452339244971684, 0.006385444113761677, 0.002735671053084909]"
holds_avoidance,3,0,1,0.28212921466456553,0.0,8,"[0.9349686926505905, 0.007632772540822303, 0.00545164070219594, 0.05194689410639135]"
holds_avoidance,4,1,1,0.30770622515964824,0.0,8,"[0.022824259071524973, 0.9318001511440019, 0.040595871041244416, 0.0047797187432286215]"
holds_avoidance,5,2,1,0.21239992070001512,0.0,8,"[0.004058396794404857, 0.005815563465631405, 0.9554490185691278, 0.03467702117083591]"
holds_avoidance,6,0,1,0.2080505726492174,0.0,8,"[0.9598921588526456, 0.018143650996895244, 0.016656699670606286, 0.0053074904798530356]"
holds_avoidance,7,3,1,0.19717974223929963,0.0,8,"[0.01430996635854142, 0.009826718724377957, 0.012557609619884575, 0.9633057052971961]"
holds_avoidance,8,0,0,0.9464633847963122,0.0,8,"[0.4344836846698514, 0.03628413203779441, 0.034361441066540814, 0.49487074222581345]"
holds_avoidance,9,3,1,0.7080601132505691,0.0,8,"[0.0021827211658232877, 0.3692711908390234, 0.006230457799846116, 0.6223156301953071]"
holds_avoidance,10,0,1,0.2488474771021095,0.0,8,"[0.9461227727074103, 0.005511741516794362, 0.007750633815181471, 0.04061485196061401]"
holds_avoidance,11,2,1,0.16982681061952118,0.0,8,"[0.008267106526956959, 0.011563559089137448, 0.9694696219063919, 0.010699712477513616]"
