draw,finding,process_contrast,goal_contrast,dominance_ratio,reproduces,separation,legible_and_empty,buildable,human_honest,machine_as_human
0,"E36 depth moves the method, not the purpose",0.06330193396929955,2.8682625163867215e-09,63301.93396929955,True,,,,,
0,E37 the wall is a distinct failure,,,,False,1.0122070356886734,False,True,,
0,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.926599262280162
1,"E36 depth moves the method, not the purpose",0.11392066837461645,1.5270712627746263e-07,113920.66837461646,True,,,,,
1,E37 the wall is a distinct failure,,,,False,1.0534160039501823,False,True,,
1,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.514383563967523
2,"E36 depth moves the method, not the purpose",0.07422889926363177,0.001457813472161007,50.91796768320277,True,,,,,
2,E37 the wall is a distinct failure,,,,False,,,False,,
2,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984420014944,-3.8960306325604943
3,"E36 depth moves the method, not the purpose",0.09868162429066638,5.012237669355102e-08,98681.62429066638,True,,,,,
3,E37 the wall is a distinct failure,,,,False,0.8653860003724367,False,True,,
3,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.722142821040084
4,"E36 depth moves the method, not the purpose",0.0820985210608043,-2.68640543366061e-07,82098.5210608043,True,,,,,
4,E37 the wall is a distinct failure,,,,False,1.083072569330007,False,True,,
4,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-5.992862059261372
5,"E36 depth moves the method, not the purpose",0.10962407028305798,5.37000439670976e-08,109624.07028305798,True,,,,,
5,E37 the wall is a distinct failure,,,,False,1.046766254842708,False,True,,
5,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.548799573376173
6,"E36 depth moves the method, not the purpose",0.18333598839715542,9.858903290327348e-05,1859.598202743584,True,,,,,
6,E37 the wall is a distinct failure,,,,False,,,False,,
6,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515983697470768,-3.7203047781029794
7,"E36 depth moves the method, not the purpose",0.05761680539543913,-1.5299135180946166e-06,37660.17145021125,True,,,,,
7,E37 the wall is a distinct failure,,,,False,1.0860314499951707,False,True,,
7,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896806816,-5.446270056468968
8,"E36 depth moves the method, not the purpose",0.12220031624533728,-2.944994214337804e-05,4149.4246627175335,True,,,,,
8,E37 the wall is a distinct failure,,,,False,,,False,,
8,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515619492556377,-2.594717538934696
9,"E36 depth moves the method, not the purpose",0.11101185592407457,2.8757838999027285e-08,111011.85592407458,True,,,,,
9,E37 the wall is a distinct failure,,,,False,1.0519817573298869,False,True,,
9,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.823441378497415
10,"E36 depth moves the method, not the purpose",0.1530989625415366,0.0005265984694542425,290.73187907326377,True,,,,,
10,E37 the wall is a distinct failure,,,,False,,,False,,
10,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515981523033378,-3.571379295142569
11,"E36 depth moves the method, not the purpose",0.08038564833469716,2.9521291218692625e-05,2722.971964173358,True,,,,,
11,E37 the wall is a distinct failure,,,,False,0.9803422444037332,False,True,,
11,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351598489681111,-5.395759831287595
12,"E36 depth moves the method, not the purpose",0.11814608770753707,9.204685080810293e-08,118146.08770753707,True,,,,,
12,E37 the wall is a distinct failure,,,,False,1.0368184766985353,False,True,,
12,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.366505802208589
