n_train,arm,observer,detector_fired,detector_score,engaged_fraction,engaged_without_detector,goal_correct
0,machine,0,0,0.0,0.0,0.0,0
0,machine,1,0,0.0,0.0,0.0,0
0,machine,2,0,0.0,0.0,0.0,0
0,machine,3,0,0.0,0.0,0.0,1
0,machine,4,0,0.0,0.0,0.0,1
0,machine,5,0,0.0,0.08333333333333333,0.08333333333333333,0
0,machine,6,0,0.0,0.0,0.0,0
0,machine,7,0,0.0,0.0,0.0,0
0,machine,8,0,0.0,0.0,0.0,0
0,machine,9,0,0.0,0.0,0.0,0
0,machine,10,0,0.0,0.0,0.0,0
0,machine,11,0,0.0,0.0,0.0,0
0,machine,12,0,0.0,0.0,0.0,0
0,machine,13,0,0.0,0.0,0.0,0
0,machine,14,0,0.0,0.0,0.0,0
0,machine,15,0,0.0,0.0,0.0,1
0,machine,16,0,0.0,0.0,0.0,0
0,machine,17,0,0.0,0.0,0.0,0
0,machine,18,0,0.0,0.0,0.0,1
0,machine,19,0,0.0,0.0,0.0,1
0,machine,20,0,0.0,0.0,0.0,0
0,machine,21,0,0.0,0.0,0.0,0
0,machine,22,0,0.0,0.0,0.0,0
0,machine,23,0,0.0,0.0,0.0,1
0,machine,24,0,0.0,0.0,0.0,0
0,machine,25,0,0.0,0.0,0.0,0
0,machine,26,0,0.0,0.0,0.0,1
0,machine,27,0,0.0,0.0,0.0,0
0,machine,28,0,0.0,0.0,0.0,0
0,machine,29,0,0.0,0.0,0.0,0
0,machine,30,0,0.0,0.0,0.0,0
0,machine,31,0,0.0,0.16666666666666666,0.16666666666666666,1
0,machine,32,0,0.0,0.0,0.0,0
0,machine,33,0,0.0,0.0,0.0,0
0,machine,34,0,0.0,0.0,0.0,0
0,machine,35,0,0.0,0.08333333333333333,0.08333333333333333,0
0,machine,36,0,0.0,0.0,0.0,0
0,machine,37,0,0.0,0.0,0.0,0
0,machine,38,0,0.0,0.0,0.0,0
0,machine,39,0,0.0,0.0,0.0,0
0,human_careful,0,0,0.0,0.25,0.25,1
0,human_careful,1,0,0.0,0.0,0.0,1
0,human_careful,2,0,0.0,0.5,0.5,1
0,human_careful,3,0,0.0,0.0,0.0,1
0,human_careful,4,0,0.0,0.0,0.0,1
0,human_careful,5,0,0.0,0.0,0.0,1
0,human_careful,6,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_careful,7,0,0.0,0.0,0.0,1
0,human_careful,8,0,0.0,0.5,0.5,1
0,human_careful,9,0,0.0,0.5,0.5,1
0,human_careful,10,0,0.0,0.25,0.25,1
0,human_careful,11,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_careful,12,0,0.0,0.5,0.5,1
0,human_careful,13,0,0.0,0.0,0.0,1
0,human_careful,14,0,0.0,0.0,0.0,1
0,human_careful,15,0,0.0,0.0,0.0,1
0,human_careful,16,0,0.0,0.0,0.0,1
0,human_careful,17,0,0.0,0.0,0.0,1
0,human_careful,18,0,0.0,0.0,0.0,1
0,human_careful,19,0,0.0,0.0,0.0,1
0,human_careful,20,0,0.0,0.0,0.0,1
0,human_careful,21,0,0.0,0.0,0.0,1
0,human_careful,22,0,0.0,0.0,0.0,1
0,human_careful,23,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_careful,24,0,0.0,0.0,0.0,1
0,human_careful,25,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_careful,26,0,0.0,0.0,0.0,1
0,human_careful,27,0,0.0,0.0,0.0,1
0,human_careful,28,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_careful,29,0,0.0,0.5,0.5,1
0,human_careful,30,0,0.0,0.3333333333333333,0.3333333333333333,1
0,human_careful,31,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_careful,32,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_careful,33,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_careful,34,0,0.0,0.0,0.0,1
0,human_careful,35,0,0.0,0.5,0.5,1
0,human_careful,36,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_careful,37,0,0.0,0.3333333333333333,0.3333333333333333,1
0,human_careful,38,0,0.0,0.0,0.0,1
0,human_careful,39,0,0.0,0.5,0.5,1
0,human_fast,0,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_fast,1,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_fast,2,0,0.0,0.0,0.0,0
0,human_fast,3,0,0.0,0.0,0.0,1
0,human_fast,4,0,0.0,0.0,0.0,1
0,human_fast,5,0,0.0,0.0,0.0,1
0,human_fast,6,0,0.0,0.0,0.0,1
0,human_fast,7,0,0.0,0.0,0.0,1
0,human_fast,8,0,0.0,0.3333333333333333,0.3333333333333333,1
0,human_fast,9,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_fast,10,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_fast,11,0,0.0,0.08333333333333333,0.08333333333333333,1
0,human_fast,12,0,0.0,0.0,0.0,1
0,human_fast,13,0,0.0,0.0,0.0,1
0,human_fast,14,0,0.0,0.0,0.0,1
0,human_fast,15,0,0.0,0.0,0.0,0
0,human_fast,16,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_fast,17,0,0.0,0.0,0.0,1
0,human_fast,18,0,0.0,0.25,0.25,1
0,human_fast,19,0,0.0,0.3333333333333333,0.3333333333333333,0
0,human_fast,20,0,0.0,0.0,0.0,1
0,human_fast,21,0,0.0,0.0,0.0,0
0,human_fast,22,0,0.0,0.0,0.0,1
0,human_fast,23,0,0.0,0.0,0.0,1
0,human_fast,24,0,0.0,0.0,0.0,1
0,human_fast,25,0,0.0,0.0,0.0,0
0,human_fast,26,0,0.0,0.0,0.0,1
0,human_fast,27,0,0.0,0.0,0.0,0
0,human_fast,28,0,0.0,0.0,0.0,0
0,human_fast,29,0,0.0,0.0,0.0,1
0,human_fast,30,0,0.0,0.3333333333333333,0.3333333333333333,1
0,human_fast,31,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_fast,32,0,0.0,0.08333333333333333,0.08333333333333333,0
0,human_fast,33,0,0.0,0.08333333333333333,0.08333333333333333,0
0,human_fast,34,0,0.0,0.0,0.0,0
0,human_fast,35,0,0.0,0.08333333333333333,0.08333333333333333,0
0,human_fast,36,0,0.0,0.3333333333333333,0.3333333333333333,0
0,human_fast,37,0,0.0,0.0,0.0,1
0,human_fast,38,0,0.0,0.16666666666666666,0.16666666666666666,1
0,human_fast,39,0,0.0,0.0,0.0,1
8,machine,0,1,0.23104906018664848,0.0,0.0,0
8,machine,1,0,-0.7324081924454067,0.0,0.0,0
8,machine,2,0,-0.2703100720721097,0.0,0.0,0
8,machine,3,0,-0.9634572526320552,0.0,0.0,1
8,machine,4,1,0.46209812037329695,0.0,0.0,1
8,machine,5,1,0.0958940241505936,0.012499999999999999,0.08333333333333333,0
8,machine,6,0,-0.13515503603605486,0.0,0.0,0
8,machine,7,0,0.0,0.0,0.0,0
8,machine,8,0,0.0,0.0,0.0,0
8,machine,9,1,0.23104906018664848,0.0,0.0,0
8,machine,10,0,-0.2703100720721097,0.0,0.0,0
8,machine,11,1,0.23104906018664848,0.0,0.0,0
8,machine,12,0,-0.13515503603605486,0.0,0.0,0
8,machine,13,0,-0.36620409622270333,0.0,0.0,0
8,machine,14,0,-0.36620409622270333,0.0,0.0,0
8,machine,15,0,-0.2703100720721097,0.0,0.0,1
8,machine,16,1,0.32694308433724206,0.0,0.0,0
8,machine,17,1,0.0958940241505936,0.0,0.0,0
8,machine,18,1,0.23104906018664848,0.0,0.0,1
8,machine,19,0,-0.36620409622270333,0.0,0.0,1
8,machine,20,1,0.0958940241505936,0.0,0.0,0
8,machine,21,1,0.23104906018664848,0.0,0.0,0
8,machine,22,1,0.6931471805599454,0.0,0.0,0
8,machine,23,1,0.23104906018664848,0.0,0.0,1
8,machine,24,0,-0.36620409622270333,0.0,0.0,0
8,machine,25,0,-0.13515503603605486,0.0,0.0,0
8,machine,26,1,0.23104906018664848,0.0,0.0,1
8,machine,27,0,-0.36620409622270333,0.0,0.0,0
8,machine,28,1,0.46209812037329695,0.0,0.0,0
8,machine,29,0,-0.23104906018664848,0.0,0.0,0
8,machine,30,0,-0.13515503603605486,0.0,0.0,0
8,machine,31,0,-0.13515503603605486,0.16666666666666666,0.16666666666666666,1
8,machine,32,1,0.23104906018664848,0.0,0.0,0
8,machine,33,1,0.0958940241505936,0.0,0.0,0
8,machine,34,0,-0.5972531564093518,0.0,0.0,0
8,machine,35,1,0.46209812037329695,0.012499999999999999,0.08333333333333333,0
8,machine,36,0,-0.5972531564093518,0.0,0.0,0
8,machine,37,1,0.6931471805599454,0.0,0.0,0
8,machine,38,0,-0.5972531564093518,0.0,0.0,0
8,machine,39,0,-0.36620409622270333,0.0,0.0,0
8,human_careful,0,0,0.0,0.25,0.25,1
8,human_careful,1,1,1.3862943611198908,0.0,0.0,1
8,human_careful,2,1,0.6931471805599454,0.075,0.5,1
8,human_careful,3,0,-0.6931471805599454,0.0,0.0,1
