stance,reader,drift,engagement,mean_gate
sympathetic,0,0.37744721511496504,0.58984375,0.6791067471245864
sympathetic,1,0.07594257237900545,0.5703125,0.6680397596640837
sympathetic,2,0.17582933580301408,0.5703125,0.6807026945113108
sympathetic,3,0.06600407258594068,0.5234375,0.6804774692977529
sympathetic,4,0.30702066881452417,0.5703125,0.67168541150103
sympathetic,5,0.05854743241252612,0.54296875,0.685798444501682
sympathetic,6,0.49308589845893114,0.53125,0.676270579357135
sympathetic,7,0.1863517998735069,0.5859375,0.6834725554386945
sympathetic,8,0.31154588171372305,0.53125,0.6719350179501196
sympathetic,9,0.1394172991905308,0.5625,0.683325633050524
sympathetic,10,0.051704318635174565,0.5390625,0.6793774227105935
sympathetic,11,0.3040293050387383,0.5234375,0.680140831465053
sympathetic,12,0.3668054369526469,0.5625,0.6612979986782244
sympathetic,13,0.18059984133674312,0.5625,0.682888721320558
sympathetic,14,0.3107079446238211,0.609375,0.6737186989909166
sympathetic,15,0.3125732316556818,0.5625,0.6688968497761707
sympathetic,16,0.21414319665549103,0.56640625,0.6628635331183855
sympathetic,17,0.016780987669648903,0.58984375,0.6781670224477843
sympathetic,18,0.5929752057896307,0.62109375,0.6717162264994148
sympathetic,19,0.5284932124782336,0.58984375,0.6794502866111555
sympathetic,20,0.21181750323833692,0.5859375,0.6837954673155335
sympathetic,21,0.33750467030554426,0.59765625,0.6888791813726209
sympathetic,22,0.29650664229285195,0.5703125,0.6790364677132824
sympathetic,23,0.501867177038173,0.57421875,0.6752587263846268
adversarial,0,0.35798028599622844,0.58984375,0.6436386430262888
adversarial,1,0.05544370259822053,0.5703125,0.630100119918215
adversarial,2,0.15612138033674378,0.5703125,0.6482503618981259
adversarial,3,0.049277157078049943,0.5234375,0.648501560035178
adversarial,4,0.3084709061891928,0.5703125,0.6300389125644135
adversarial,5,0.0433393464504835,0.54296875,0.6526634124462224
adversarial,6,0.4835371053877324,0.53125,0.6421704534112687
adversarial,7,0.17840538001187778,0.5859375,0.6517745093066987
adversarial,8,0.2769294445236079,0.53125,0.6344199912663132
adversarial,9,0.12992811058408157,0.5625,0.6484906114787146
adversarial,10,0.03563833970374575,0.5390625,0.64710285772088
adversarial,11,0.27505662893847477,0.5234375,0.6454574950352197
adversarial,12,0.35278077136959446,0.5625,0.6248222164153094
adversarial,13,0.19067096484537419,0.5625,0.6499629833596031
adversarial,14,0.2758392631615291,0.609375,0.6361870762042221
adversarial,15,0.28730169486700374,0.5625,0.6353716346218528
adversarial,16,0.19814557620893428,0.56640625,0.6293055511393411
adversarial,17,0.012427819368697707,0.58984375,0.6429284260299568
adversarial,18,0.5699318215513649,0.62109375,0.6250902032897694
adversarial,19,0.5178078234956719,0.58984375,0.6435569360029356
adversarial,20,0.2107745916434365,0.5859375,0.6498884820000752
adversarial,21,0.3282730806432105,0.59765625,0.6587187083942382
adversarial,22,0.26679073682723803,0.5703125,0.6434912094323046
adversarial,23,0.49478966647370626,0.57421875,0.6458496080290012
