ablation,finding,honest,lie,survives,foreign_entropy,machine_entropy,machine_accuracy,shallow,deep,contrast,foreign_engagement,human_engagement,note
none,the label effect,1.4303689158744963,-1.5105009195166879,True,,,,,,,,,
none,legible and empty,,,True,1.2188916837214865,1.035711481245081,0.35,,,,,,
none,depth transmits method,,,True,,,,-0.07459827713906422,0.06932297074312063,0.14392124788218486,,,
none,sustained futile attention,,,False,,,,,,,0.0,0.225,
generative,the label effect,-0.2008122896950865,-0.6051267237889538,False,,,,,,,,,
generative,legible and empty,,,False,0.979141003837684,1.1961634161930728,0.45,,,,,,
generative,depth transmits method,,,False,,,,,,,,,no process to recover under this ablation
generative,sustained futile attention,,,False,,,,,,,0.5714285714285714,0.5714285714285714,
costly_attention,the label effect,1.430369037746242,-1.8203695242196172,True,,,,,,,,,
costly_attention,legible and empty,,,True,1.2773294427571567,1.158663521339319,0.35,,,,,,
costly_attention,depth transmits method,,,True,,,,-0.07489252678186456,0.11783275907103626,0.19272528585290083,,,
costly_attention,sustained futile attention,,,False,,,,,,,,,
provenance_as_state,the label effect,1.4303689158744963,-1.5105009195166879,True,,,,,,,,,
provenance_as_state,legible and empty,,,True,1.2188916837214865,1.035711481245081,0.35,,,,,,
provenance_as_state,depth transmits method,,,True,,,,-0.07459827713906422,0.06932297074312063,0.14392124788218486,,,
provenance_as_state,sustained futile attention,,,False,,,,,,,0.0,0.225,
hierarchy,the label effect,1.4303689158744963,-1.5105009195166879,True,,,,,,,,,
hierarchy,legible and empty,,,True,1.2188916837214865,1.035711481245081,0.35,,,,,,
hierarchy,depth transmits method,,,True,,,,-0.07459827713906422,0.06932297074312063,0.14392124788218486,,,
hierarchy,sustained futile attention,,,False,,,,,,,0.0,0.225,
distributional,the label effect,1.430369037746407,-12.385141520217866,True,,,,,,,,,
distributional,legible and empty,,,False,0.0,0.0,0.35,,,,,,
distributional,depth transmits method,,,True,,,,-0.07459827713906422,0.06932297074312063,0.14392124788218486,,,
distributional,sustained futile attention,,,False,,,,,,,0.0,0.225,
shared_likelihood,the label effect,-1.8491748381130377,-7.407864391658111,False,,,,,,,,,
shared_likelihood,legible and empty,,,True,1.3121191142859496,1.2999521458611472,0.2,,,,,,
shared_likelihood,depth transmits method,,,False,,,,3.733661550837652e-05,2.9218622369098224e-05,-8.117993139278298e-06,,,
shared_likelihood,sustained futile attention,,,False,,,,,,,0.0,0.0,
